,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapB_3_239_B_MM10,dapB_3_239_B_MM6,dapB_3_239_B_MM9,dapB_3_239_C,dapD_1_42_C,dapD_1_42_MM10,dapD_1_42_MM4,dapD_1_42_MM6,dapD_1_42_MM8,dapF_1_79_C,dapF_1_79_MM10,dapF_1_79_MM4,dapF_1_79_MM6,dapF_1_79_MM8,dnaB_1_16_B_MM4,dnaB_1_16_B_MM6,dnaB_1_16_B_MM8,dnaB_1_16_C,dnaE_1_10_B_MM10,dnaE_1_10_B_MM5,dnaE_1_10_B_MM8,dnaE_1_10_C,dnaX_1_33_B_MM3,dnaX_1_33_B_MM6,dnaX_1_33_B_MM9,dnaX_1_33_C,eno_3_219_B_MM10,eno_3_219_B_MM5,eno_3_219_B_MM8,eno_3_219_C,fake_negC_rand_42,fbaA_1_28_B_MM5,fbaA_1_28_B_MM7,fbaA_1_28_B_MM9,fbaA_1_28_C,gapA_1_33_B_MM10,gapA_1_33_B_MM5,gapA_1_33_B_MM8,gapA_1_33_C,holB_3_220_B_MM10,holB_3_220_B_MM5,holB_3_220_B_MM9,holB_3_220_C,ligA_1_82_B_MM5,ligA_1_82_B_MM7,ligA_1_82_B_MM9,ligA_1_82_C,negC_rand_42,parE_1_26_B_MM10,parE_1_26_B_MM5,parE_1_26_B_MM8,parE_1_26_C,pfkA_1_43_B_MM10,pfkA_1_43_B_MM5,pfkA_1_43_B_MM9,pfkA_1_43_C,pgi_3_279_B_MM10,pgi_3_279_B_MM5,pgi_3_279_B_MM8,pgi_3_279_C,purD_1_47_C,purD_1_47_MM10,purD_1_47_MM4,purD_1_47_MM6,purD_1_47_MM8,purF_1_23_C,purF_1_23_MM10,purF_1_23_MM4,purF_1_23_MM6,purF_1_23_MM8,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purN_3_238_B_MM10,purN_3_238_B_MM5,purN_3_238_B_MM8,purN_3_238_C,tpiA_1_45_B_MM10,tpiA_1_45_B_MM4,tpiA_1_45_B_MM7,tpiA_1_45_C
dnaX_1_33_B_MM9,2037.0,1266.0,2579.0,1179.0,2089.0,1281.0,1249.0,3647.0,1321.0,854.0,1013.0,1721.0,1349.0,992.0,1392.0,1579.0,3253.0,2463.0,364.0,313.0,238.0,241.0,739.0,748.0,1830.0,969.0,157.0,467.0,9439.0,156.0,210.0,489.0,982.0,439.0,2552.0,58.0,995.0,1429.0,334.0,986.0,856.0,762.0,175.0,1235.0,264.0,872.0,970.0,162.0,73.0,36.0,341.0,828.0,3311.0,1654.0,597.0,1212.0,5479.0,1712.0,354.0,955.0,1479.0,1558.0,93.0,1283.0,369.0,4105.0,888.0,766.0,820.0,160.0,32.0,267.0,872.0,597.0,451.0,921.0,2776.0,292.0,2579.0,2534.0,0.0,3801.0,550.0,2833.0,3667.0,1448.0
dnaX_1_33_C,172.0,84.0,117.0,3.0,33.0,102.0,84.0,23.0,94.0,7.0,73.0,138.0,56.0,40.0,48.0,30.0,80.0,70.0,49.0,25.0,40.0,48.0,31.0,133.0,75.0,42.0,10.0,7.0,9.0,323.0,2.0,38.0,121.0,34.0,45.0,2.0,104.0,26.0,0.0,44.0,58.0,23.0,1.0,89.0,3.0,43.0,4.0,0.0,0.0,0.0,0.0,26.0,80.0,34.0,6.0,57.0,248.0,94.0,12.0,89.0,87.0,39.0,3.0,44.0,27.0,135.0,32.0,44.0,85.0,18.0,2.0,9.0,86.0,40.0,1.0,34.0,71.0,11.0,31.0,16.0,0.0,125.0,23.0,28.0,41.0,11.0
eno_3_219_B_MM10,880.0,545.0,622.0,235.0,575.0,701.0,580.0,1052.0,224.0,240.0,199.0,235.0,512.0,152.0,668.0,331.0,584.0,1114.0,135.0,157.0,77.0,111.0,75.0,117.0,478.0,134.0,53.0,177.0,61.0,1.0,7414.0,152.0,517.0,176.0,503.0,29.0,365.0,816.0,46.0,40.0,59.0,526.0,76.0,339.0,188.0,403.0,11.0,7.0,193.0,55.0,164.0,181.0,629.0,553.0,65.0,124.0,1711.0,508.0,414.0,775.0,111.0,430.0,241.0,388.0,220.0,589.0,201.0,482.0,221.0,3.0,94.0,114.0,291.0,440.0,243.0,184.0,531.0,230.0,599.0,557.0,0.0,1589.0,207.0,887.0,465.0,636.0
eno_3_219_B_MM5,1199.0,201.0,1130.0,180.0,1096.0,484.0,517.0,990.0,498.0,497.0,448.0,993.0,418.0,446.0,423.0,540.0,843.0,427.0,114.0,117.0,75.0,113.0,131.0,294.0,491.0,411.0,274.0,20.0,778.0,93.0,149.0,2518.0,758.0,85.0,763.0,20.0,594.0,1213.0,74.0,312.0,115.0,421.0,85.0,252.0,127.0,248.0,234.0,74.0,71.0,37.0,83.0,71.0,767.0,716.0,330.0,279.0,2246.0,1085.0,354.0,730.0,916.0,138.0,14.0,513.0,111.0,684.0,355.0,520.0,572.0,58.0,47.0,99.0,314.0,284.0,49.0,191.0,599.0,351.0,267.0,1455.0,0.0,1721.0,198.0,311.0,384.0,385.0
eno_3_219_B_MM8,1204.0,688.0,1486.0,602.0,817.0,678.0,1070.0,1443.0,653.0,123.0,516.0,493.0,652.0,264.0,438.0,493.0,174.0,667.0,144.0,170.0,241.0,148.0,193.0,234.0,529.0,335.0,212.0,111.0,203.0,89.0,181.0,251.0,4415.0,195.0,739.0,130.0,340.0,728.0,164.0,550.0,320.0,342.0,96.0,249.0,115.0,327.0,48.0,108.0,154.0,29.0,44.0,342.0,1265.0,753.0,376.0,423.0,2396.0,1620.0,468.0,1003.0,976.0,447.0,107.0,734.0,439.0,661.0,516.0,539.0,618.0,23.0,29.0,375.0,526.0,158.0,119.0,105.0,384.0,369.0,855.0,453.0,0.0,1851.0,141.0,750.0,507.0,1149.0
eno_3_219_C,571.0,526.0,1163.0,231.0,1146.0,533.0,523.0,437.0,739.0,88.0,285.0,664.0,203.0,276.0,153.0,352.0,226.0,442.0,82.0,115.0,262.0,76.0,20.0,246.0,642.0,193.0,85.0,25.0,252.0,24.0,151.0,344.0,466.0,1758.0,647.0,38.0,876.0,639.0,244.0,90.0,175.0,184.0,29.0,145.0,96.0,198.0,23.0,11.0,91.0,23.0,9.0,227.0,360.0,341.0,204.0,96.0,1354.0,608.0,447.0,795.0,825.0,79.0,87.0,621.0,73.0,299.0,303.0,171.0,181.0,88.0,67.0,456.0,228.0,74.0,55.0,228.0,599.0,214.0,209.0,226.0,0.0,654.0,12.0,335.0,281.0,194.0
fake_negC_rand_42,6788.0,3579.0,4628.0,1339.0,4141.0,2663.0,1763.0,5466.0,5237.0,1384.0,2551.0,2175.0,3342.0,1793.0,943.0,2091.0,1479.0,3068.0,417.0,731.0,730.0,880.0,261.0,1466.0,3445.0,1257.0,452.0,82.0,2484.0,102.0,292.0,879.0,471.0,116.0,14791.0,436.0,945.0,1811.0,636.0,1716.0,1126.0,1489.0,1019.0,1567.0,487.0,844.0,642.0,255.0,591.0,455.0,356.0,1242.0,3391.0,2588.0,940.0,2465.0,9536.0,2880.0,721.0,2076.0,2250.0,1484.0,353.0,2799.0,551.0,3409.0,1624.0,1363.0,1511.0,202.0,83.0,1027.0,1386.0,780.0,228.0,964.0,1637.0,228.0,1752.0,2428.0,0.0,5424.0,557.0,1870.0,4654.0,1473.0
fbaA_1_28_B_MM5,372.0,229.0,369.0,78.0,626.0,277.0,289.0,348.0,186.0,33.0,29.0,186.0,192.0,54.0,147.0,263.0,98.0,477.0,32.0,52.0,3.0,77.0,27.0,134.0,179.0,178.0,82.0,3.0,208.0,2.0,124.0,68.0,198.0,31.0,330.0,1194.0,415.0,529.0,64.0,161.0,39.0,313.0,33.0,211.0,17.0,208.0,7.0,137.0,122.0,3.0,9.0,89.0,140.0,156.0,104.0,131.0,896.0,547.0,192.0,108.0,82.0,137.0,83.0,208.0,49.0,154.0,130.0,221.0,234.0,52.0,97.0,199.0,94.0,31.0,30.0,60.0,968.0,35.0,479.0,325.0,0.0,329.0,25.0,478.0,190.0,239.0
fbaA_1_28_B_MM7,2028.0,1342.0,1965.0,516.0,2585.0,1119.0,612.0,3271.0,914.0,701.0,674.0,579.0,2001.0,1031.0,697.0,795.0,846.0,3110.0,100.0,251.0,77.0,698.0,182.0,474.0,1133.0,608.0,115.0,104.0,758.0,42.0,176.0,572.0,877.0,220.0,1713.0,97.0,5979.0,1387.0,188.0,393.0,425.0,693.0,289.0,466.0,142.0,443.0,239.0,64.0,279.0,84.0,28.0,315.0,1559.0,1539.0,837.0,619.0,3564.0,1527.0,298.0,1919.0,1071.0,567.0,128.0,639.0,138.0,1159.0,555.0,876.0,833.0,121.0,43.0,352.0,865.0,201.0,286.0,478.0,1555.0,202.0,534.0,2241.0,0.0,1801.0,224.0,555.0,1360.0,707.0
fbaA_1_28_B_MM9,2629.0,1735.0,2171.0,686.0,1965.0,2592.0,884.0,3329.0,2123.0,1023.0,793.0,1438.0,1107.0,1307.0,1137.0,2070.0,2322.0,2876.0,241.0,686.0,387.0,773.0,315.0,509.0,2331.0,477.0,239.0,127.0,1787.0,57.0,527.0,121.0,586.0,131.0,3426.0,319.0,641.0,10747.0,323.0,504.0,299.0,578.0,374.0,1274.0,251.0,818.0,381.0,132.0,413.0,133.0,359.0,310.0,1616.0,2379.0,934.0,1022.0,6278.0,1964.0,707.0,2784.0,1119.0,692.0,284.0,1155.0,388.0,1241.0,1207.0,1243.0,710.0,24.0,211.0,1065.0,1647.0,568.0,233.0,1810.0,1500.0,455.0,1474.0,3540.0,0.0,3728.0,550.0,1442.0,2264.0,979.0
