,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapB_3_239_B_MM10,dapB_3_239_B_MM6,dapB_3_239_B_MM9,dapB_3_239_C,dapD_1_42_C,dapD_1_42_MM10,dapD_1_42_MM4,dapD_1_42_MM6,dapD_1_42_MM8,dapF_1_79_C,dapF_1_79_MM10,dapF_1_79_MM4,dapF_1_79_MM6,dapF_1_79_MM8,dnaB_1_16_B_MM4,dnaB_1_16_B_MM6,dnaB_1_16_B_MM8,dnaB_1_16_C,dnaE_1_10_B_MM10,dnaE_1_10_B_MM5,dnaE_1_10_B_MM8,dnaE_1_10_C,dnaX_1_33_B_MM3,dnaX_1_33_B_MM6,dnaX_1_33_B_MM9,dnaX_1_33_C,eno_3_219_B_MM10,eno_3_219_B_MM5,eno_3_219_B_MM8,eno_3_219_C,fake_negC_rand_42,fbaA_1_28_B_MM5,fbaA_1_28_B_MM7,fbaA_1_28_B_MM9,fbaA_1_28_C,gapA_1_33_B_MM10,gapA_1_33_B_MM5,gapA_1_33_B_MM8,gapA_1_33_C,holB_3_220_B_MM10,holB_3_220_B_MM5,holB_3_220_B_MM9,holB_3_220_C,ligA_1_82_B_MM5,ligA_1_82_B_MM7,ligA_1_82_B_MM9,ligA_1_82_C,negC_rand_42,parE_1_26_B_MM10,parE_1_26_B_MM5,parE_1_26_B_MM8,parE_1_26_C,pfkA_1_43_B_MM10,pfkA_1_43_B_MM5,pfkA_1_43_B_MM9,pfkA_1_43_C,pgi_3_279_B_MM10,pgi_3_279_B_MM5,pgi_3_279_B_MM8,pgi_3_279_C,purD_1_47_C,purD_1_47_MM10,purD_1_47_MM4,purD_1_47_MM6,purD_1_47_MM8,purF_1_23_C,purF_1_23_MM10,purF_1_23_MM4,purF_1_23_MM6,purF_1_23_MM8,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purN_3_238_B_MM10,purN_3_238_B_MM5,purN_3_238_B_MM8,purN_3_238_C,tpiA_1_45_B_MM10,tpiA_1_45_B_MM4,tpiA_1_45_B_MM7,tpiA_1_45_C
dapA_1_98_B_MM3,36829.0,8449.0,10234.0,699.0,13483.0,5834.0,4546.0,9046.0,5905.0,4130.0,5299.0,3217.0,8944.0,3995.0,2458.0,3176.0,4566.0,7332.0,2045.0,1271.0,1469.0,1717.0,1364.0,1970.0,6339.0,1478.0,601.0,1413.0,3905.0,260.0,784.0,1149.0,1577.0,351.0,6415.0,253.0,6818.0,8119.0,619.0,4916.0,2120.0,3247.0,742.0,4486.0,429.0,3787.0,769.0,233.0,640.0,152.0,497.0,1328.0,4765.0,4731.0,3722.0,3266.0,17781.0,7570.0,3046.0,2257.0,5500.0,2447.0,2711.0,3471.0,1997.0,4066.0,1861.0,5012.0,2748.0,1292.0,135.0,2932.0,3238.0,1784.0,676.0,1943.0,3336.0,1037.0,5808.0,5110.0,0.0,7607.0,932.0,8671.0,5800.0,2889.0
dapA_1_98_B_MM7,5193.0,21558.0,4231.0,345.0,4107.0,3390.0,2680.0,4967.0,7082.0,1732.0,3847.0,4159.0,4141.0,1825.0,2500.0,3932.0,3136.0,4682.0,1063.0,811.0,1028.0,445.0,573.0,1448.0,1813.0,1557.0,571.0,550.0,2853.0,166.0,79.0,1085.0,866.0,366.0,5221.0,303.0,2665.0,3995.0,629.0,2471.0,2385.0,1684.0,403.0,2565.0,482.0,1735.0,487.0,172.0,865.0,678.0,72.0,1705.0,3081.0,2352.0,415.0,4045.0,8250.0,2304.0,1117.0,1335.0,1207.0,3171.0,3333.0,1839.0,481.0,1879.0,943.0,835.0,1738.0,52.0,277.0,1031.0,1405.0,541.0,527.0,2143.0,2610.0,745.0,2151.0,6004.0,0.0,6376.0,1315.0,4808.0,7723.0,2866.0
dapA_1_98_B_MM9,5927.0,7931.0,36390.0,2967.0,8024.0,4571.0,8554.0,8629.0,8732.0,5083.0,3454.0,7182.0,6945.0,1844.0,5786.0,3428.0,4425.0,8603.0,1076.0,1793.0,1350.0,967.0,1476.0,3007.0,5214.0,2230.0,817.0,693.0,3875.0,264.0,1085.0,976.0,1883.0,534.0,10882.0,1361.0,2749.0,5392.0,754.0,2988.0,2028.0,691.0,1852.0,3652.0,642.0,3560.0,614.0,94.0,891.0,308.0,310.0,3024.0,3998.0,5037.0,2856.0,2379.0,24114.0,3376.0,2907.0,2412.0,5193.0,4089.0,1351.0,1680.0,496.0,5386.0,2357.0,2114.0,3015.0,66.0,46.0,1359.0,2462.0,1140.0,383.0,1382.0,6328.0,486.0,6306.0,3319.0,0.0,7440.0,2203.0,3206.0,3577.0,5301.0
dapA_1_98_C,4577.0,289.0,3496.0,8645.0,2252.0,3022.0,1352.0,869.0,1402.0,851.0,819.0,491.0,3636.0,1024.0,683.0,922.0,795.0,2732.0,129.0,1658.0,355.0,413.0,69.0,1433.0,1823.0,828.0,112.0,649.0,504.0,17.0,900.0,367.0,505.0,31.0,5820.0,75.0,544.0,1223.0,480.0,398.0,622.0,1265.0,48.0,258.0,214.0,2332.0,114.0,105.0,65.0,230.0,763.0,77.0,1530.0,2036.0,156.0,401.0,6537.0,1755.0,717.0,609.0,1326.0,3059.0,49.0,1380.0,178.0,1429.0,421.0,367.0,375.0,23.0,233.0,724.0,274.0,810.0,70.0,722.0,786.0,508.0,2615.0,965.0,0.0,3321.0,98.0,1038.0,1738.0,850.0
dapB_3_239_B_MM10,9094.0,3106.0,6844.0,2585.0,31604.0,3815.0,3116.0,6195.0,3103.0,3098.0,4283.0,5288.0,6180.0,1655.0,2296.0,6078.0,3256.0,7623.0,601.0,1622.0,1908.0,1209.0,533.0,3055.0,2410.0,804.0,452.0,279.0,2321.0,149.0,2094.0,715.0,1475.0,320.0,7345.0,305.0,1719.0,2981.0,1445.0,2139.0,970.0,1918.0,1812.0,3533.0,955.0,1901.0,1009.0,524.0,1175.0,917.0,1072.0,2088.0,8811.0,4757.0,1722.0,2823.0,12859.0,4324.0,2318.0,2302.0,4987.0,1695.0,516.0,1519.0,463.0,3944.0,3024.0,2167.0,2633.0,1307.0,310.0,909.0,2466.0,796.0,1257.0,2769.0,6160.0,1241.0,4876.0,5135.0,0.0,6942.0,2169.0,3483.0,4121.0,3279.0
dapB_3_239_B_MM6,6404.0,4717.0,4560.0,4658.0,5738.0,20888.0,5450.0,3780.0,3196.0,1298.0,2616.0,4742.0,2845.0,1649.0,3093.0,3315.0,4436.0,5398.0,860.0,999.0,671.0,578.0,271.0,1888.0,3011.0,975.0,400.0,191.0,485.0,137.0,1262.0,748.0,1788.0,404.0,3637.0,329.0,1000.0,4603.0,1133.0,1957.0,661.0,865.0,469.0,4153.0,1293.0,2191.0,233.0,50.0,1723.0,328.0,744.0,416.0,6736.0,3858.0,829.0,925.0,13887.0,4822.0,1177.0,2033.0,6745.0,625.0,80.0,1366.0,313.0,2767.0,2115.0,1703.0,1426.0,324.0,38.0,1267.0,3068.0,1298.0,353.0,2551.0,3361.0,869.0,3602.0,3349.0,0.0,4834.0,1460.0,2298.0,4827.0,2533.0
dapB_3_239_B_MM9,3446.0,1607.0,6306.0,1019.0,7717.0,4116.0,16520.0,3526.0,2388.0,1116.0,2330.0,3540.0,3298.0,1683.0,1360.0,2335.0,2956.0,2080.0,211.0,417.0,328.0,524.0,700.0,833.0,1926.0,188.0,268.0,257.0,1210.0,79.0,610.0,817.0,1873.0,454.0,3516.0,35.0,1906.0,1578.0,660.0,2240.0,793.0,3541.0,1241.0,1103.0,374.0,842.0,60.0,31.0,356.0,221.0,495.0,2135.0,2636.0,4416.0,3724.0,2689.0,14163.0,2100.0,856.0,2936.0,1830.0,314.0,72.0,1103.0,503.0,2533.0,1942.0,1661.0,781.0,611.0,42.0,884.0,1129.0,303.0,448.0,1561.0,652.0,205.0,5666.0,4585.0,0.0,9893.0,579.0,1524.0,2226.0,1614.0
dapB_3_239_C,8085.0,5032.0,7734.0,1661.0,8084.0,5243.0,2904.0,27942.0,2428.0,1735.0,5395.0,2020.0,7875.0,2523.0,2253.0,4132.0,2673.0,4333.0,949.0,295.0,850.0,1341.0,1221.0,2178.0,5500.0,1278.0,811.0,458.0,1314.0,127.0,260.0,1241.0,4328.0,1461.0,13184.0,529.0,2705.0,5204.0,759.0,2494.0,2146.0,2352.0,1284.0,2595.0,980.0,4128.0,498.0,206.0,1202.0,206.0,147.0,1684.0,4202.0,4936.0,3131.0,2214.0,18806.0,4694.0,550.0,1588.0,4536.0,2184.0,1737.0,3971.0,227.0,3569.0,1582.0,1053.0,2384.0,77.0,306.0,1633.0,1922.0,673.0,1426.0,1204.0,1634.0,903.0,4503.0,4822.0,0.0,4798.0,663.0,3190.0,8701.0,2817.0
dapD_1_42_C,7646.0,2970.0,5736.0,5686.0,4651.0,3660.0,1073.0,7352.0,17299.0,1164.0,1519.0,1927.0,3989.0,2433.0,1650.0,3297.0,4067.0,4023.0,746.0,1317.0,2054.0,975.0,744.0,2086.0,2423.0,731.0,392.0,1010.0,1366.0,152.0,1355.0,696.0,2833.0,482.0,3027.0,375.0,3504.0,3317.0,996.0,1891.0,1207.0,872.0,360.0,990.0,836.0,1843.0,344.0,83.0,209.0,254.0,387.0,668.0,3995.0,6424.0,2458.0,958.0,9373.0,2228.0,914.0,2222.0,3659.0,835.0,135.0,2803.0,323.0,2922.0,1263.0,848.0,1114.0,47.0,52.0,1320.0,2318.0,1472.0,234.0,1874.0,2652.0,114.0,3646.0,3211.0,0.0,8644.0,1977.0,2950.0,5311.0,1650.0
dapD_1_42_MM10,3741.0,2865.0,3943.0,849.0,2992.0,2768.0,2344.0,1917.0,1392.0,9449.0,2871.0,1066.0,1611.0,264.0,1429.0,655.0,815.0,3246.0,63.0,278.0,625.0,330.0,99.0,690.0,1869.0,686.0,50.0,68.0,971.0,7.0,269.0,441.0,769.0,196.0,2358.0,52.0,1208.0,2406.0,535.0,2492.0,378.0,465.0,279.0,1307.0,483.0,869.0,132.0,628.0,172.0,23.0,329.0,1773.0,3230.0,3171.0,1232.0,1340.0,8887.0,803.0,133.0,1619.0,1644.0,261.0,29.0,1631.0,150.0,2394.0,1435.0,550.0,433.0,549.0,840.0,193.0,822.0,743.0,58.0,627.0,1853.0,152.0,1172.0,1904.0,0.0,4349.0,1710.0,1430.0,3171.0,1656.0
dapD_1_42_MM4,2890.0,2183.0,5631.0,817.0,2477.0,1104.0,2161.0,5582.0,1111.0,1255.0,10741.0,4967.0,2956.0,461.0,2549.0,484.0,1619.0,2848.0,153.0,174.0,465.0,276.0,742.0,553.0,1551.0,1630.0,402.0,1011.0,1509.0,13.0,605.0,57.0,919.0,261.0,2342.0,375.0,2173.0,1544.0,339.0,4436.0,579.0,252.0,734.0,543.0,376.0,797.0,294.0,42.0,218.0,502.0,78.0,578.0,2711.0,1810.0,258.0,947.0,4646.0,2387.0,403.0,1939.0,2241.0,1370.0,235.0,1366.0,296.0,1974.0,2115.0,739.0,740.0,147.0,146.0,609.0,1236.0,503.0,741.0,2357.0,4230.0,1249.0,4019.0,1897.0,0.0,5050.0,902.0,1007.0,3258.0,1398.0
dapD_1_42_MM6,3672.0,734.0,3560.0,2944.0,2791.0,3534.0,2611.0,2257.0,1040.0,3689.0,1918.0,15860.0,1946.0,1074.0,2165.0,1277.0,2299.0,4049.0,1521.0,539.0,990.0,395.0,169.0,2455.0,3414.0,2315.0,88.0,242.0,789.0,19.0,247.0,385.0,2599.0,399.0,6389.0,51.0,3922.0,1415.0,845.0,1730.0,673.0,1379.0,308.0,1483.0,229.0,3309.0,375.0,203.0,141.0,352.0,375.0,321.0,4664.0,6520.0,1720.0,1384.0,9177.0,2054.0,367.0,2505.0,1805.0,1526.0,100.0,1916.0,509.0,2542.0,1753.0,919.0,1320.0,85.0,53.0,1295.0,1393.0,312.0,933.0,1818.0,2891.0,519.0,3051.0,3057.0,0.0,3831.0,766.0,3158.0,2712.0,702.0
dapD_1_42_MM8,3681.0,1378.0,8193.0,972.0,5571.0,2354.0,5425.0,5076.0,3193.0,1026.0,2738.0,1187.0,16278.0,1341.0,1858.0,949.0,2464.0,4309.0,1555.0,1215.0,279.0,1840.0,265.0,1364.0,2607.0,654.0,386.0,123.0,349.0,26.0,1538.0,363.0,2271.0,878.0,6844.0,575.0,1530.0,1350.0,590.0,2098.0,1501.0,504.0,997.0,2012.0,490.0,1156.0,211.0,985.0,284.0,487.0,531.0,374.0,4045.0,3597.0,600.0,1458.0,8214.0,3139.0,923.0,3667.0,1452.0,278.0,574.0,2221.0,408.0,2355.0,1790.0,1581.0,1236.0,82.0,240.0,1302.0,1663.0,1310.0,684.0,1993.0,4423.0,373.0,4684.0,3688.0,0.0,4434.0,1040.0,2119.0,2717.0,1375.0
dapF_1_79_C,1952.0,2941.0,3549.0,1352.0,1799.0,1307.0,1929.0,1195.0,1751.0,966.0,2095.0,1839.0,1134.0,7059.0,712.0,3209.0,1519.0,1782.0,278.0,116.0,171.0,306.0,720.0,253.0,1278.0,559.0,262.0,202.0,326.0,9.0,108.0,733.0,899.0,162.0,1563.0,138.0,228.0,1029.0,892.0,982.0,1466.0,549.0,425.0,795.0,478.0,568.0,208.0,9.0,44.0,327.0,63.0,650.0,1716.0,1655.0,148.0,1433.0,4951.0,3300.0,2140.0,473.0,2440.0,1574.0,75.0,1928.0,201.0,927.0,645.0,645.0,561.0,95.0,28.0,459.0,409.0,305.0,417.0,851.0,2135.0,60.0,708.0,921.0,0.0,5082.0,56.0,2815.0,1683.0,845.0
dapF_1_79_MM10,3608.0,3069.0,3889.0,678.0,2307.0,3708.0,952.0,4747.0,1873.0,746.0,887.0,820.0,1849.0,1042.0,9863.0,2334.0,3922.0,4465.0,291.0,255.0,112.0,310.0,353.0,2283.0,2157.0,1471.0,214.0,116.0,1585.0,20.0,259.0,394.0,629.0,351.0,2283.0,39.0,523.0,1638.0,688.0,1847.0,206.0,656.0,1614.0,1326.0,248.0,1109.0,124.0,99.0,290.0,92.0,274.0,788.0,2035.0,2436.0,282.0,2374.0,5053.0,4727.0,1051.0,2815.0,1831.0,1394.0,46.0,3117.0,330.0,5143.0,1043.0,922.0,494.0,197.0,100.0,791.0,502.0,299.0,226.0,1445.0,2587.0,154.0,545.0,2861.0,0.0,3991.0,492.0,839.0,1667.0,1247.0
