,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapB_3_239_B_MM10,dapB_3_239_B_MM6,dapB_3_239_B_MM9,dapB_3_239_C,dapD_1_42_C,dapD_1_42_MM10,dapD_1_42_MM4,dapD_1_42_MM6,dapD_1_42_MM8,dapF_1_79_C,dapF_1_79_MM10,dapF_1_79_MM4,dapF_1_79_MM6,dapF_1_79_MM8,dnaB_1_16_B_MM4,dnaB_1_16_B_MM6,dnaB_1_16_B_MM8,dnaB_1_16_C,dnaE_1_10_B_MM10,dnaE_1_10_B_MM5,dnaE_1_10_B_MM8,dnaE_1_10_C,dnaX_1_33_B_MM3,dnaX_1_33_B_MM6,dnaX_1_33_B_MM9,dnaX_1_33_C,eno_3_219_B_MM10,eno_3_219_B_MM5,eno_3_219_B_MM8,eno_3_219_C,fake_negC_rand_42,fbaA_1_28_B_MM5,fbaA_1_28_B_MM7,fbaA_1_28_B_MM9,fbaA_1_28_C,gapA_1_33_B_MM10,gapA_1_33_B_MM5,gapA_1_33_B_MM8,gapA_1_33_C,holB_3_220_B_MM10,holB_3_220_B_MM5,holB_3_220_B_MM9,holB_3_220_C,ligA_1_82_B_MM5,ligA_1_82_B_MM7,ligA_1_82_B_MM9,ligA_1_82_C,negC_rand_42,parE_1_26_B_MM10,parE_1_26_B_MM5,parE_1_26_B_MM8,parE_1_26_C,pfkA_1_43_B_MM10,pfkA_1_43_B_MM5,pfkA_1_43_B_MM9,pfkA_1_43_C,pgi_3_279_B_MM10,pgi_3_279_B_MM5,pgi_3_279_B_MM8,pgi_3_279_C,purD_1_47_C,purD_1_47_MM10,purD_1_47_MM4,purD_1_47_MM6,purD_1_47_MM8,purF_1_23_C,purF_1_23_MM10,purF_1_23_MM4,purF_1_23_MM6,purF_1_23_MM8,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purN_3_238_B_MM10,purN_3_238_B_MM5,purN_3_238_B_MM8,purN_3_238_C,tpiA_1_45_B_MM10,tpiA_1_45_B_MM4,tpiA_1_45_B_MM7,tpiA_1_45_C
dapA_1_98_B_MM3,30538.0,7890.0,11177.0,1697.0,9386.0,11384.0,7691.0,9137.0,6644.0,4375.0,8201.0,3302.0,13635.0,2868.0,4238.0,4131.0,1193.0,6379.0,239.0,674.0,565.0,1041.0,239.0,2803.0,3379.0,1483.0,10.0,245.0,3637.0,106.0,1874.0,187.0,657.0,914.0,11020.0,348.0,1591.0,2310.0,54.0,3259.0,665.0,2280.0,134.0,4567.0,875.0,2738.0,827.0,260.0,258.0,20.0,239.0,2583.0,4943.0,4350.0,1262.0,3378.0,14545.0,5748.0,929.0,4594.0,4448.0,3001.0,851.0,526.0,650.0,4301.0,1310.0,1547.0,902.0,239.0,35.0,904.0,1701.0,312.0,624.0,2487.0,4399.0,183.0,7070.0,2226.0,0.0,13675.0,1617.0,2651.0,6868.0,2181.0
dapA_1_98_B_MM7,3665.0,17158.0,3829.0,612.0,5462.0,2748.0,6770.0,2682.0,2372.0,964.0,984.0,3926.0,4949.0,479.0,7372.0,1453.0,5720.0,4602.0,244.0,148.0,1962.0,189.0,368.0,686.0,2623.0,421.0,225.0,245.0,384.0,2.0,106.0,407.0,446.0,10.0,5355.0,150.0,380.0,3909.0,374.0,957.0,2238.0,1113.0,617.0,2782.0,149.0,1325.0,1217.0,616.0,614.0,196.0,712.0,766.0,1803.0,1462.0,247.0,832.0,12257.0,1598.0,1981.0,1767.0,3572.0,3042.0,201.0,566.0,5.0,1437.0,609.0,619.0,507.0,451.0,276.0,479.0,1171.0,174.0,175.0,674.0,4213.0,356.0,6270.0,1908.0,0.0,3180.0,925.0,3659.0,1474.0,911.0
dapA_1_98_B_MM9,6845.0,1691.0,31259.0,1605.0,8161.0,9185.0,7211.0,2719.0,3627.0,2545.0,1970.0,6988.0,9890.0,2695.0,2183.0,6123.0,8333.0,7695.0,721.0,1092.0,698.0,497.0,415.0,2293.0,4965.0,1269.0,219.0,249.0,6032.0,116.0,1407.0,830.0,1393.0,419.0,6415.0,187.0,1247.0,124.0,199.0,3552.0,2334.0,1150.0,39.0,3613.0,342.0,1889.0,388.0,522.0,228.0,171.0,698.0,3131.0,5402.0,3554.0,156.0,2008.0,30122.0,2445.0,783.0,3104.0,5983.0,3059.0,67.0,2276.0,365.0,8945.0,947.0,1271.0,753.0,369.0,155.0,917.0,1006.0,1521.0,524.0,1156.0,3738.0,1024.0,6422.0,2674.0,0.0,12900.0,519.0,2678.0,7309.0,882.0
dapA_1_98_C,2323.0,1428.0,610.0,5107.0,4413.0,1552.0,1783.0,3041.0,1716.0,1078.0,301.0,38.0,2685.0,219.0,643.0,1032.0,3166.0,1450.0,118.0,125.0,9.0,159.0,105.0,511.0,646.0,339.0,39.0,25.0,789.0,6.0,14.0,397.0,1580.0,4.0,3397.0,25.0,1084.0,300.0,76.0,251.0,538.0,565.0,220.0,1172.0,129.0,727.0,25.0,2.0,100.0,161.0,11.0,592.0,2491.0,1019.0,345.0,352.0,13397.0,2815.0,250.0,670.0,1101.0,537.0,120.0,759.0,23.0,2366.0,464.0,152.0,894.0,32.0,195.0,174.0,161.0,152.0,407.0,378.0,398.0,5.0,1595.0,1691.0,0.0,4239.0,64.0,90.0,1578.0,1171.0
dapB_3_239_B_MM10,12063.0,10250.0,7749.0,3113.0,21535.0,5059.0,5823.0,4246.0,1468.0,5300.0,1668.0,2526.0,2715.0,1105.0,1903.0,1520.0,2796.0,5750.0,432.0,233.0,196.0,221.0,714.0,1494.0,2679.0,896.0,139.0,10.0,1338.0,172.0,142.0,1390.0,1230.0,511.0,5092.0,62.0,1891.0,4588.0,329.0,1435.0,1032.0,2355.0,393.0,6249.0,637.0,1258.0,177.0,119.0,335.0,187.0,935.0,1314.0,7210.0,3567.0,2000.0,3359.0,11836.0,6320.0,509.0,2020.0,1198.0,913.0,422.0,82.0,162.0,4022.0,1255.0,577.0,645.0,44.0,745.0,1883.0,1489.0,397.0,1714.0,5047.0,3867.0,299.0,6473.0,6660.0,0.0,15107.0,348.0,3596.0,3067.0,1631.0
dapB_3_239_B_MM6,7843.0,3521.0,11843.0,1899.0,5208.0,17711.0,1525.0,3805.0,2266.0,1589.0,2486.0,849.0,3717.0,1374.0,1748.0,1951.0,3569.0,2937.0,287.0,326.0,252.0,530.0,539.0,874.0,2001.0,1167.0,259.0,85.0,1322.0,2.0,1746.0,452.0,279.0,1453.0,3764.0,17.0,1786.0,825.0,132.0,1457.0,1275.0,2509.0,622.0,2125.0,576.0,1612.0,41.0,125.0,114.0,40.0,512.0,379.0,892.0,3214.0,1032.0,1372.0,9971.0,2225.0,2572.0,2888.0,1635.0,2004.0,504.0,1716.0,429.0,2060.0,546.0,332.0,502.0,301.0,8.0,1627.0,947.0,225.0,276.0,1512.0,3147.0,1102.0,1881.0,4554.0,0.0,3658.0,768.0,1876.0,4228.0,1638.0
dapB_3_239_B_MM9,3245.0,1550.0,5032.0,1815.0,2296.0,1675.0,11794.0,4918.0,1830.0,929.0,1432.0,2171.0,3012.0,706.0,1331.0,991.0,1620.0,1166.0,624.0,47.0,503.0,220.0,22.0,349.0,2171.0,673.0,31.0,9.0,1670.0,1.0,207.0,187.0,2377.0,698.0,2470.0,18.0,329.0,4616.0,270.0,1331.0,831.0,297.0,15.0,949.0,258.0,1052.0,146.0,220.0,164.0,207.0,679.0,565.0,1562.0,2237.0,668.0,1349.0,8556.0,3386.0,1411.0,2757.0,7390.0,1387.0,626.0,660.0,186.0,2148.0,369.0,641.0,471.0,201.0,211.0,449.0,687.0,384.0,136.0,1566.0,1150.0,353.0,4164.0,1988.0,0.0,7210.0,160.0,3156.0,2016.0,2022.0
dapB_3_239_C,9955.0,5046.0,5304.0,2618.0,4798.0,6722.0,1862.0,17523.0,1826.0,2522.0,3868.0,2768.0,3160.0,685.0,3018.0,2771.0,3193.0,1773.0,456.0,217.0,722.0,966.0,283.0,986.0,2035.0,1058.0,64.0,75.0,1387.0,165.0,1865.0,377.0,3513.0,346.0,7685.0,81.0,2571.0,4611.0,387.0,2661.0,1608.0,1392.0,348.0,4146.0,758.0,1364.0,100.0,208.0,624.0,474.0,283.0,869.0,2730.0,2297.0,480.0,1117.0,13910.0,4124.0,3766.0,2335.0,6171.0,3161.0,20.0,2293.0,79.0,2567.0,433.0,752.0,476.0,427.0,503.0,622.0,941.0,582.0,929.0,4434.0,6766.0,533.0,1723.0,3941.0,0.0,9569.0,2652.0,4023.0,8214.0,3000.0
dapD_1_42_C,1846.0,1737.0,2734.0,1158.0,3682.0,4095.0,767.0,1087.0,9837.0,505.0,1853.0,1024.0,4140.0,1358.0,1168.0,2125.0,1896.0,3499.0,50.0,332.0,57.0,35.0,26.0,746.0,1035.0,740.0,8.0,168.0,4311.0,3.0,524.0,512.0,600.0,54.0,5056.0,196.0,768.0,802.0,415.0,1687.0,130.0,1081.0,111.0,1455.0,371.0,2001.0,280.0,341.0,419.0,61.0,85.0,523.0,3381.0,1377.0,659.0,1560.0,11417.0,929.0,697.0,1847.0,3513.0,542.0,1640.0,1645.0,308.0,5141.0,392.0,383.0,696.0,127.0,74.0,561.0,1085.0,715.0,17.0,2575.0,1675.0,1003.0,5398.0,787.0,0.0,3586.0,43.0,1460.0,6122.0,2886.0
dapD_1_42_MM10,3294.0,1137.0,3403.0,863.0,3366.0,2007.0,2087.0,2564.0,1286.0,10938.0,580.0,1865.0,1099.0,813.0,642.0,507.0,436.0,2393.0,52.0,227.0,553.0,17.0,353.0,656.0,1562.0,922.0,79.0,10.0,646.0,0.0,19.0,107.0,621.0,5.0,145.0,55.0,1948.0,466.0,49.0,624.0,621.0,35.0,266.0,228.0,506.0,349.0,9.0,103.0,60.0,7.0,9.0,50.0,3657.0,421.0,22.0,174.0,7913.0,1270.0,327.0,1066.0,1334.0,168.0,8.0,297.0,88.0,4602.0,217.0,52.0,566.0,5.0,12.0,92.0,345.0,360.0,44.0,541.0,1263.0,246.0,6173.0,1507.0,0.0,7754.0,262.0,913.0,3363.0,557.0
dapD_1_42_MM4,3203.0,2862.0,3475.0,868.0,1631.0,2452.0,506.0,3082.0,1870.0,2660.0,4629.0,914.0,1772.0,543.0,1061.0,42.0,3044.0,2334.0,155.0,111.0,289.0,172.0,18.0,716.0,607.0,246.0,85.0,89.0,62.0,171.0,947.0,121.0,510.0,62.0,1041.0,7.0,213.0,1022.0,448.0,666.0,1320.0,876.0,52.0,247.0,145.0,1076.0,371.0,33.0,440.0,6.0,251.0,1569.0,1878.0,1750.0,432.0,1147.0,6447.0,1764.0,622.0,936.0,3770.0,1788.0,168.0,3068.0,153.0,2349.0,590.0,610.0,1274.0,5.0,7.0,164.0,973.0,70.0,14.0,165.0,221.0,250.0,4594.0,2088.0,0.0,1145.0,75.0,510.0,649.0,987.0
dapD_1_42_MM6,5529.0,2211.0,4580.0,700.0,2291.0,3017.0,581.0,1436.0,776.0,847.0,34.0,6271.0,5973.0,309.0,4829.0,1613.0,1978.0,2822.0,568.0,288.0,104.0,260.0,898.0,907.0,1434.0,1867.0,64.0,15.0,1013.0,78.0,762.0,420.0,358.0,135.0,2950.0,115.0,503.0,1719.0,48.0,726.0,689.0,492.0,166.0,2800.0,338.0,1058.0,959.0,12.0,524.0,71.0,3.0,285.0,2836.0,1249.0,1625.0,1788.0,7410.0,1255.0,115.0,1133.0,1950.0,268.0,82.0,1656.0,208.0,3450.0,142.0,920.0,1021.0,2.0,332.0,813.0,1168.0,225.0,238.0,1460.0,1061.0,209.0,94.0,1796.0,0.0,3532.0,274.0,2610.0,4341.0,908.0
dapD_1_42_MM8,5350.0,5564.0,3960.0,137.0,4506.0,6336.0,3274.0,3628.0,3597.0,1921.0,1090.0,4303.0,12378.0,359.0,2273.0,668.0,1563.0,2879.0,397.0,103.0,310.0,410.0,328.0,1264.0,1359.0,1260.0,46.0,443.0,402.0,0.0,1019.0,156.0,717.0,212.0,3151.0,3.0,2288.0,1734.0,544.0,1605.0,735.0,723.0,959.0,1365.0,233.0,800.0,187.0,240.0,723.0,310.0,142.0,222.0,5976.0,3461.0,250.0,2475.0,9782.0,5101.0,1191.0,1863.0,6807.0,3137.0,337.0,1181.0,117.0,716.0,742.0,443.0,299.0,270.0,594.0,874.0,1189.0,342.0,784.0,674.0,4921.0,695.0,8440.0,5776.0,0.0,5213.0,742.0,2476.0,3183.0,1399.0
dapF_1_79_C,3015.0,1484.0,2288.0,305.0,743.0,2040.0,297.0,3344.0,534.0,1699.0,413.0,478.0,1443.0,4307.0,230.0,1213.0,1140.0,2181.0,304.0,96.0,117.0,96.0,7.0,264.0,922.0,428.0,19.0,58.0,739.0,1.0,296.0,353.0,661.0,171.0,492.0,30.0,349.0,787.0,159.0,92.0,188.0,855.0,8.0,730.0,329.0,396.0,203.0,2.0,436.0,3.0,128.0,314.0,1934.0,1369.0,12.0,514.0,5261.0,3071.0,1193.0,191.0,3937.0,190.0,418.0,944.0,86.0,1876.0,47.0,257.0,118.0,0.0,105.0,131.0,283.0,513.0,220.0,84.0,1354.0,136.0,2705.0,833.0,0.0,2370.0,114.0,1669.0,1834.0,1165.0
dapF_1_79_MM10,2218.0,1326.0,2732.0,1169.0,5488.0,2237.0,2116.0,1069.0,899.0,130.0,397.0,286.0,2342.0,728.0,7694.0,3356.0,1788.0,2337.0,86.0,924.0,392.0,364.0,139.0,1677.0,1453.0,164.0,118.0,210.0,1000.0,0.0,1134.0,389.0,459.0,18.0,473.0,63.0,1503.0,2427.0,17.0,2672.0,126.0,180.0,153.0,1321.0,30.0,523.0,55.0,117.0,203.0,216.0,529.0,29.0,4235.0,514.0,1530.0,401.0,7339.0,1562.0,235.0,758.0,4108.0,1490.0,334.0,1002.0,171.0,2031.0,369.0,235.0,616.0,2.0,9.0,51.0,1024.0,155.0,254.0,976.0,137.0,350.0,1135.0,794.0,0.0,2506.0,1364.0,1632.0,1078.0,638.0
dapF_1_79_MM4,4064.0,5126.0,2650.0,846.0,3499.0,5377.0,3557.0,2762.0,632.0,1370.0,572.0,1997.0,3942.0,2114.0,2046.0,14849.0,1479.0,7974.0,274.0,451.0,979.0,441.0,132.0,735.0,1544.0,246.0,278.0,621.0,3083.0,58.0,25.0,272.0,1145.0,82.0,8695.0,79.0,2318.0,894.0,291.0,1307.0,392.0,2520.0,682.0,2454.0,465.0,1034.0,316.0,700.0,161.0,13.0,535.0,987.0,4698.0,1572.0,1326.0,1543.0,8633.0,4277.0,1774.0,3125.0,4360.0,1543.0,333.0,3338.0,236.0,2082.0,987.0,356.0,324.0,30.0,153.0,801.0,821.0,371.0,169.0,1543.0,1650.0,190.0,5983.0,7363.0,0.0,4994.0,2802.0,2389.0,3220.0,3821.0
dapF_1_79_MM6,3603.0,3105.0,2983.0,1148.0,3075.0,712.0,1278.0,3121.0,1434.0,3958.0,1258.0,1849.0,932.0,1775.0,4065.0,1909.0,12408.0,13077.0,172.0,737.0,143.0,105.0,376.0,1276.0,2236.0,442.0,87.0,9.0,1499.0,64.0,91.0,991.0,536.0,29.0,7300.0,372.0,1647.0,7188.0,665.0,1864.0,1908.0,2379.0,850.0,2886.0,144.0,2283.0,16.0,555.0,606.0,1795.0,370.0,934.0,4687.0,1393.0,1255.0,144.0,10745.0,2145.0,2891.0,2275.0,5154.0,1492.0,18.0,2803.0,58.0,5911.0,827.0,330.0,667.0,68.0,7.0,364.0,616.0,347.0,780.0,1142.0,1760.0,19.0,1390.0,4249.0,0.0,8671.0,2136.0,3121.0,1908.0,1055.0
dapF_1_79_MM8,3426.0,5671.0,7678.0,819.0,5873.0,5145.0,4093.0,1854.0,4066.0,2337.0,2282.0,725.0,5312.0,869.0,6249.0,3158.0,3821.0,24267.0,449.0,309.0,649.0,241.0,311.0,2783.0,2766.0,1016.0,130.0,41.0,4061.0,1.0,834.0,1457.0,858.0,329.0,11285.0,231.0,4065.0,2052.0,565.0,2824.0,1613.0,1732.0,975.0,3000.0,855.0,1825.0,98.0,864.0,232.0,10.0,1097.0,915.0,2257.0,1818.0,1524.0,1254.0,19229.0,3867.0,1082.0,2298.0,8432.0,2840.0,1276.0,1675.0,462.0,3267.0,1450.0,529.0,779.0,4.0,164.0,762.0,774.0,196.0,251.0,780.0,2846.0,340.0,9639.0,3720.0,0.0,10142.0,154.0,3644.0,5677.0,1842.0
dnaB_1_16_B_MM4,670.0,1030.0,280.0,260.0,269.0,143.0,228.0,219.0,974.0,666.0,403.0,518.0,259.0,162.0,88.0,172.0,158.0,440.0,2269.0,205.0,443.0,150.0,5.0,159.0,637.0,220.0,226.0,9.0,42.0,18.0,7.0,8.0,356.0,50.0,715.0,164.0,158.0,87.0,0.0,10.0,348.0,33.0,0.0,265.0,3.0,18.0,6.0,0.0,0.0,3.0,55.0,9.0,127.0,183.0,266.0,90.0,1770.0,1020.0,284.0,162.0,115.0,135.0,60.0,11.0,106.0,794.0,114.0,76.0,192.0,1.0,1.0,259.0,207.0,5.0,4.0,17.0,598.0,84.0,28.0,478.0,0.0,697.0,3.0,325.0,119.0,384.0
dnaB_1_16_B_MM6,474.0,163.0,855.0,320.0,929.0,217.0,189.0,815.0,130.0,469.0,311.0,415.0,340.0,271.0,84.0,403.0,186.0,320.0,130.0,1614.0,545.0,367.0,84.0,124.0,369.0,91.0,2.0,169.0,252.0,0.0,5.0,127.0,143.0,80.0,2721.0,18.0,84.0,467.0,62.0,205.0,12.0,463.0,105.0,495.0,58.0,62.0,65.0,226.0,2.0,81.0,3.0,48.0,587.0,490.0,94.0,285.0,1976.0,644.0,802.0,409.0,449.0,12.0,105.0,120.0,19.0,266.0,148.0,279.0,226.0,3.0,2.0,39.0,135.0,285.0,197.0,207.0,578.0,30.0,439.0,260.0,0.0,625.0,309.0,600.0,1101.0,279.0
dnaB_1_16_B_MM8,1492.0,351.0,2127.0,483.0,985.0,1050.0,323.0,950.0,202.0,778.0,1257.0,940.0,829.0,287.0,514.0,962.0,522.0,1164.0,123.0,503.0,3014.0,13.0,133.0,430.0,592.0,920.0,28.0,32.0,13.0,0.0,13.0,170.0,783.0,4.0,149.0,83.0,357.0,299.0,264.0,14.0,286.0,150.0,174.0,1360.0,124.0,264.0,184.0,30.0,407.0,174.0,5.0,169.0,742.0,1728.0,119.0,94.0,2909.0,843.0,97.0,815.0,484.0,511.0,86.0,919.0,1.0,960.0,123.0,146.0,264.0,1.0,3.0,298.0,753.0,220.0,185.0,494.0,123.0,123.0,1735.0,2001.0,0.0,1249.0,808.0,580.0,84.0,232.0
