,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapB_3_239_B_MM10,dapB_3_239_B_MM6,dapB_3_239_B_MM9,dapB_3_239_C,dapD_1_42_C,dapD_1_42_MM10,dapD_1_42_MM4,dapD_1_42_MM6,dapD_1_42_MM8,dapF_1_79_C,dapF_1_79_MM10,dapF_1_79_MM4,dapF_1_79_MM6,dapF_1_79_MM8,dnaB_1_16_B_MM4,dnaB_1_16_B_MM6,dnaB_1_16_B_MM8,dnaB_1_16_C,dnaE_1_10_B_MM10,dnaE_1_10_B_MM5,dnaE_1_10_B_MM8,dnaE_1_10_C,dnaX_1_33_B_MM3,dnaX_1_33_B_MM6,dnaX_1_33_B_MM9,dnaX_1_33_C,eno_3_219_B_MM10,eno_3_219_B_MM5,eno_3_219_B_MM8,eno_3_219_C,fake_negC_rand_42,fbaA_1_28_B_MM5,fbaA_1_28_B_MM7,fbaA_1_28_B_MM9,fbaA_1_28_C,gapA_1_33_B_MM10,gapA_1_33_B_MM5,gapA_1_33_B_MM8,gapA_1_33_C,holB_3_220_B_MM10,holB_3_220_B_MM5,holB_3_220_B_MM9,holB_3_220_C,ligA_1_82_B_MM5,ligA_1_82_B_MM7,ligA_1_82_B_MM9,ligA_1_82_C,negC_rand_42,parE_1_26_B_MM10,parE_1_26_B_MM5,parE_1_26_B_MM8,parE_1_26_C,pfkA_1_43_B_MM10,pfkA_1_43_B_MM5,pfkA_1_43_B_MM9,pfkA_1_43_C,pgi_3_279_B_MM10,pgi_3_279_B_MM5,pgi_3_279_B_MM8,pgi_3_279_C,purD_1_47_C,purD_1_47_MM10,purD_1_47_MM4,purD_1_47_MM6,purD_1_47_MM8,purF_1_23_C,purF_1_23_MM10,purF_1_23_MM4,purF_1_23_MM6,purF_1_23_MM8,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purN_3_238_B_MM10,purN_3_238_B_MM5,purN_3_238_B_MM8,purN_3_238_C,tpiA_1_45_B_MM10,tpiA_1_45_B_MM4,tpiA_1_45_B_MM7,tpiA_1_45_C
dapA_1_98_B_MM3,29387.0,5975.0,9090.0,1313.0,10450.0,10056.0,6512.0,7822.0,3045.0,5554.0,3191.0,4489.0,10589.0,1640.0,2798.0,2259.0,5715.0,9579.0,148.0,129.0,702.0,77.0,299.0,1088.0,1752.0,758.0,47.0,400.0,4914.0,13.0,864.0,532.0,1836.0,161.0,3726.0,249.0,2464.0,4108.0,103.0,3592.0,1247.0,1449.0,565.0,5436.0,238.0,1421.0,33.0,161.0,498.0,765.0,133.0,1257.0,8298.0,2052.0,1536.0,678.0,14632.0,3003.0,839.0,620.0,6555.0,3003.0,1406.0,3499.0,60.0,7617.0,301.0,473.0,381.0,108.0,31.0,222.0,534.0,270.0,228.0,2024.0,4741.0,236.0,8389.0,6396.0,0.0,9527.0,1793.0,1128.0,1715.0,944.0
dapA_1_98_B_MM7,3862.0,21004.0,8026.0,722.0,10082.0,6161.0,3421.0,3575.0,1733.0,2583.0,539.0,1372.0,2398.0,1335.0,2496.0,3573.0,2081.0,6573.0,48.0,188.0,684.0,139.0,369.0,482.0,1492.0,613.0,78.0,32.0,1949.0,1.0,625.0,183.0,514.0,109.0,3415.0,120.0,1654.0,2150.0,69.0,1963.0,924.0,1118.0,415.0,2770.0,132.0,829.0,91.0,53.0,172.0,612.0,126.0,1310.0,10264.0,1002.0,647.0,627.0,13350.0,1327.0,4887.0,1729.0,4779.0,2650.0,435.0,802.0,56.0,4893.0,167.0,208.0,260.0,32.0,59.0,210.0,412.0,92.0,302.0,1391.0,3326.0,109.0,3946.0,5507.0,0.0,4374.0,237.0,816.0,1045.0,560.0
dapA_1_98_B_MM9,9043.0,6585.0,54509.0,1351.0,13297.0,12528.0,10190.0,6175.0,3153.0,8937.0,2089.0,3826.0,5068.0,2651.0,8000.0,9034.0,14988.0,20607.0,183.0,291.0,1006.0,67.0,723.0,1063.0,4746.0,1294.0,31.0,98.0,9550.0,17.0,1319.0,781.0,1816.0,404.0,7768.0,168.0,2476.0,4453.0,164.0,4099.0,2830.0,1835.0,626.0,6520.0,175.0,3290.0,137.0,149.0,622.0,223.0,313.0,3699.0,12430.0,5038.0,1977.0,1853.0,40305.0,2551.0,1853.0,1572.0,12809.0,4326.0,1142.0,4620.0,126.0,15908.0,382.0,296.0,1917.0,13.0,178.0,658.0,533.0,509.0,283.0,2268.0,6116.0,139.0,10988.0,13473.0,0.0,12242.0,1165.0,1251.0,4038.0,1936.0
dapA_1_98_C,1727.0,1300.0,1796.0,4660.0,1776.0,3020.0,1215.0,5091.0,1027.0,1110.0,620.0,563.0,1199.0,311.0,1798.0,776.0,1148.0,796.0,44.0,159.0,119.0,14.0,18.0,130.0,299.0,200.0,3.0,4.0,315.0,0.0,188.0,38.0,705.0,10.0,2179.0,8.0,777.0,240.0,53.0,493.0,460.0,571.0,45.0,776.0,196.0,679.0,12.0,45.0,149.0,19.0,44.0,108.0,917.0,560.0,463.0,326.0,3094.0,487.0,396.0,589.0,1551.0,861.0,367.0,475.0,5.0,2075.0,295.0,228.0,80.0,24.0,72.0,77.0,112.0,128.0,17.0,1249.0,502.0,35.0,771.0,1891.0,0.0,1823.0,101.0,1227.0,236.0,318.0
dapB_3_239_B_MM10,8636.0,6787.0,16434.0,2068.0,33386.0,5038.0,3825.0,3532.0,1553.0,2568.0,1349.0,2397.0,2554.0,514.0,1905.0,2333.0,4108.0,5066.0,89.0,60.0,814.0,98.0,278.0,1122.0,2428.0,881.0,130.0,20.0,2532.0,4.0,1152.0,225.0,2819.0,462.0,3837.0,34.0,2756.0,2423.0,158.0,2910.0,1509.0,4098.0,2079.0,6445.0,179.0,2518.0,68.0,208.0,369.0,561.0,245.0,2446.0,8540.0,3317.0,1101.0,1634.0,17615.0,2577.0,2816.0,1415.0,6728.0,1353.0,291.0,1846.0,108.0,3504.0,890.0,333.0,502.0,50.0,31.0,175.0,467.0,403.0,427.0,870.0,4246.0,89.0,2803.0,4880.0,0.0,11928.0,628.0,1022.0,2009.0,1559.0
dapB_3_239_B_MM6,7350.0,4120.0,9891.0,1826.0,5765.0,18320.0,4181.0,2653.0,1021.0,1989.0,1825.0,2514.0,2656.0,687.0,2084.0,1871.0,2432.0,4542.0,24.0,44.0,284.0,36.0,270.0,338.0,1344.0,528.0,17.0,63.0,1210.0,40.0,274.0,982.0,879.0,115.0,2516.0,87.0,1663.0,2581.0,84.0,2519.0,1648.0,1720.0,700.0,1774.0,173.0,1608.0,44.0,66.0,159.0,102.0,58.0,776.0,2548.0,1816.0,706.0,1111.0,12473.0,2212.0,1266.0,1930.0,4001.0,1073.0,766.0,1833.0,941.0,2590.0,411.0,213.0,330.0,4.0,16.0,363.0,297.0,229.0,157.0,524.0,3039.0,64.0,2539.0,4245.0,0.0,5947.0,687.0,1059.0,2629.0,1648.0
dapB_3_239_B_MM9,8281.0,2268.0,6606.0,1026.0,4626.0,2591.0,11791.0,3618.0,1309.0,1678.0,1150.0,690.0,1506.0,514.0,884.0,1832.0,2450.0,2170.0,25.0,53.0,303.0,30.0,212.0,419.0,871.0,144.0,116.0,17.0,1142.0,1.0,194.0,372.0,438.0,62.0,1336.0,38.0,326.0,823.0,115.0,2091.0,497.0,1743.0,74.0,1701.0,142.0,440.0,70.0,107.0,56.0,163.0,156.0,764.0,3508.0,1781.0,1235.0,690.0,6761.0,3472.0,189.0,1226.0,3247.0,755.0,185.0,1740.0,143.0,1948.0,235.0,168.0,257.0,14.0,115.0,187.0,225.0,214.0,900.0,815.0,811.0,67.0,1801.0,2410.0,0.0,3274.0,291.0,639.0,810.0,455.0
dapB_3_239_C,8270.0,4808.0,3612.0,1203.0,4927.0,3613.0,3041.0,15580.0,1145.0,1620.0,1988.0,960.0,2960.0,372.0,1506.0,1026.0,2057.0,3189.0,87.0,181.0,318.0,19.0,260.0,279.0,1592.0,317.0,90.0,154.0,1364.0,17.0,707.0,174.0,949.0,82.0,4025.0,316.0,1115.0,1957.0,178.0,2201.0,1128.0,1982.0,1088.0,1292.0,154.0,990.0,37.0,61.0,219.0,132.0,113.0,1216.0,2866.0,2536.0,1185.0,852.0,10882.0,5403.0,1347.0,1568.0,3173.0,837.0,586.0,4064.0,84.0,2592.0,334.0,375.0,340.0,39.0,35.0,436.0,375.0,149.0,158.0,1144.0,3718.0,265.0,1370.0,2233.0,0.0,3963.0,367.0,1012.0,3577.0,1294.0
dapD_1_42_C,3052.0,1835.0,2720.0,1439.0,1862.0,1425.0,598.0,1709.0,7654.0,1501.0,1612.0,974.0,3655.0,661.0,1283.0,1098.0,643.0,2307.0,16.0,48.0,211.0,26.0,178.0,415.0,926.0,398.0,12.0,43.0,993.0,20.0,135.0,153.0,1183.0,92.0,3963.0,14.0,972.0,1112.0,179.0,486.0,1018.0,883.0,230.0,1480.0,55.0,420.0,90.0,12.0,881.0,119.0,92.0,327.0,2186.0,629.0,270.0,562.0,3959.0,1096.0,420.0,733.0,1213.0,799.0,106.0,478.0,182.0,2493.0,230.0,248.0,3017.0,21.0,23.0,154.0,251.0,335.0,154.0,1258.0,1770.0,69.0,2075.0,1613.0,0.0,2086.0,123.0,947.0,1351.0,541.0
dapD_1_42_MM10,1932.0,2716.0,4615.0,216.0,2714.0,1559.0,1437.0,1259.0,195.0,15582.0,618.0,684.0,1668.0,241.0,3631.0,1418.0,5719.0,9031.0,24.0,45.0,288.0,18.0,49.0,367.0,939.0,308.0,17.0,13.0,918.0,4.0,343.0,355.0,438.0,102.0,2836.0,62.0,2075.0,1835.0,160.0,1888.0,541.0,914.0,279.0,1508.0,132.0,636.0,8.0,41.0,112.0,370.0,44.0,2279.0,4755.0,1429.0,927.0,966.0,9348.0,875.0,857.0,774.0,3243.0,657.0,211.0,387.0,21.0,3752.0,177.0,142.0,98.0,20.0,437.0,77.0,200.0,64.0,52.0,545.0,756.0,26.0,4784.0,2429.0,0.0,5617.0,810.0,635.0,1298.0,364.0
