,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapB_3_239_B_MM10,dapB_3_239_B_MM6,dapB_3_239_B_MM9,dapB_3_239_C,dapD_1_42_C,dapD_1_42_MM10,dapD_1_42_MM4,dapD_1_42_MM6,dapD_1_42_MM8,dapF_1_79_C,dapF_1_79_MM10,dapF_1_79_MM4,dapF_1_79_MM6,dapF_1_79_MM8,dnaB_1_16_B_MM4,dnaB_1_16_B_MM6,dnaB_1_16_B_MM8,dnaB_1_16_C,dnaE_1_10_B_MM10,dnaE_1_10_B_MM5,dnaE_1_10_B_MM8,dnaE_1_10_C,dnaX_1_33_B_MM3,dnaX_1_33_B_MM6,dnaX_1_33_B_MM9,dnaX_1_33_C,eno_3_219_B_MM10,eno_3_219_B_MM5,eno_3_219_B_MM8,eno_3_219_C,fake_negC_rand_42,fbaA_1_28_B_MM5,fbaA_1_28_B_MM7,fbaA_1_28_B_MM9,fbaA_1_28_C,gapA_1_33_B_MM10,gapA_1_33_B_MM5,gapA_1_33_B_MM8,gapA_1_33_C,holB_3_220_B_MM10,holB_3_220_B_MM5,holB_3_220_B_MM9,holB_3_220_C,ligA_1_82_B_MM5,ligA_1_82_B_MM7,ligA_1_82_B_MM9,ligA_1_82_C,negC_rand_42,parE_1_26_B_MM10,parE_1_26_B_MM5,parE_1_26_B_MM8,parE_1_26_C,pfkA_1_43_B_MM10,pfkA_1_43_B_MM5,pfkA_1_43_B_MM9,pfkA_1_43_C,pgi_3_279_B_MM10,pgi_3_279_B_MM5,pgi_3_279_B_MM8,pgi_3_279_C,purD_1_47_C,purD_1_47_MM10,purD_1_47_MM4,purD_1_47_MM6,purD_1_47_MM8,purF_1_23_C,purF_1_23_MM10,purF_1_23_MM4,purF_1_23_MM6,purF_1_23_MM8,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purN_3_238_B_MM10,purN_3_238_B_MM5,purN_3_238_B_MM8,purN_3_238_C,tpiA_1_45_B_MM10,tpiA_1_45_B_MM4,tpiA_1_45_B_MM7,tpiA_1_45_C
dapA_1_98_B_MM3,24760.0,7453.0,16911.0,713.0,10141.0,10618.0,12342.0,7290.0,1306.0,5386.0,3885.0,1253.0,10027.0,1911.0,3898.0,2375.0,1078.0,6802.0,30.0,164.0,249.0,315.0,72.0,715.0,1282.0,230.0,4.0,9.0,3116.0,11.0,2024.0,111.0,83.0,59.0,6649.0,124.0,1155.0,1503.0,37.0,3535.0,362.0,1982.0,16.0,3796.0,516.0,1585.0,104.0,145.0,30.0,44.0,7.0,1676.0,3395.0,1626.0,453.0,956.0,11862.0,2913.0,938.0,1662.0,4309.0,2274.0,485.0,642.0,118.0,4068.0,106.0,188.0,32.0,38.0,1.0,289.0,467.0,71.0,112.0,1474.0,4524.0,72.0,8375.0,1819.0,0.0,7492.0,368.0,603.0,1758.0,1087.0
dapA_1_98_B_MM7,3833.0,27591.0,6616.0,327.0,8459.0,3794.0,5433.0,1722.0,771.0,1619.0,408.0,2303.0,2809.0,389.0,8566.0,1401.0,7964.0,9698.0,18.0,25.0,1045.0,63.0,109.0,246.0,1803.0,269.0,49.0,6.0,807.0,0.0,127.0,149.0,631.0,14.0,4663.0,5.0,1054.0,3108.0,95.0,854.0,1887.0,1135.0,215.0,4520.0,92.0,1007.0,149.0,164.0,205.0,432.0,109.0,1753.0,2365.0,1135.0,153.0,352.0,15349.0,769.0,2053.0,1142.0,3720.0,2871.0,391.0,891.0,1.0,2439.0,113.0,98.0,330.0,43.0,56.0,120.0,313.0,156.0,113.0,1021.0,3830.0,137.0,10567.0,3221.0,0.0,2938.0,375.0,925.0,354.0,266.0
dapA_1_98_B_MM9,9481.0,3398.0,66906.0,867.0,20042.0,15701.0,14964.0,1130.0,682.0,7895.0,1309.0,2152.0,6934.0,3123.0,8139.0,8426.0,23650.0,22105.0,117.0,379.0,1141.0,75.0,1105.0,1918.0,4082.0,1057.0,13.0,37.0,20097.0,21.0,2238.0,344.0,372.0,239.0,11964.0,10.0,2057.0,288.0,197.0,6485.0,1848.0,819.0,29.0,10297.0,136.0,1252.0,45.0,269.0,219.0,297.0,169.0,9853.0,9164.0,2212.0,46.0,1739.0,51303.0,1832.0,600.0,1854.0,11354.0,2955.0,290.0,1838.0,61.0,26656.0,117.0,343.0,111.0,238.0,64.0,157.0,372.0,331.0,79.0,928.0,3022.0,501.0,18833.0,4957.0,0.0,12223.0,845.0,709.0,2405.0,700.0
dapA_1_98_C,1994.0,915.0,239.0,2758.0,2311.0,902.0,1801.0,958.0,693.0,672.0,121.0,38.0,1795.0,157.0,370.0,564.0,1357.0,869.0,34.0,70.0,7.0,3.0,7.0,64.0,223.0,116.0,1.0,1.0,351.0,1.0,3.0,245.0,292.0,46.0,1066.0,1.0,332.0,32.0,50.0,213.0,232.0,160.0,76.0,390.0,12.0,355.0,0.0,1.0,84.0,64.0,4.0,277.0,1133.0,410.0,89.0,84.0,8114.0,1122.0,100.0,237.0,420.0,181.0,169.0,332.0,1.0,1304.0,105.0,3.0,252.0,26.0,51.0,43.0,41.0,112.0,239.0,350.0,506.0,3.0,874.0,583.0,0.0,2074.0,43.0,101.0,556.0,234.0
dapB_3_239_B_MM10,13585.0,16187.0,19924.0,1907.0,22461.0,3697.0,5428.0,2840.0,411.0,4934.0,367.0,929.0,1894.0,911.0,2066.0,1376.0,3386.0,6430.0,90.0,61.0,23.0,7.0,485.0,933.0,1932.0,651.0,30.0,32.0,2358.0,3.0,374.0,393.0,468.0,41.0,3257.0,3.0,1423.0,2711.0,191.0,1497.0,1051.0,2124.0,233.0,11510.0,163.0,922.0,5.0,5.0,31.0,115.0,166.0,1524.0,8748.0,1889.0,778.0,1500.0,10815.0,4516.0,359.0,1760.0,2101.0,546.0,446.0,52.0,101.0,2435.0,172.0,131.0,86.0,100.0,597.0,582.0,193.0,271.0,261.0,2884.0,3132.0,17.0,6566.0,4248.0,0.0,9761.0,211.0,917.0,496.0,357.0
dapB_3_239_B_MM6,8091.0,6597.0,25273.0,1469.0,6400.0,12501.0,2006.0,2149.0,331.0,1393.0,437.0,380.0,3202.0,449.0,1046.0,1882.0,2377.0,2638.0,19.0,53.0,54.0,170.0,82.0,644.0,1040.0,576.0,104.0,220.0,1003.0,23.0,1420.0,191.0,121.0,154.0,3490.0,5.0,1232.0,1126.0,41.0,1858.0,1424.0,2986.0,387.0,2528.0,359.0,1673.0,3.0,3.0,99.0,4.0,41.0,264.0,801.0,1326.0,492.0,561.0,9677.0,2917.0,2102.0,1972.0,2214.0,1169.0,309.0,1950.0,54.0,1585.0,124.0,63.0,36.0,0.0,50.0,342.0,93.0,53.0,336.0,700.0,2032.0,307.0,2932.0,3643.0,0.0,2157.0,380.0,754.0,2369.0,474.0
dapB_3_239_B_MM9,4061.0,2306.0,9263.0,1053.0,2681.0,930.0,9813.0,3425.0,473.0,960.0,464.0,738.0,1968.0,174.0,1139.0,518.0,1911.0,1057.0,95.0,9.0,201.0,71.0,74.0,163.0,842.0,157.0,0.0,2.0,2064.0,12.0,130.0,66.0,1218.0,273.0,1821.0,31.0,254.0,2209.0,126.0,1240.0,437.0,609.0,5.0,1603.0,187.0,900.0,6.0,27.0,52.0,107.0,155.0,694.0,1816.0,1125.0,281.0,752.0,8832.0,3052.0,581.0,1991.0,5997.0,857.0,365.0,508.0,3.0,748.0,26.0,73.0,43.0,161.0,109.0,96.0,195.0,105.0,78.0,658.0,809.0,87.0,2797.0,2043.0,0.0,6067.0,45.0,922.0,444.0,377.0
dapB_3_239_C,7229.0,3463.0,3883.0,1717.0,3766.0,3873.0,1131.0,8328.0,653.0,1758.0,871.0,1033.0,1607.0,531.0,803.0,545.0,2863.0,794.0,29.0,101.0,142.0,82.0,50.0,402.0,355.0,215.0,21.0,130.0,652.0,0.0,318.0,44.0,973.0,37.0,2596.0,102.0,1985.0,4546.0,83.0,1491.0,2055.0,1273.0,72.0,2637.0,203.0,758.0,3.0,9.0,233.0,139.0,215.0,396.0,1386.0,1042.0,59.0,270.0,5949.0,3424.0,2787.0,1645.0,3265.0,1150.0,49.0,915.0,6.0,787.0,90.0,77.0,71.0,168.0,31.0,230.0,1002.0,183.0,158.0,655.0,3721.0,178.0,1194.0,2572.0,0.0,4220.0,589.0,1152.0,2852.0,975.0
dapD_1_42_C,502.0,514.0,736.0,525.0,1029.0,1054.0,191.0,493.0,3626.0,132.0,601.0,416.0,913.0,484.0,356.0,841.0,344.0,1168.0,0.0,102.0,6.0,2.0,1019.0,101.0,366.0,94.0,29.0,1.0,2104.0,6.0,141.0,189.0,120.0,35.0,1043.0,18.0,164.0,115.0,45.0,980.0,11.0,369.0,6.0,681.0,17.0,464.0,67.0,147.0,82.0,35.0,29.0,186.0,2426.0,401.0,264.0,148.0,2877.0,383.0,281.0,589.0,1372.0,206.0,559.0,556.0,17.0,2567.0,71.0,44.0,93.0,50.0,7.0,113.0,428.0,111.0,31.0,1462.0,945.0,164.0,1878.0,359.0,0.0,2279.0,10.0,256.0,1417.0,632.0
dapD_1_42_MM10,3370.0,2361.0,9732.0,843.0,3378.0,1231.0,1092.0,3347.0,295.0,32180.0,214.0,800.0,829.0,851.0,1825.0,697.0,1274.0,9715.0,32.0,116.0,1131.0,13.0,38.0,1241.0,1566.0,661.0,12.0,17.0,2233.0,0.0,242.0,73.0,307.0,32.0,412.0,33.0,5101.0,870.0,11.0,1392.0,276.0,30.0,63.0,1446.0,123.0,537.0,1.0,29.0,44.0,7.0,3.0,174.0,11532.0,163.0,45.0,209.0,17365.0,1008.0,674.0,829.0,4163.0,153.0,21.0,479.0,41.0,14238.0,53.0,13.0,56.0,0.0,3.0,7.0,67.0,169.0,4.0,493.0,1680.0,46.0,19665.0,3109.0,0.0,11011.0,436.0,453.0,2381.0,287.0
