,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapB_3_239_B_MM10,dapB_3_239_B_MM6,dapB_3_239_B_MM9,dapB_3_239_C,dapD_1_42_C,dapD_1_42_MM10,dapD_1_42_MM4,dapD_1_42_MM6,dapD_1_42_MM8,dapF_1_79_C,dapF_1_79_MM10,dapF_1_79_MM4,dapF_1_79_MM6,dapF_1_79_MM8,dnaB_1_16_B_MM4,dnaB_1_16_B_MM6,dnaB_1_16_B_MM8,dnaB_1_16_C,dnaE_1_10_B_MM10,dnaE_1_10_B_MM5,dnaE_1_10_B_MM8,dnaE_1_10_C,dnaX_1_33_B_MM3,dnaX_1_33_B_MM6,dnaX_1_33_B_MM9,dnaX_1_33_C,eno_3_219_B_MM10,eno_3_219_B_MM5,eno_3_219_B_MM8,eno_3_219_C,fake_negC_rand_42,fbaA_1_28_B_MM5,fbaA_1_28_B_MM7,fbaA_1_28_B_MM9,fbaA_1_28_C,gapA_1_33_B_MM10,gapA_1_33_B_MM5,gapA_1_33_B_MM8,gapA_1_33_C,holB_3_220_B_MM10,holB_3_220_B_MM5,holB_3_220_B_MM9,holB_3_220_C,ligA_1_82_B_MM5,ligA_1_82_B_MM7,ligA_1_82_B_MM9,ligA_1_82_C,negC_rand_42,parE_1_26_B_MM10,parE_1_26_B_MM5,parE_1_26_B_MM8,parE_1_26_C,pfkA_1_43_B_MM10,pfkA_1_43_B_MM5,pfkA_1_43_B_MM9,pfkA_1_43_C,pgi_3_279_B_MM10,pgi_3_279_B_MM5,pgi_3_279_B_MM8,pgi_3_279_C,purD_1_47_C,purD_1_47_MM10,purD_1_47_MM4,purD_1_47_MM6,purD_1_47_MM8,purF_1_23_C,purF_1_23_MM10,purF_1_23_MM4,purF_1_23_MM6,purF_1_23_MM8,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purN_3_238_B_MM10,purN_3_238_B_MM5,purN_3_238_B_MM8,purN_3_238_C,tpiA_1_45_B_MM10,tpiA_1_45_B_MM4,tpiA_1_45_B_MM7,tpiA_1_45_C
dapA_1_98_B_MM3,34724.0,10711.0,15382.0,391.0,17577.0,7379.0,4936.0,9456.0,5753.0,5740.0,4831.0,3117.0,12890.0,2790.0,4314.0,4411.0,6954.0,10257.0,1600.0,593.0,1778.0,909.0,1343.0,1500.0,4532.0,1259.0,272.0,696.0,4476.0,86.0,561.0,646.0,646.0,131.0,8164.0,129.0,6756.0,10717.0,529.0,8988.0,2724.0,3751.0,950.0,5369.0,465.0,3861.0,329.0,246.0,785.0,103.0,600.0,1109.0,6277.0,4295.0,5546.0,3340.0,24341.0,6335.0,3425.0,2376.0,6844.0,2533.0,3604.0,4897.0,1026.0,4837.0,919.0,2722.0,1693.0,643.0,8.0,1959.0,1323.0,1057.0,514.0,2478.0,2842.0,772.0,8220.0,5625.0,0.0,7952.0,1200.0,8098.0,5755.0,2943.0
dapA_1_98_B_MM7,6636.0,22945.0,6199.0,499.0,4101.0,3248.0,4220.0,4495.0,7095.0,2463.0,3340.0,4760.0,7358.0,1220.0,3296.0,5519.0,4834.0,7035.0,549.0,647.0,831.0,101.0,149.0,1026.0,1194.0,2439.0,273.0,219.0,3550.0,73.0,28.0,919.0,457.0,296.0,7506.0,14.0,3154.0,4984.0,319.0,3067.0,1984.0,1668.0,295.0,3444.0,351.0,1859.0,284.0,86.0,1374.0,783.0,26.0,1834.0,3262.0,2730.0,480.0,5669.0,11746.0,2372.0,1465.0,1762.0,1565.0,5559.0,6706.0,1441.0,340.0,1969.0,457.0,390.0,836.0,7.0,404.0,609.0,1366.0,424.0,449.0,1810.0,3052.0,547.0,3722.0,6851.0,0.0,8685.0,1474.0,5332.0,9157.0,1996.0
dapA_1_98_B_MM9,6657.0,11834.0,41028.0,3316.0,12832.0,7591.0,14865.0,10231.0,7152.0,10519.0,3878.0,7587.0,10458.0,1473.0,8391.0,4724.0,7236.0,16218.0,740.0,1134.0,1826.0,625.0,1218.0,3068.0,5895.0,2011.0,661.0,234.0,6489.0,161.0,1243.0,619.0,1589.0,202.0,16961.0,764.0,3484.0,6929.0,683.0,4422.0,2636.0,763.0,2020.0,5989.0,759.0,4376.0,222.0,28.0,640.0,514.0,264.0,6117.0,5086.0,4228.0,3298.0,3304.0,37675.0,3324.0,2785.0,2409.0,10368.0,6563.0,2252.0,853.0,233.0,7646.0,1289.0,1252.0,1763.0,15.0,9.0,1266.0,2115.0,750.0,267.0,1442.0,6863.0,515.0,9612.0,4444.0,0.0,9544.0,3596.0,2644.0,4000.0,5049.0
dapA_1_98_C,4260.0,120.0,3543.0,6224.0,3297.0,3039.0,967.0,540.0,1020.0,1069.0,1292.0,502.0,3739.0,667.0,523.0,1069.0,613.0,3865.0,71.0,831.0,187.0,304.0,31.0,573.0,725.0,729.0,3.0,138.0,977.0,5.0,971.0,156.0,198.0,6.0,3838.0,5.0,321.0,1485.0,347.0,341.0,767.0,1432.0,9.0,244.0,271.0,2427.0,2.0,91.0,34.0,118.0,932.0,16.0,1938.0,1510.0,90.0,1079.0,5446.0,1179.0,341.0,356.0,1297.0,3768.0,8.0,1324.0,91.0,1176.0,208.0,107.0,313.0,3.0,62.0,513.0,101.0,623.0,33.0,895.0,635.0,226.0,3072.0,1921.0,0.0,2936.0,27.0,915.0,3745.0,678.0
dapB_3_239_B_MM10,12470.0,2697.0,11762.0,2579.0,31957.0,5173.0,5844.0,6935.0,4256.0,4728.0,4134.0,5693.0,7533.0,2054.0,2602.0,8392.0,3789.0,11176.0,280.0,1067.0,1725.0,585.0,266.0,3069.0,1787.0,610.0,269.0,85.0,3051.0,124.0,2289.0,620.0,1824.0,173.0,10073.0,17.0,2902.0,2893.0,1797.0,4358.0,1080.0,2441.0,1808.0,5480.0,721.0,2220.0,370.0,829.0,364.0,1109.0,1360.0,2876.0,10978.0,5513.0,2321.0,3554.0,16722.0,3844.0,3264.0,5130.0,8588.0,2860.0,625.0,2058.0,306.0,3954.0,1998.0,941.0,1456.0,964.0,392.0,279.0,2174.0,504.0,735.0,2855.0,5884.0,757.0,6481.0,8451.0,0.0,9525.0,4029.0,4577.0,4877.0,3701.0
dapB_3_239_B_MM6,7790.0,6264.0,5834.0,4461.0,7568.0,20554.0,5308.0,4095.0,3134.0,1107.0,2013.0,5505.0,2638.0,1897.0,2096.0,3849.0,3903.0,6909.0,335.0,541.0,443.0,498.0,243.0,2204.0,3870.0,650.0,373.0,36.0,696.0,105.0,1126.0,416.0,1523.0,156.0,3480.0,449.0,1140.0,5773.0,524.0,3656.0,393.0,1165.0,562.0,4709.0,913.0,1635.0,23.0,8.0,1700.0,468.0,1397.0,762.0,8329.0,3736.0,1880.0,539.0,19113.0,6223.0,1577.0,2642.0,8523.0,467.0,31.0,1705.0,114.0,2951.0,1299.0,1157.0,701.0,341.0,36.0,783.0,2355.0,848.0,425.0,3487.0,2592.0,514.0,4697.0,3638.0,0.0,4549.0,1480.0,4166.0,7512.0,3200.0
dapB_3_239_B_MM9,5287.0,1732.0,8111.0,713.0,11538.0,5382.0,15985.0,3116.0,2206.0,1367.0,2019.0,3781.0,3365.0,2247.0,1578.0,2711.0,4016.0,1858.0,103.0,369.0,117.0,157.0,569.0,972.0,1916.0,115.0,33.0,188.0,1581.0,107.0,615.0,429.0,1783.0,211.0,4395.0,11.0,2296.0,1887.0,686.0,2865.0,833.0,3960.0,1285.0,469.0,260.0,867.0,4.0,10.0,365.0,130.0,395.0,2070.0,3881.0,7341.0,3790.0,2223.0,17501.0,2521.0,722.0,2960.0,2104.0,241.0,150.0,1644.0,414.0,2326.0,875.0,1178.0,359.0,473.0,13.0,909.0,1091.0,261.0,421.0,2336.0,235.0,117.0,8785.0,5616.0,0.0,11382.0,640.0,1662.0,3172.0,1331.0
dapB_3_239_C,8767.0,3598.0,9253.0,1084.0,10476.0,4860.0,2877.0,21822.0,2271.0,1604.0,5988.0,2965.0,8772.0,2270.0,1794.0,3737.0,2033.0,4151.0,299.0,58.0,597.0,1137.0,1148.0,2083.0,5265.0,908.0,496.0,665.0,930.0,36.0,372.0,878.0,2777.0,952.0,14449.0,222.0,2343.0,3226.0,594.0,4108.0,1852.0,3485.0,1983.0,2087.0,1135.0,4062.0,282.0,216.0,1629.0,44.0,23.0,1939.0,3547.0,5090.0,2618.0,2020.0,19333.0,6126.0,484.0,2002.0,5159.0,2465.0,2368.0,4042.0,110.0,3505.0,499.0,632.0,1154.0,6.0,238.0,1107.0,1604.0,320.0,972.0,1104.0,1301.0,739.0,5068.0,5003.0,0.0,4372.0,343.0,2333.0,11422.0,2257.0
dapD_1_42_C,8541.0,2776.0,6608.0,5779.0,4869.0,2901.0,671.0,7379.0,11951.0,1241.0,1907.0,2467.0,4108.0,1670.0,2018.0,3178.0,3797.0,3914.0,285.0,361.0,1797.0,184.0,1132.0,1886.0,1930.0,294.0,297.0,755.0,1054.0,58.0,1649.0,405.0,2908.0,231.0,3585.0,275.0,3321.0,3496.0,445.0,2006.0,1065.0,1191.0,404.0,1296.0,700.0,1370.0,167.0,15.0,101.0,146.0,395.0,692.0,2866.0,5046.0,2334.0,477.0,10796.0,1961.0,839.0,2306.0,5587.0,1321.0,326.0,2723.0,180.0,2814.0,709.0,329.0,713.0,6.0,12.0,1450.0,1445.0,723.0,78.0,1670.0,1887.0,187.0,4453.0,2856.0,0.0,9550.0,1591.0,2683.0,6044.0,1621.0
dapD_1_42_MM10,5133.0,5107.0,6946.0,1220.0,5502.0,5160.0,3931.0,1023.0,1302.0,11205.0,3027.0,2284.0,3648.0,277.0,4826.0,1013.0,1798.0,4836.0,17.0,135.0,701.0,88.0,102.0,833.0,2355.0,447.0,19.0,42.0,2070.0,4.0,275.0,65.0,735.0,175.0,5678.0,9.0,3297.0,2941.0,337.0,3222.0,577.0,899.0,288.0,2147.0,402.0,1037.0,96.0,688.0,201.0,16.0,324.0,4507.0,6344.0,4112.0,1656.0,524.0,13452.0,1020.0,58.0,2573.0,3582.0,370.0,17.0,1461.0,73.0,4045.0,763.0,209.0,189.0,748.0,543.0,205.0,445.0,419.0,12.0,1028.0,2249.0,109.0,1421.0,2449.0,0.0,6231.0,4318.0,3037.0,4548.0,2097.0
