,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapB_3_239_B_MM10,dapB_3_239_B_MM6,dapB_3_239_B_MM9,dapB_3_239_C,dapD_1_42_C,dapD_1_42_MM10,dapD_1_42_MM4,dapD_1_42_MM6,dapD_1_42_MM8,dapF_1_79_C,dapF_1_79_MM10,dapF_1_79_MM4,dapF_1_79_MM6,dapF_1_79_MM8,dnaB_1_16_B_MM4,dnaB_1_16_B_MM6,dnaB_1_16_B_MM8,dnaB_1_16_C,dnaE_1_10_B_MM10,dnaE_1_10_B_MM5,dnaE_1_10_B_MM8,dnaE_1_10_C,dnaX_1_33_B_MM3,dnaX_1_33_B_MM6,dnaX_1_33_B_MM9,dnaX_1_33_C,eno_3_219_B_MM10,eno_3_219_B_MM5,eno_3_219_B_MM8,eno_3_219_C,fake_negC_rand_42,fbaA_1_28_B_MM5,fbaA_1_28_B_MM7,fbaA_1_28_B_MM9,fbaA_1_28_C,gapA_1_33_B_MM10,gapA_1_33_B_MM5,gapA_1_33_B_MM8,gapA_1_33_C,holB_3_220_B_MM10,holB_3_220_B_MM5,holB_3_220_B_MM9,holB_3_220_C,ligA_1_82_B_MM5,ligA_1_82_B_MM7,ligA_1_82_B_MM9,ligA_1_82_C,negC_rand_42,parE_1_26_B_MM10,parE_1_26_B_MM5,parE_1_26_B_MM8,parE_1_26_C,pfkA_1_43_B_MM10,pfkA_1_43_B_MM5,pfkA_1_43_B_MM9,pfkA_1_43_C,pgi_3_279_B_MM10,pgi_3_279_B_MM5,pgi_3_279_B_MM8,pgi_3_279_C,purD_1_47_C,purD_1_47_MM10,purD_1_47_MM4,purD_1_47_MM6,purD_1_47_MM8,purF_1_23_C,purF_1_23_MM10,purF_1_23_MM4,purF_1_23_MM6,purF_1_23_MM8,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purN_3_238_B_MM10,purN_3_238_B_MM5,purN_3_238_B_MM8,purN_3_238_C,tpiA_1_45_B_MM10,tpiA_1_45_B_MM4,tpiA_1_45_B_MM7,tpiA_1_45_C
dapA_1_98_B_MM3,985.0,181.0,323.0,29.0,355.0,294.0,189.0,211.0,116.0,137.0,102.0,93.0,370.0,74.0,101.0,84.0,128.0,209.0,3.0,6.0,17.0,10.0,29.0,36.0,83.0,27.0,1.0,14.0,75.0,0.0,50.0,11.0,28.0,8.0,165.0,2.0,92.0,137.0,3.0,117.0,38.0,56.0,14.0,142.0,3.0,35.0,2.0,4.0,9.0,10.0,14.0,52.0,163.0,106.0,55.0,42.0,432.0,121.0,50.0,33.0,173.0,66.0,45.0,72.0,11.0,142.0,55.0,31.0,21.0,2.0,1.0,28.0,23.0,12.0,12.0,55.0,87.0,17.0,234.0,133.0,0.0,238.0,40.0,74.0,98.0,38.0
dapA_1_98_B_MM7,99.0,729.0,190.0,11.0,197.0,132.0,116.0,119.0,95.0,53.0,45.0,57.0,106.0,38.0,123.0,86.0,121.0,163.0,3.0,8.0,15.0,1.0,11.0,7.0,48.0,19.0,3.0,1.0,68.0,0.0,12.0,4.0,12.0,4.0,149.0,2.0,53.0,96.0,1.0,63.0,45.0,33.0,3.0,55.0,3.0,32.0,1.0,2.0,14.0,20.0,1.0,60.0,144.0,55.0,21.0,17.0,323.0,46.0,32.0,17.0,80.0,77.0,77.0,40.0,1.0,70.0,12.0,11.0,10.0,5.0,4.0,17.0,27.0,8.0,11.0,39.0,101.0,14.0,124.0,127.0,0.0,138.0,11.0,47.0,60.0,23.0
dapA_1_98_B_MM9,223.0,236.0,1549.0,48.0,310.0,250.0,287.0,120.0,120.0,183.0,79.0,101.0,222.0,42.0,209.0,187.0,253.0,502.0,5.0,19.0,21.0,6.0,22.0,50.0,141.0,47.0,9.0,4.0,188.0,2.0,58.0,17.0,46.0,4.0,336.0,5.0,77.0,101.0,5.0,136.0,72.0,28.0,21.0,154.0,5.0,78.0,12.0,10.0,22.0,9.0,6.0,115.0,207.0,110.0,47.0,56.0,893.0,85.0,42.0,45.0,254.0,122.0,26.0,67.0,6.0,287.0,17.0,29.0,29.0,3.0,0.0,25.0,25.0,37.0,8.0,66.0,150.0,4.0,283.0,163.0,0.0,285.0,57.0,47.0,109.0,78.0
dapA_1_98_C,68.0,26.0,54.0,183.0,53.0,43.0,43.0,107.0,29.0,13.0,23.0,10.0,57.0,19.0,27.0,27.0,37.0,35.0,2.0,15.0,8.0,1.0,2.0,3.0,9.0,20.0,0.0,0.0,7.0,0.0,17.0,3.0,8.0,0.0,47.0,0.0,14.0,12.0,0.0,4.0,16.0,23.0,0.0,15.0,2.0,16.0,0.0,0.0,1.0,1.0,7.0,7.0,25.0,12.0,13.0,5.0,198.0,28.0,3.0,9.0,55.0,40.0,3.0,19.0,1.0,37.0,4.0,2.0,4.0,1.0,3.0,7.0,8.0,9.0,1.0,27.0,17.0,0.0,42.0,31.0,0.0,44.0,4.0,3.0,26.0,11.0
dapB_3_239_B_MM10,336.0,154.0,355.0,48.0,922.0,147.0,107.0,113.0,51.0,86.0,72.0,81.0,77.0,25.0,61.0,98.0,84.0,178.0,5.0,12.0,9.0,2.0,11.0,55.0,50.0,7.0,2.0,1.0,63.0,0.0,42.0,8.0,29.0,2.0,140.0,4.0,52.0,57.0,16.0,62.0,31.0,64.0,39.0,155.0,14.0,53.0,0.0,4.0,11.0,13.0,11.0,58.0,233.0,90.0,33.0,58.0,365.0,82.0,46.0,42.0,163.0,39.0,9.0,42.0,4.0,85.0,22.0,32.0,18.0,5.0,16.0,32.0,51.0,19.0,9.0,85.0,125.0,5.0,143.0,151.0,0.0,259.0,33.0,55.0,84.0,70.0
dapB_3_239_B_MM6,209.0,132.0,248.0,61.0,149.0,602.0,110.0,107.0,27.0,39.0,59.0,55.0,73.0,28.0,56.0,73.0,81.0,109.0,3.0,12.0,8.0,0.0,10.0,38.0,59.0,12.0,1.0,1.0,26.0,0.0,12.0,7.0,21.0,9.0,80.0,0.0,40.0,95.0,6.0,47.0,36.0,44.0,13.0,94.0,14.0,43.0,1.0,2.0,13.0,1.0,8.0,10.0,117.0,85.0,27.0,13.0,365.0,67.0,30.0,53.0,108.0,26.0,8.0,68.0,12.0,72.0,13.0,8.0,12.0,1.0,1.0,22.0,17.0,14.0,9.0,34.0,76.0,19.0,89.0,109.0,0.0,101.0,13.0,33.0,81.0,37.0
dapB_3_239_B_MM9,169.0,54.0,238.0,16.0,150.0,73.0,399.0,103.0,20.0,30.0,40.0,81.0,54.0,13.0,27.0,53.0,78.0,64.0,1.0,2.0,8.0,0.0,9.0,9.0,31.0,4.0,0.0,0.0,35.0,1.0,14.0,12.0,46.0,1.0,97.0,0.0,27.0,47.0,3.0,43.0,20.0,60.0,8.0,39.0,9.0,25.0,2.0,1.0,5.0,9.0,9.0,27.0,65.0,66.0,41.0,50.0,289.0,34.0,27.0,61.0,98.0,28.0,10.0,26.0,8.0,62.0,15.0,15.0,1.0,1.0,8.0,5.0,11.0,5.0,19.0,51.0,27.0,1.0,72.0,107.0,0.0,170.0,19.0,27.0,45.0,16.0
dapB_3_239_C,210.0,137.0,176.0,61.0,165.0,140.0,43.0,603.0,40.0,46.0,45.0,52.0,123.0,27.0,65.0,37.0,67.0,94.0,6.0,5.0,12.0,4.0,11.0,13.0,41.0,15.0,5.0,8.0,23.0,0.0,20.0,3.0,33.0,8.0,259.0,5.0,42.0,82.0,8.0,62.0,33.0,84.0,41.0,43.0,7.0,44.0,4.0,2.0,19.0,5.0,3.0,26.0,103.0,84.0,38.0,21.0,288.0,89.0,36.0,49.0,148.0,37.0,13.0,55.0,4.0,58.0,20.0,19.0,13.0,13.0,5.0,27.0,30.0,17.0,14.0,44.0,90.0,11.0,56.0,105.0,0.0,127.0,21.0,64.0,134.0,52.0
dapD_1_42_C,83.0,52.0,84.0,66.0,62.0,71.0,4.0,51.0,338.0,18.0,21.0,29.0,85.0,26.0,41.0,39.0,40.0,82.0,4.0,2.0,8.0,1.0,5.0,15.0,21.0,9.0,0.0,8.0,55.0,0.0,19.0,3.0,19.0,6.0,83.0,1.0,28.0,20.0,6.0,48.0,19.0,22.0,5.0,54.0,9.0,27.0,7.0,1.0,3.0,4.0,2.0,15.0,63.0,44.0,29.0,16.0,167.0,32.0,27.0,52.0,47.0,22.0,7.0,40.0,6.0,62.0,12.0,9.0,18.0,0.0,10.0,12.0,33.0,20.0,5.0,42.0,54.0,3.0,67.0,48.0,0.0,111.0,13.0,27.0,82.0,22.0
dapD_1_42_MM10,72.0,83.0,162.0,16.0,113.0,73.0,59.0,64.0,7.0,446.0,30.0,41.0,42.0,6.0,94.0,24.0,52.0,147.0,4.0,4.0,10.0,1.0,6.0,10.0,31.0,19.0,0.0,0.0,37.0,0.0,3.0,13.0,23.0,2.0,71.0,0.0,66.0,20.0,0.0,79.0,7.0,17.0,7.0,33.0,6.0,25.0,0.0,7.0,4.0,7.0,3.0,71.0,146.0,60.0,19.0,22.0,339.0,21.0,31.0,27.0,76.0,16.0,3.0,26.0,3.0,139.0,5.0,4.0,13.0,0.0,4.0,4.0,6.0,14.0,0.0,20.0,42.0,3.0,98.0,48.0,0.0,129.0,49.0,26.0,54.0,20.0
dapD_1_42_MM4,79.0,52.0,107.0,16.0,51.0,44.0,31.0,55.0,19.0,31.0,189.0,51.0,97.0,12.0,49.0,17.0,41.0,55.0,3.0,4.0,4.0,6.0,3.0,2.0,23.0,10.0,2.0,5.0,11.0,0.0,14.0,1.0,16.0,2.0,57.0,2.0,43.0,23.0,2.0,64.0,19.0,10.0,9.0,12.0,0.0,20.0,2.0,1.0,2.0,12.0,0.0,22.0,43.0,33.0,8.0,20.0,126.0,26.0,16.0,21.0,57.0,12.0,12.0,45.0,1.0,42.0,12.0,12.0,18.0,1.0,0.0,19.0,14.0,2.0,5.0,47.0,41.0,10.0,95.0,28.0,0.0,69.0,5.0,13.0,35.0,13.0
