,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapB_3_239_B_MM10,dapB_3_239_B_MM6,dapB_3_239_B_MM9,dapB_3_239_C,dapD_1_42_C,dapD_1_42_MM10,dapD_1_42_MM4,dapD_1_42_MM6,dapD_1_42_MM8,dapF_1_79_C,dapF_1_79_MM10,dapF_1_79_MM4,dapF_1_79_MM6,dapF_1_79_MM8,dnaB_1_16_B_MM4,dnaB_1_16_B_MM6,dnaB_1_16_B_MM8,dnaB_1_16_C,dnaE_1_10_B_MM10,dnaE_1_10_B_MM5,dnaE_1_10_B_MM8,dnaE_1_10_C,dnaX_1_33_B_MM3,dnaX_1_33_B_MM6,dnaX_1_33_B_MM9,dnaX_1_33_C,eno_3_219_B_MM10,eno_3_219_B_MM5,eno_3_219_B_MM8,eno_3_219_C,fake_negC_rand_42,fbaA_1_28_B_MM5,fbaA_1_28_B_MM7,fbaA_1_28_B_MM9,fbaA_1_28_C,gapA_1_33_B_MM10,gapA_1_33_B_MM5,gapA_1_33_B_MM8,gapA_1_33_C,holB_3_220_B_MM10,holB_3_220_B_MM5,holB_3_220_B_MM9,holB_3_220_C,ligA_1_82_B_MM5,ligA_1_82_B_MM7,ligA_1_82_B_MM9,ligA_1_82_C,negC_rand_42,parE_1_26_B_MM10,parE_1_26_B_MM5,parE_1_26_B_MM8,parE_1_26_C,pfkA_1_43_B_MM10,pfkA_1_43_B_MM5,pfkA_1_43_B_MM9,pfkA_1_43_C,pgi_3_279_B_MM10,pgi_3_279_B_MM5,pgi_3_279_B_MM8,pgi_3_279_C,purD_1_47_C,purD_1_47_MM10,purD_1_47_MM4,purD_1_47_MM6,purD_1_47_MM8,purF_1_23_C,purF_1_23_MM10,purF_1_23_MM4,purF_1_23_MM6,purF_1_23_MM8,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purN_3_238_B_MM10,purN_3_238_B_MM5,purN_3_238_B_MM8,purN_3_238_C,tpiA_1_45_B_MM10,tpiA_1_45_B_MM4,tpiA_1_45_B_MM7,tpiA_1_45_C
dapA_1_98_B_MM3,1543.0,310.0,548.0,40.0,554.0,372.0,302.0,321.0,137.0,227.0,176.0,124.0,405.0,69.0,163.0,119.0,217.0,349.0,5.0,6.0,24.0,5.0,22.0,31.0,61.0,16.0,3.0,2.0,187.0,0.0,41.0,22.0,35.0,6.0,280.0,6.0,112.0,210.0,4.0,191.0,41.0,74.0,17.0,223.0,19.0,78.0,2.0,2.0,20.0,14.0,6.0,46.0,214.0,94.0,66.0,35.0,694.0,125.0,56.0,44.0,228.0,98.0,95.0,102.0,8.0,262.0,15.0,27.0,15.0,4.0,4.0,9.0,38.0,16.0,9.0,85.0,161.0,6.0,334.0,157.0,0.0,325.0,67.0,80.0,61.0,38.0
dapA_1_98_B_MM7,160.0,1234.0,331.0,12.0,334.0,192.0,182.0,162.0,137.0,98.0,58.0,113.0,162.0,48.0,161.0,117.0,195.0,253.0,0.0,5.0,35.0,4.0,10.0,12.0,47.0,18.0,2.0,0.0,128.0,0.0,16.0,14.0,23.0,5.0,218.0,3.0,93.0,156.0,8.0,73.0,60.0,55.0,15.0,136.0,3.0,34.0,2.0,6.0,14.0,15.0,9.0,61.0,222.0,58.0,24.0,93.0,565.0,66.0,123.0,39.0,146.0,144.0,74.0,35.0,1.0,151.0,4.0,6.0,7.0,2.0,5.0,5.0,14.0,5.0,6.0,55.0,127.0,10.0,207.0,179.0,0.0,197.0,25.0,44.0,109.0,33.0
dapA_1_98_B_MM9,304.0,434.0,3006.0,83.0,617.0,481.0,488.0,201.0,103.0,397.0,118.0,163.0,289.0,90.0,408.0,287.0,578.0,900.0,3.0,22.0,44.0,2.0,33.0,59.0,212.0,41.0,2.0,3.0,519.0,0.0,53.0,24.0,53.0,8.0,551.0,6.0,143.0,206.0,4.0,159.0,114.0,41.0,37.0,283.0,8.0,135.0,13.0,9.0,24.0,22.0,6.0,236.0,369.0,158.0,72.0,92.0,1838.0,98.0,82.0,65.0,479.0,205.0,55.0,109.0,5.0,615.0,16.0,17.0,38.0,0.0,2.0,16.0,35.0,24.0,9.0,76.0,266.0,11.0,540.0,281.0,0.0,447.0,77.0,47.0,127.0,124.0
dapA_1_98_C,96.0,34.0,69.0,259.0,79.0,95.0,38.0,102.0,44.0,28.0,21.0,23.0,80.0,14.0,45.0,50.0,59.0,67.0,2.0,6.0,3.0,1.0,0.0,13.0,18.0,9.0,0.0,1.0,30.0,0.0,11.0,1.0,19.0,0.0,83.0,0.0,18.0,10.0,7.0,9.0,13.0,19.0,6.0,26.0,6.0,41.0,0.0,1.0,4.0,4.0,5.0,10.0,35.0,27.0,10.0,11.0,193.0,63.0,5.0,22.0,38.0,52.0,5.0,52.0,0.0,63.0,5.0,4.0,1.0,0.0,5.0,1.0,1.0,10.0,5.0,35.0,29.0,1.0,46.0,55.0,0.0,69.0,2.0,17.0,17.0,11.0
dapB_3_239_B_MM10,491.0,312.0,601.0,93.0,1549.0,224.0,150.0,126.0,60.0,116.0,77.0,86.0,100.0,27.0,94.0,114.0,149.0,286.0,2.0,4.0,25.0,4.0,22.0,53.0,68.0,42.0,2.0,1.0,123.0,1.0,41.0,16.0,55.0,31.0,194.0,1.0,78.0,98.0,13.0,142.0,55.0,128.0,64.0,266.0,10.0,55.0,4.0,2.0,12.0,29.0,19.0,63.0,381.0,148.0,38.0,111.0,613.0,134.0,91.0,51.0,251.0,65.0,39.0,42.0,4.0,131.0,46.0,13.0,15.0,3.0,12.0,13.0,22.0,19.0,22.0,92.0,204.0,7.0,212.0,204.0,0.0,430.0,29.0,35.0,82.0,52.0
dapB_3_239_B_MM6,324.0,254.0,504.0,114.0,231.0,958.0,129.0,127.0,35.0,58.0,62.0,78.0,113.0,28.0,95.0,118.0,115.0,188.0,3.0,5.0,13.0,4.0,5.0,22.0,63.0,26.0,0.0,4.0,68.0,0.0,51.0,21.0,36.0,6.0,132.0,9.0,56.0,114.0,8.0,98.0,36.0,92.0,28.0,106.0,7.0,60.0,2.0,1.0,9.0,8.0,6.0,26.0,136.0,76.0,37.0,28.0,561.0,101.0,58.0,66.0,205.0,43.0,15.0,69.0,20.0,124.0,12.0,14.0,7.0,3.0,2.0,24.0,17.0,11.0,6.0,45.0,125.0,6.0,142.0,160.0,0.0,164.0,25.0,58.0,122.0,58.0
dapB_3_239_B_MM9,294.0,110.0,398.0,49.0,207.0,121.0,619.0,137.0,42.0,54.0,47.0,64.0,88.0,22.0,46.0,60.0,117.0,78.0,5.0,2.0,17.0,4.0,17.0,11.0,43.0,7.0,2.0,3.0,65.0,0.0,7.0,9.0,64.0,10.0,124.0,0.0,37.0,56.0,11.0,94.0,26.0,99.0,9.0,57.0,3.0,25.0,0.0,4.0,4.0,7.0,7.0,22.0,126.0,94.0,59.0,46.0,459.0,85.0,25.0,60.0,153.0,21.0,13.0,53.0,3.0,86.0,16.0,8.0,16.0,0.0,4.0,8.0,18.0,4.0,22.0,41.0,35.0,8.0,169.0,146.0,0.0,185.0,7.0,36.0,45.0,15.0
dapB_3_239_C,332.0,155.0,205.0,65.0,214.0,169.0,83.0,770.0,36.0,69.0,80.0,46.0,150.0,22.0,55.0,67.0,96.0,96.0,3.0,12.0,13.0,5.0,10.0,14.0,60.0,17.0,4.0,4.0,29.0,0.0,9.0,25.0,110.0,3.0,178.0,8.0,63.0,103.0,8.0,86.0,46.0,115.0,30.0,92.0,15.0,43.0,2.0,3.0,12.0,15.0,4.0,47.0,82.0,96.0,31.0,35.0,465.0,130.0,43.0,55.0,124.0,51.0,49.0,147.0,6.0,80.0,13.0,13.0,7.0,1.0,6.0,13.0,16.0,7.0,19.0,43.0,119.0,9.0,105.0,117.0,0.0,157.0,20.0,48.0,176.0,59.0
dapD_1_42_C,132.0,63.0,100.0,81.0,91.0,72.0,18.0,73.0,366.0,39.0,75.0,38.0,124.0,33.0,32.0,68.0,47.0,86.0,0.0,3.0,10.0,0.0,11.0,14.0,34.0,1.0,1.0,2.0,66.0,0.0,16.0,9.0,42.0,3.0,105.0,1.0,37.0,47.0,9.0,41.0,35.0,25.0,21.0,33.0,4.0,38.0,0.0,2.0,18.0,4.0,5.0,7.0,89.0,39.0,20.0,14.0,231.0,19.0,16.0,18.0,107.0,23.0,10.0,41.0,3.0,69.0,6.0,4.0,48.0,1.0,2.0,16.0,18.0,14.0,3.0,51.0,88.0,14.0,97.0,37.0,0.0,130.0,12.0,33.0,66.0,21.0
dapD_1_42_MM10,129.0,175.0,364.0,25.0,148.0,72.0,89.0,58.0,16.0,1031.0,56.0,32.0,89.0,12.0,166.0,60.0,165.0,347.0,2.0,1.0,20.0,1.0,1.0,15.0,63.0,12.0,1.0,0.0,81.0,0.0,22.0,13.0,12.0,10.0,152.0,2.0,122.0,78.0,4.0,125.0,18.0,31.0,6.0,116.0,7.0,29.0,2.0,6.0,2.0,7.0,5.0,165.0,338.0,62.0,62.0,41.0,550.0,57.0,17.0,34.0,178.0,25.0,4.0,18.0,2.0,301.0,3.0,8.0,4.0,1.0,13.0,0.0,9.0,5.0,1.0,33.0,52.0,7.0,260.0,133.0,0.0,295.0,93.0,35.0,98.0,25.0
