,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapB_3_239_B_MM10,dapB_3_239_B_MM6,dapB_3_239_B_MM9,dapB_3_239_C,dapD_1_42_C,dapD_1_42_MM10,dapD_1_42_MM4,dapD_1_42_MM6,dapD_1_42_MM8,dapF_1_79_C,dapF_1_79_MM10,dapF_1_79_MM4,dapF_1_79_MM6,dapF_1_79_MM8,dnaB_1_16_B_MM4,dnaB_1_16_B_MM6,dnaB_1_16_B_MM8,dnaB_1_16_C,dnaE_1_10_B_MM10,dnaE_1_10_B_MM5,dnaE_1_10_B_MM8,dnaE_1_10_C,dnaX_1_33_B_MM3,dnaX_1_33_B_MM6,dnaX_1_33_B_MM9,dnaX_1_33_C,eno_3_219_B_MM10,eno_3_219_B_MM5,eno_3_219_B_MM8,eno_3_219_C,fake_negC_rand_42,fbaA_1_28_B_MM5,fbaA_1_28_B_MM7,fbaA_1_28_B_MM9,fbaA_1_28_C,gapA_1_33_B_MM10,gapA_1_33_B_MM5,gapA_1_33_B_MM8,gapA_1_33_C,holB_3_220_B_MM10,holB_3_220_B_MM5,holB_3_220_B_MM9,holB_3_220_C,ligA_1_82_B_MM5,ligA_1_82_B_MM7,ligA_1_82_B_MM9,ligA_1_82_C,negC_rand_42,parE_1_26_B_MM10,parE_1_26_B_MM5,parE_1_26_B_MM8,parE_1_26_C,pfkA_1_43_B_MM10,pfkA_1_43_B_MM5,pfkA_1_43_B_MM9,pfkA_1_43_C,pgi_3_279_B_MM10,pgi_3_279_B_MM5,pgi_3_279_B_MM8,pgi_3_279_C,purD_1_47_C,purD_1_47_MM10,purD_1_47_MM4,purD_1_47_MM6,purD_1_47_MM8,purF_1_23_C,purF_1_23_MM10,purF_1_23_MM4,purF_1_23_MM6,purF_1_23_MM8,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purN_3_238_B_MM10,purN_3_238_B_MM5,purN_3_238_B_MM8,purN_3_238_C,tpiA_1_45_B_MM10,tpiA_1_45_B_MM4,tpiA_1_45_B_MM7,tpiA_1_45_C
dapA_1_98_B_MM3,1264.0,369.0,700.0,18.0,586.0,454.0,251.0,347.0,113.0,237.0,118.0,105.0,459.0,57.0,146.0,81.0,164.0,349.0,8.0,3.0,18.0,9.0,7.0,19.0,59.0,23.0,2.0,0.0,143.0,1.0,41.0,5.0,13.0,1.0,235.0,3.0,109.0,169.0,4.0,213.0,43.0,104.0,23.0,182.0,9.0,47.0,5.0,9.0,20.0,6.0,10.0,52.0,240.0,61.0,41.0,35.0,599.0,139.0,66.0,53.0,231.0,88.0,69.0,117.0,5.0,185.0,5.0,10.0,4.0,0.0,2.0,8.0,11.0,7.0,8.0,53.0,176.0,4.0,384.0,145.0,0.0,344.0,28.0,38.0,75.0,54.0
dapA_1_98_B_MM7,230.0,1330.0,510.0,5.0,468.0,252.0,233.0,110.0,65.0,164.0,20.0,81.0,212.0,37.0,221.0,156.0,176.0,390.0,3.0,8.0,23.0,3.0,3.0,12.0,66.0,20.0,23.0,0.0,135.0,0.0,6.0,6.0,7.0,1.0,209.0,1.0,100.0,190.0,0.0,72.0,89.0,68.0,22.0,178.0,1.0,33.0,3.0,2.0,7.0,45.0,4.0,120.0,264.0,40.0,16.0,54.0,579.0,34.0,25.0,55.0,155.0,141.0,95.0,51.0,0.0,178.0,10.0,5.0,9.0,0.0,4.0,7.0,12.0,2.0,5.0,59.0,148.0,13.0,321.0,276.0,0.0,181.0,21.0,35.0,60.0,36.0
dapA_1_98_B_MM9,444.0,509.0,3679.0,44.0,1064.0,700.0,786.0,133.0,84.0,644.0,71.0,91.0,324.0,100.0,700.0,297.0,905.0,1384.0,10.0,13.0,69.0,4.0,31.0,53.0,221.0,56.0,5.0,1.0,782.0,2.0,67.0,21.0,35.0,13.0,660.0,1.0,134.0,201.0,10.0,264.0,123.0,54.0,22.0,466.0,1.0,135.0,7.0,3.0,23.0,20.0,3.0,475.0,535.0,69.0,47.0,72.0,2372.0,86.0,57.0,53.0,623.0,215.0,90.0,142.0,7.0,977.0,15.0,3.0,30.0,9.0,1.0,11.0,12.0,16.0,2.0,63.0,204.0,19.0,920.0,422.0,0.0,471.0,126.0,51.0,106.0,74.0
dapA_1_98_C,123.0,35.0,33.0,178.0,74.0,45.0,49.0,65.0,22.0,22.0,15.0,6.0,97.0,5.0,51.0,26.0,34.0,53.0,0.0,9.0,1.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,7.0,0.0,5.0,4.0,7.0,1.0,59.0,1.0,8.0,18.0,4.0,8.0,14.0,19.0,1.0,7.0,6.0,26.0,0.0,0.0,1.0,1.0,3.0,5.0,57.0,14.0,5.0,3.0,216.0,59.0,17.0,12.0,25.0,43.0,2.0,30.0,1.0,55.0,8.0,9.0,5.0,0.0,2.0,0.0,3.0,4.0,5.0,17.0,21.0,2.0,50.0,32.0,0.0,49.0,1.0,6.0,16.0,3.0
dapB_3_239_B_MM10,494.0,403.0,1057.0,65.0,1458.0,245.0,177.0,129.0,22.0,167.0,39.0,56.0,83.0,22.0,47.0,137.0,192.0,269.0,4.0,7.0,39.0,1.0,11.0,39.0,53.0,25.0,1.0,0.0,142.0,0.0,49.0,11.0,20.0,8.0,272.0,0.0,50.0,112.0,8.0,122.0,57.0,90.0,29.0,402.0,16.0,97.0,0.0,3.0,5.0,4.0,16.0,97.0,430.0,105.0,31.0,81.0,684.0,183.0,55.0,60.0,284.0,58.0,17.0,34.0,0.0,111.0,4.0,5.0,19.0,14.0,4.0,25.0,4.0,5.0,15.0,56.0,163.0,0.0,249.0,220.0,0.0,378.0,18.0,54.0,78.0,28.0
dapB_3_239_B_MM6,350.0,355.0,716.0,74.0,244.0,707.0,191.0,86.0,19.0,46.0,43.0,77.0,92.0,21.0,80.0,51.0,163.0,144.0,5.0,4.0,9.0,2.0,8.0,27.0,57.0,18.0,10.0,2.0,58.0,0.0,29.0,13.0,22.0,12.0,167.0,3.0,62.0,156.0,3.0,110.0,40.0,105.0,26.0,124.0,12.0,74.0,0.0,4.0,6.0,8.0,5.0,36.0,162.0,81.0,13.0,24.0,535.0,126.0,66.0,71.0,223.0,40.0,44.0,122.0,15.0,120.0,8.0,8.0,0.0,0.0,5.0,10.0,7.0,7.0,5.0,49.0,71.0,7.0,162.0,133.0,0.0,157.0,19.0,40.0,119.0,43.0
dapB_3_239_B_MM9,296.0,120.0,510.0,61.0,269.0,135.0,519.0,90.0,17.0,38.0,64.0,55.0,99.0,22.0,46.0,31.0,96.0,68.0,0.0,0.0,2.0,3.0,2.0,27.0,56.0,0.0,5.0,2.0,92.0,0.0,4.0,13.0,33.0,6.0,101.0,0.0,21.0,26.0,5.0,79.0,46.0,66.0,31.0,46.0,3.0,30.0,0.0,0.0,6.0,11.0,1.0,24.0,110.0,70.0,78.0,38.0,415.0,91.0,14.0,79.0,205.0,27.0,9.0,24.0,0.0,58.0,8.0,7.0,4.0,0.0,5.0,23.0,12.0,1.0,4.0,35.0,29.0,0.0,156.0,133.0,0.0,197.0,3.0,18.0,35.0,8.0
dapB_3_239_C,269.0,193.0,156.0,45.0,202.0,174.0,47.0,507.0,21.0,38.0,53.0,50.0,149.0,21.0,24.0,29.0,48.0,60.0,8.0,4.0,7.0,12.0,4.0,12.0,21.0,7.0,1.0,0.0,25.0,0.0,21.0,6.0,46.0,1.0,128.0,8.0,72.0,171.0,0.0,79.0,62.0,86.0,45.0,77.0,8.0,37.0,1.0,0.0,14.0,14.0,1.0,17.0,71.0,81.0,21.0,14.0,348.0,179.0,58.0,37.0,146.0,41.0,18.0,101.0,0.0,63.0,3.0,7.0,6.0,1.0,2.0,4.0,14.0,0.0,3.0,51.0,103.0,23.0,53.0,79.0,0.0,107.0,3.0,38.0,183.0,26.0
dapD_1_42_C,62.0,53.0,65.0,34.0,53.0,46.0,6.0,61.0,159.0,11.0,9.0,27.0,92.0,25.0,15.0,34.0,24.0,48.0,0.0,3.0,2.0,1.0,5.0,3.0,7.0,5.0,0.0,1.0,45.0,0.0,6.0,15.0,11.0,6.0,60.0,2.0,21.0,18.0,7.0,25.0,13.0,17.0,16.0,29.0,3.0,18.0,2.0,1.0,7.0,2.0,0.0,2.0,61.0,41.0,9.0,3.0,113.0,12.0,14.0,30.0,68.0,25.0,11.0,19.0,0.0,54.0,5.0,0.0,11.0,0.0,1.0,7.0,27.0,15.0,0.0,33.0,41.0,0.0,49.0,50.0,0.0,82.0,4.0,23.0,36.0,27.0
dapD_1_42_MM10,165.0,191.0,612.0,12.0,149.0,93.0,68.0,57.0,9.0,1275.0,12.0,66.0,67.0,26.0,306.0,58.0,228.0,577.0,0.0,2.0,31.0,0.0,1.0,47.0,112.0,43.0,1.0,1.0,152.0,0.0,41.0,12.0,14.0,1.0,216.0,2.0,180.0,164.0,1.0,130.0,8.0,18.0,3.0,171.0,1.0,57.0,0.0,6.0,3.0,8.0,1.0,282.0,568.0,45.0,15.0,10.0,791.0,39.0,32.0,43.0,257.0,20.0,5.0,47.0,0.0,459.0,4.0,0.0,2.0,1.0,20.0,0.0,5.0,7.0,0.0,14.0,70.0,0.0,463.0,204.0,0.0,358.0,143.0,25.0,58.0,16.0
