,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,4537.0,1901.0,1370.0,95.0,81.0,61.0,111.0,73.0,86.0,48.0,379.0,324.0,1269.0,20.0,9.0,165.0,223.0,1136.0,548.0,53.0
folA_1_56_B_MM11,1903.0,5282.0,1656.0,113.0,68.0,75.0,70.0,59.0,363.0,102.0,518.0,379.0,1503.0,30.0,10.0,159.0,225.0,1106.0,627.0,40.0
folA_1_56_B_MM14,1581.0,1916.0,6854.0,100.0,47.0,43.0,72.0,40.0,449.0,117.0,595.0,335.0,1529.0,14.0,11.0,231.0,411.0,1346.0,627.0,59.0
folA_1_56_B_MM2,68.0,38.0,20.0,203.0,29.0,34.0,43.0,23.0,13.0,30.0,19.0,6.0,47.0,13.0,3.0,49.0,33.0,46.0,9.0,18.0
folA_1_56_B_MM3,38.0,34.0,27.0,35.0,150.0,40.0,30.0,20.0,14.0,19.0,15.0,8.0,31.0,2.0,9.0,42.0,17.0,16.0,12.0,14.0
folA_1_56_B_MM6,80.0,72.0,32.0,73.0,34.0,184.0,63.0,71.0,14.0,37.0,17.0,14.0,43.0,14.0,1.0,55.0,25.0,35.0,10.0,16.0
folA_1_56_B_MM9,108.0,75.0,76.0,88.0,39.0,53.0,205.0,55.0,13.0,31.0,17.0,19.0,70.0,3.0,7.0,95.0,31.0,53.0,18.0,22.0
folA_1_56_C,26.0,25.0,14.0,20.0,23.0,21.0,20.0,138.0,18.0,17.0,5.0,12.0,14.0,1.0,4.0,19.0,13.0,27.0,5.0,5.0
folA_3_242_B_MM3,224.0,623.0,950.0,65.0,24.0,36.0,37.0,27.0,1968.0,108.0,364.0,310.0,982.0,17.0,11.0,176.0,179.0,946.0,470.0,53.0
folA_3_242_C,63.0,104.0,91.0,89.0,28.0,32.0,25.0,42.0,189.0,256.0,33.0,27.0,99.0,16.0,4.0,76.0,75.0,124.0,60.0,32.0
negC_rand_42,446.0,514.0,570.0,41.0,11.0,21.0,24.0,12.0,144.0,38.0,2437.0,109.0,548.0,8.0,2.0,54.0,57.0,406.0,217.0,9.0
thyA_1_60_B_MM12,368.0,347.0,328.0,17.0,8.0,24.0,20.0,17.0,155.0,44.0,108.0,799.0,443.0,9.0,2.0,45.0,79.0,301.0,96.0,12.0
thyA_1_60_B_MM13,1389.0,1463.0,1283.0,65.0,34.0,33.0,41.0,45.0,452.0,96.0,544.0,401.0,4467.0,26.0,21.0,146.0,151.0,627.0,441.0,25.0
thyA_1_60_B_MM2,21.0,16.0,28.0,15.0,10.0,20.0,18.0,12.0,10.0,13.0,16.0,14.0,19.0,79.0,7.0,28.0,15.0,30.0,8.0,11.0
thyA_1_60_C,9.0,10.0,10.0,3.0,13.0,7.0,8.0,6.0,2.0,3.0,2.0,9.0,10.0,11.0,45.0,11.0,8.0,8.0,14.0,6.0
thyA_3_233_B_MM4,125.0,115.0,72.0,67.0,37.0,43.0,59.0,30.0,34.0,64.0,23.0,51.0,94.0,12.0,13.0,634.0,223.0,232.0,114.0,102.0
thyA_3_233_B_MM5,314.0,241.0,231.0,24.0,21.0,35.0,56.0,15.0,112.0,83.0,32.0,103.0,179.0,11.0,5.0,171.0,788.0,603.0,386.0,74.0
thyA_3_233_B_MM6,1144.0,1020.0,778.0,61.0,22.0,36.0,42.0,40.0,303.0,80.0,267.0,172.0,460.0,7.0,9.0,151.0,285.0,3976.0,468.0,30.0
thyA_3_233_B_MM7,677.0,620.0,540.0,17.0,14.0,17.0,28.0,18.0,308.0,46.0,177.0,131.0,405.0,3.0,1.0,80.0,79.0,503.0,1596.0,18.0
thyA_3_233_C,82.0,105.0,95.0,39.0,32.0,23.0,32.0,28.0,39.0,44.0,27.0,23.0,72.0,9.0,13.0,179.0,156.0,242.0,121.0,328.0
