,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,2962.0,1267.0,1070.0,283.0,227.0,236.0,269.0,256.0,400.0,417.0,341.0,281.0,1477.0,659.0,450.0,4900.0,1473.0,986.0,269.0,2337.0
folA_1_56_B_MM11,1425.0,2309.0,982.0,170.0,132.0,128.0,201.0,222.0,346.0,750.0,256.0,738.0,1006.0,1121.0,307.0,5562.0,1953.0,1295.0,482.0,1868.0
folA_1_56_B_MM14,1217.0,863.0,2325.0,174.0,215.0,153.0,161.0,163.0,675.0,408.0,178.0,1089.0,1427.0,972.0,419.0,5223.0,2310.0,849.0,436.0,1201.0
folA_1_56_B_MM2,180.0,32.0,63.0,384.0,256.0,128.0,260.0,195.0,97.0,19.0,5.0,20.0,5.0,287.0,187.0,944.0,396.0,112.0,2.0,513.0
folA_1_56_B_MM3,52.0,47.0,30.0,158.0,118.0,33.0,173.0,39.0,92.0,88.0,3.0,2.0,43.0,361.0,52.0,1114.0,176.0,135.0,38.0,90.0
folA_1_56_B_MM6,142.0,11.0,19.0,310.0,16.0,277.0,254.0,161.0,36.0,302.0,32.0,30.0,146.0,181.0,278.0,1252.0,637.0,311.0,194.0,1093.0
folA_1_56_B_MM9,282.0,171.0,69.0,243.0,98.0,132.0,366.0,258.0,15.0,204.0,85.0,97.0,135.0,400.0,334.0,2520.0,1350.0,420.0,173.0,1075.0
folA_1_56_C,115.0,113.0,54.0,196.0,189.0,122.0,63.0,505.0,13.0,19.0,1.0,71.0,182.0,123.0,227.0,938.0,381.0,152.0,135.0,445.0
folA_3_242_B_MM3,125.0,612.0,1494.0,350.0,133.0,243.0,192.0,176.0,1677.0,978.0,222.0,366.0,1805.0,575.0,874.0,5636.0,3003.0,1689.0,405.0,2225.0
folA_3_242_C,365.0,321.0,293.0,83.0,196.0,99.0,705.0,336.0,759.0,1027.0,189.0,5.0,648.0,748.0,660.0,4552.0,7843.0,1227.0,195.0,1651.0
negC_rand_42,131.0,269.0,227.0,13.0,47.0,1.0,92.0,90.0,120.0,227.0,933.0,126.0,515.0,274.0,269.0,900.0,435.0,429.0,124.0,580.0
thyA_1_60_B_MM12,476.0,557.0,824.0,106.0,3.0,109.0,219.0,61.0,330.0,149.0,84.0,1055.0,690.0,168.0,297.0,3599.0,886.0,2159.0,265.0,876.0
thyA_1_60_B_MM13,590.0,929.0,740.0,124.0,307.0,40.0,187.0,177.0,650.0,591.0,415.0,1020.0,3462.0,1214.0,1180.0,6089.0,1872.0,1412.0,1101.0,1516.0
thyA_1_60_B_MM2,434.0,528.0,755.0,305.0,844.0,436.0,389.0,278.0,327.0,1263.0,373.0,382.0,1047.0,2534.0,398.0,4030.0,1396.0,761.0,560.0,1005.0
thyA_1_60_C,531.0,167.0,563.0,21.0,322.0,61.0,431.0,246.0,322.0,797.0,94.0,130.0,640.0,530.0,870.0,2279.0,865.0,763.0,218.0,493.0
thyA_3_233_B_MM4,3301.0,2980.0,3153.0,1562.0,1868.0,1050.0,2174.0,1398.0,1137.0,4185.0,810.0,1871.0,3531.0,1776.0,1398.0,15330.0,6535.0,4592.0,1180.0,5191.0
thyA_3_233_B_MM5,1624.0,2005.0,1374.0,558.0,649.0,634.0,886.0,819.0,581.0,2543.0,515.0,1107.0,2601.0,1157.0,524.0,7809.0,5525.0,2648.0,920.0,3695.0
thyA_3_233_B_MM6,952.0,991.0,887.0,219.0,457.0,266.0,814.0,304.0,471.0,1831.0,695.0,796.0,1228.0,1307.0,463.0,3778.0,2487.0,4104.0,799.0,2584.0
thyA_3_233_B_MM7,359.0,516.0,393.0,205.0,69.0,4.0,176.0,7.0,197.0,804.0,284.0,132.0,836.0,651.0,206.0,1984.0,858.0,998.0,628.0,824.0
thyA_3_233_C,1759.0,2353.0,2286.0,1039.0,1391.0,732.0,1126.0,1607.0,1270.0,2409.0,710.0,1288.0,2619.0,1715.0,1317.0,13065.0,4464.0,3594.0,2250.0,7805.0
