,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,1748.0,780.0,524.0,111.0,77.0,100.0,140.0,73.0,66.0,80.0,164.0,160.0,553.0,30.0,22.0,234.0,232.0,474.0,183.0,54.0
folA_1_56_B_MM11,737.0,1741.0,532.0,124.0,73.0,81.0,73.0,57.0,158.0,97.0,197.0,207.0,531.0,39.0,13.0,192.0,219.0,461.0,157.0,50.0
folA_1_56_B_MM14,631.0,689.0,2175.0,86.0,55.0,57.0,76.0,49.0,186.0,88.0,195.0,152.0,520.0,27.0,17.0,198.0,270.0,501.0,208.0,54.0
folA_1_56_B_MM2,84.0,69.0,37.0,285.0,51.0,56.0,55.0,38.0,36.0,43.0,20.0,15.0,59.0,18.0,8.0,94.0,35.0,30.0,7.0,37.0
folA_1_56_B_MM3,63.0,49.0,24.0,72.0,126.0,33.0,39.0,40.0,9.0,28.0,13.0,2.0,62.0,6.0,5.0,83.0,26.0,27.0,19.0,31.0
folA_1_56_B_MM6,114.0,65.0,28.0,97.0,61.0,205.0,69.0,55.0,14.0,41.0,14.0,52.0,62.0,31.0,7.0,87.0,45.0,35.0,9.0,30.0
folA_1_56_B_MM9,138.0,82.0,64.0,116.0,71.0,70.0,238.0,66.0,16.0,46.0,22.0,26.0,46.0,19.0,9.0,135.0,52.0,52.0,15.0,39.0
folA_1_56_C,55.0,34.0,21.0,40.0,31.0,32.0,36.0,150.0,15.0,28.0,5.0,9.0,27.0,11.0,5.0,38.0,19.0,28.0,9.0,4.0
folA_3_242_B_MM3,151.0,336.0,396.0,81.0,79.0,49.0,29.0,64.0,732.0,99.0,159.0,150.0,387.0,20.0,19.0,179.0,180.0,427.0,189.0,51.0
folA_3_242_C,70.0,81.0,73.0,80.0,66.0,78.0,43.0,47.0,104.0,194.0,43.0,45.0,79.0,21.0,3.0,148.0,92.0,120.0,37.0,36.0
negC_rand_42,197.0,209.0,184.0,28.0,14.0,24.0,27.0,24.0,65.0,38.0,791.0,50.0,190.0,7.0,3.0,52.0,28.0,152.0,87.0,27.0
thyA_1_60_B_MM12,169.0,178.0,157.0,38.0,14.0,26.0,24.0,6.0,53.0,30.0,28.0,356.0,191.0,2.0,6.0,54.0,65.0,147.0,57.0,18.0
thyA_1_60_B_MM13,546.0,507.0,450.0,62.0,51.0,77.0,79.0,42.0,178.0,106.0,195.0,197.0,1398.0,18.0,16.0,145.0,113.0,261.0,147.0,39.0
thyA_1_60_B_MM2,35.0,23.0,22.0,26.0,17.0,21.0,11.0,16.0,8.0,24.0,20.0,12.0,40.0,56.0,9.0,35.0,32.0,20.0,23.0,9.0
thyA_1_60_C,23.0,26.0,2.0,17.0,13.0,15.0,11.0,7.0,10.0,9.0,3.0,7.0,22.0,3.0,40.0,31.0,16.0,22.0,6.0,9.0
thyA_3_233_B_MM4,174.0,132.0,110.0,88.0,63.0,61.0,93.0,51.0,30.0,87.0,39.0,60.0,121.0,28.0,32.0,708.0,313.0,209.0,93.0,127.0
thyA_3_233_B_MM5,264.0,212.0,161.0,59.0,76.0,33.0,54.0,19.0,91.0,77.0,22.0,57.0,102.0,20.0,6.0,251.0,634.0,406.0,177.0,123.0
thyA_3_233_B_MM6,471.0,353.0,276.0,64.0,31.0,51.0,51.0,36.0,108.0,80.0,90.0,117.0,239.0,23.0,4.0,186.0,242.0,1464.0,157.0,40.0
thyA_3_233_B_MM7,272.0,190.0,159.0,28.0,17.0,11.0,23.0,22.0,150.0,71.0,69.0,61.0,157.0,6.0,1.0,104.0,92.0,177.0,438.0,15.0
thyA_3_233_C,91.0,103.0,106.0,95.0,44.0,56.0,48.0,55.0,37.0,59.0,25.0,25.0,73.0,18.0,19.0,301.0,193.0,212.0,93.0,302.0
