,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,47062.0,24941.0,20005.0,1507.0,1034.0,1617.0,1111.0,2477.0,1244.0,1010.0,5737.0,5372.0,16946.0,557.0,213.0,3581.0,3833.0,13921.0,7308.0,1144.0
folA_1_56_B_MM11,21255.0,58076.0,29402.0,1079.0,885.0,1061.0,905.0,1152.0,5331.0,1503.0,7532.0,5349.0,20342.0,849.0,366.0,3659.0,3320.0,17129.0,8906.0,932.0
folA_1_56_B_MM14,17670.0,24841.0,57223.0,1050.0,924.0,699.0,596.0,1014.0,7182.0,1393.0,8596.0,4913.0,20584.0,314.0,207.0,4427.0,6480.0,16664.0,8773.0,856.0
folA_1_56_B_MM2,1054.0,596.0,450.0,2044.0,710.0,659.0,679.0,626.0,253.0,450.0,210.0,178.0,820.0,152.0,68.0,707.0,303.0,319.0,170.0,250.0
folA_1_56_B_MM3,543.0,311.0,211.0,769.0,1417.0,532.0,406.0,412.0,128.0,627.0,171.0,115.0,296.0,80.0,142.0,1045.0,237.0,427.0,114.0,220.0
folA_1_56_B_MM6,828.0,654.0,492.0,1068.0,1091.0,1832.0,670.0,596.0,369.0,496.0,228.0,266.0,1016.0,142.0,98.0,909.0,391.0,406.0,142.0,334.0
folA_1_56_B_MM9,1611.0,695.0,499.0,1220.0,720.0,970.0,1736.0,816.0,282.0,555.0,188.0,226.0,653.0,192.0,94.0,1587.0,533.0,373.0,242.0,517.0
folA_1_56_C,471.0,437.0,179.0,626.0,285.0,325.0,290.0,1391.0,103.0,163.0,49.0,147.0,185.0,54.0,25.0,325.0,164.0,443.0,290.0,149.0
folA_3_242_B_MM3,1858.0,6795.0,14598.0,1061.0,736.0,644.0,528.0,679.0,24004.0,1947.0,6038.0,4133.0,17164.0,208.0,186.0,2346.0,2596.0,15243.0,7588.0,846.0
folA_3_242_C,770.0,1267.0,1141.0,1106.0,509.0,576.0,422.0,589.0,2148.0,3328.0,295.0,419.0,1662.0,185.0,64.0,1472.0,1142.0,1594.0,682.0,492.0
negC_rand_42,5677.0,5441.0,6404.0,517.0,189.0,252.0,322.0,327.0,2112.0,520.0,33389.0,1252.0,6487.0,128.0,81.0,424.0,538.0,5277.0,3481.0,228.0
thyA_1_60_B_MM12,5439.0,5315.0,4981.0,313.0,219.0,237.0,392.0,170.0,2111.0,489.0,1821.0,8840.0,7860.0,142.0,78.0,1209.0,2470.0,5929.0,1506.0,320.0
thyA_1_60_B_MM13,16256.0,19002.0,18210.0,925.0,823.0,820.0,600.0,714.0,7173.0,1601.0,7386.0,7987.0,55639.0,373.0,145.0,2481.0,2233.0,12101.0,7515.0,724.0
thyA_1_60_B_MM2,439.0,326.0,208.0,139.0,364.0,140.0,193.0,246.0,150.0,275.0,73.0,241.0,279.0,769.0,123.0,571.0,192.0,165.0,174.0,164.0
thyA_1_60_C,205.0,222.0,216.0,114.0,185.0,66.0,107.0,74.0,110.0,127.0,60.0,69.0,132.0,113.0,378.0,373.0,167.0,160.0,128.0,112.0
thyA_3_233_B_MM4,2586.0,1635.0,1474.0,965.0,665.0,735.0,756.0,870.0,745.0,1051.0,342.0,624.0,1618.0,279.0,367.0,9633.0,4054.0,4379.0,2276.0,1728.0
thyA_3_233_B_MM5,4313.0,3689.0,3390.0,470.0,336.0,336.0,514.0,437.0,1301.0,1134.0,528.0,1732.0,2379.0,167.0,109.0,4098.0,9942.0,11041.0,5868.0,1321.0
thyA_3_233_B_MM6,15662.0,12424.0,13274.0,567.0,394.0,309.0,853.0,514.0,4797.0,1891.0,5395.0,3133.0,6684.0,147.0,199.0,3011.0,4771.0,36657.0,7679.0,850.0
thyA_3_233_B_MM7,13350.0,7660.0,7932.0,196.0,172.0,144.0,292.0,424.0,3871.0,910.0,3536.0,1729.0,5306.0,61.0,42.0,1758.0,2410.0,8741.0,21302.0,330.0
thyA_3_233_C,1138.0,1267.0,1285.0,587.0,433.0,478.0,488.0,606.0,509.0,650.0,482.0,311.0,1327.0,166.0,107.0,3482.0,2371.0,4058.0,2415.0,4296.0
