,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,34699.0,13150.0,11461.0,479.0,277.0,383.0,318.0,245.0,800.0,315.0,2460.0,1668.0,9424.0,57.0,31.0,502.0,1475.0,10203.0,5737.0,147.0
folA_1_56_B_MM11,15279.0,43652.0,14768.0,443.0,213.0,334.0,195.0,218.0,2566.0,487.0,3921.0,2710.0,13794.0,56.0,38.0,568.0,1581.0,10597.0,6456.0,176.0
folA_1_56_B_MM14,11851.0,17523.0,47700.0,418.0,182.0,264.0,215.0,214.0,3089.0,672.0,4709.0,2051.0,14966.0,56.0,26.0,829.0,3790.0,15595.0,8339.0,295.0
folA_1_56_B_MM2,219.0,215.0,137.0,1061.0,115.0,196.0,191.0,97.0,85.0,92.0,86.0,39.0,153.0,12.0,6.0,102.0,73.0,152.0,54.0,86.0
folA_1_56_B_MM3,148.0,110.0,68.0,244.0,497.0,128.0,117.0,70.0,51.0,58.0,54.0,26.0,122.0,13.0,2.0,93.0,43.0,95.0,29.0,124.0
folA_1_56_B_MM6,317.0,410.0,213.0,278.0,122.0,838.0,187.0,156.0,90.0,153.0,140.0,92.0,182.0,65.0,34.0,108.0,97.0,134.0,43.0,106.0
folA_1_56_B_MM9,481.0,254.0,167.0,468.0,193.0,283.0,2717.0,180.0,159.0,121.0,57.0,67.0,188.0,40.0,8.0,167.0,67.0,130.0,60.0,55.0
folA_1_56_C,111.0,100.0,144.0,161.0,29.0,72.0,66.0,675.0,38.0,57.0,20.0,22.0,77.0,6.0,3.0,28.0,53.0,70.0,22.0,22.0
folA_3_242_B_MM3,1829.0,4211.0,7991.0,379.0,148.0,252.0,155.0,136.0,19306.0,954.0,3036.0,2072.0,10034.0,45.0,48.0,329.0,1060.0,12181.0,5179.0,271.0
folA_3_242_C,325.0,377.0,388.0,281.0,120.0,202.0,79.0,136.0,1326.0,1506.0,135.0,214.0,579.0,30.0,3.0,269.0,351.0,740.0,456.0,99.0
negC_rand_42,3924.0,3892.0,3973.0,137.0,58.0,57.0,60.0,58.0,938.0,130.0,14103.0,657.0,3983.0,18.0,10.0,135.0,329.0,4573.0,2612.0,38.0
thyA_1_60_B_MM12,2164.0,2892.0,1646.0,129.0,57.0,93.0,66.0,21.0,793.0,206.0,517.0,4642.0,3856.0,19.0,9.0,157.0,563.0,1790.0,786.0,48.0
thyA_1_60_B_MM13,10494.0,13065.0,13978.0,401.0,271.0,294.0,236.0,196.0,4857.0,556.0,4792.0,2288.0,50253.0,69.0,49.0,615.0,1176.0,10145.0,6181.0,251.0
thyA_1_60_B_MM2,61.0,50.0,50.0,73.0,50.0,71.0,25.0,148.0,33.0,21.0,20.0,20.0,50.0,180.0,13.0,171.0,48.0,63.0,17.0,35.0
thyA_1_60_C,37.0,52.0,53.0,24.0,12.0,22.0,16.0,17.0,44.0,19.0,12.0,4.0,29.0,11.0,121.0,51.0,184.0,16.0,27.0,28.0
thyA_3_233_B_MM4,540.0,303.0,376.0,142.0,71.0,59.0,74.0,81.0,108.0,141.0,54.0,104.0,291.0,44.0,80.0,2325.0,690.0,1360.0,840.0,280.0
thyA_3_233_B_MM5,2279.0,2225.0,1994.0,156.0,46.0,58.0,97.0,63.0,607.0,540.0,235.0,578.0,1797.0,29.0,24.0,540.0,5127.0,7067.0,4071.0,166.0
thyA_3_233_B_MM6,13384.0,10278.0,8872.0,637.0,82.0,196.0,132.0,74.0,3467.0,795.0,3252.0,1489.0,5724.0,28.0,24.0,491.0,1862.0,34765.0,6286.0,118.0
thyA_3_233_B_MM7,6115.0,5264.0,4785.0,116.0,59.0,43.0,58.0,67.0,4772.0,396.0,1837.0,709.0,3296.0,15.0,10.0,178.0,982.0,4127.0,17077.0,63.0
thyA_3_233_C,313.0,229.0,292.0,157.0,59.0,97.0,76.0,76.0,106.0,99.0,91.0,82.0,302.0,28.0,119.0,539.0,612.0,2005.0,972.0,1426.0
