,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,41922.0,17325.0,12108.0,232.0,104.0,213.0,280.0,102.0,1134.0,368.0,3362.0,943.0,13234.0,41.0,2.0,365.0,937.0,11855.0,5461.0,78.0
folA_1_56_B_MM11,16433.0,45896.0,12457.0,201.0,82.0,376.0,243.0,95.0,2680.0,557.0,4385.0,1305.0,12870.0,175.0,47.0,434.0,804.0,8335.0,4286.0,107.0
folA_1_56_B_MM14,12764.0,16934.0,45683.0,214.0,104.0,172.0,226.0,107.0,4088.0,419.0,4839.0,1000.0,12679.0,27.0,15.0,377.0,1503.0,10905.0,5220.0,87.0
folA_1_56_B_MM2,172.0,169.0,90.0,508.0,47.0,109.0,112.0,38.0,41.0,73.0,25.0,31.0,117.0,7.0,0.0,37.0,30.0,74.0,16.0,21.0
folA_1_56_B_MM3,91.0,84.0,97.0,70.0,269.0,57.0,52.0,20.0,19.0,71.0,56.0,16.0,102.0,8.0,5.0,23.0,18.0,62.0,19.0,16.0
folA_1_56_B_MM6,185.0,227.0,129.0,88.0,43.0,455.0,127.0,42.0,37.0,73.0,92.0,27.0,315.0,41.0,9.0,70.0,43.0,83.0,83.0,34.0
folA_1_56_B_MM9,269.0,185.0,128.0,145.0,60.0,122.0,717.0,54.0,43.0,77.0,57.0,33.0,156.0,8.0,11.0,158.0,82.0,105.0,57.0,39.0
folA_1_56_C,129.0,59.0,32.0,51.0,30.0,27.0,21.0,229.0,9.0,43.0,23.0,7.0,38.0,7.0,2.0,15.0,15.0,39.0,21.0,16.0
folA_3_242_B_MM3,1887.0,5469.0,8116.0,164.0,92.0,108.0,116.0,70.0,19006.0,798.0,3675.0,741.0,9682.0,32.0,17.0,331.0,759.0,9813.0,4689.0,80.0
folA_3_242_C,327.0,480.0,552.0,108.0,49.0,87.0,67.0,59.0,1045.0,1615.0,190.0,185.0,623.0,14.0,6.0,106.0,252.0,1174.0,689.0,35.0
negC_rand_42,3675.0,3910.0,3443.0,86.0,13.0,54.0,67.0,17.0,1228.0,141.0,20434.0,242.0,3470.0,11.0,6.0,52.0,187.0,2984.0,1955.0,42.0
thyA_1_60_B_MM12,1281.0,1266.0,821.0,26.0,13.0,31.0,48.0,33.0,515.0,159.0,281.0,2414.0,1528.0,7.0,4.0,64.0,285.0,622.0,325.0,13.0
thyA_1_60_B_MM13,11172.0,11115.0,9942.0,113.0,120.0,118.0,162.0,52.0,3539.0,590.0,3586.0,992.0,40324.0,47.0,17.0,251.0,465.0,4644.0,3882.0,68.0
thyA_1_60_B_MM2,64.0,34.0,27.0,17.0,13.0,23.0,14.0,11.0,11.0,17.0,15.0,15.0,55.0,131.0,24.0,37.0,27.0,33.0,15.0,18.0
thyA_1_60_C,29.0,21.0,21.0,3.0,8.0,15.0,10.0,2.0,14.0,10.0,7.0,4.0,33.0,12.0,68.0,23.0,24.0,19.0,29.0,16.0
thyA_3_233_B_MM4,408.0,202.0,175.0,51.0,23.0,49.0,56.0,23.0,86.0,111.0,40.0,54.0,347.0,25.0,23.0,1380.0,359.0,641.0,367.0,137.0
thyA_3_233_B_MM5,1257.0,934.0,693.0,48.0,40.0,34.0,54.0,16.0,279.0,269.0,189.0,221.0,499.0,33.0,18.0,228.0,2982.0,3069.0,1927.0,124.0
thyA_3_233_B_MM6,10186.0,7954.0,6198.0,67.0,52.0,78.0,151.0,55.0,2421.0,699.0,2323.0,564.0,2758.0,25.0,11.0,261.0,827.0,28469.0,4011.0,111.0
thyA_3_233_B_MM7,6780.0,4021.0,4649.0,36.0,22.0,29.0,48.0,20.0,2401.0,377.0,1378.0,339.0,2504.0,14.0,2.0,99.0,297.0,4054.0,17585.0,48.0
thyA_3_233_C,274.0,133.0,183.0,42.0,41.0,49.0,44.0,19.0,248.0,48.0,73.0,19.0,121.0,21.0,20.0,231.0,246.0,832.0,288.0,798.0
