,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,40181.0,20047.0,13105.0,55.0,15.0,63.0,105.0,17.0,763.0,127.0,3362.0,530.0,14761.0,29.0,10.0,284.0,703.0,15035.0,7179.0,50.0
folA_1_56_B_MM11,17538.0,50508.0,14568.0,32.0,17.0,259.0,124.0,44.0,2224.0,279.0,4798.0,669.0,15543.0,175.0,37.0,283.0,524.0,10326.0,5578.0,86.0
folA_1_56_B_MM14,13848.0,19865.0,51775.0,71.0,19.0,68.0,206.0,19.0,3603.0,187.0,5604.0,517.0,15235.0,33.0,13.0,250.0,1261.0,14437.0,6677.0,64.0
folA_1_56_B_MM2,46.0,62.0,7.0,173.0,10.0,26.0,6.0,2.0,7.0,13.0,6.0,5.0,25.0,4.0,3.0,12.0,8.0,28.0,8.0,15.0
folA_1_56_B_MM3,9.0,23.0,84.0,17.0,69.0,14.0,15.0,3.0,7.0,18.0,20.0,0.0,41.0,7.0,2.0,13.0,12.0,48.0,4.0,7.0
folA_1_56_B_MM6,61.0,156.0,59.0,9.0,4.0,139.0,15.0,9.0,8.0,11.0,65.0,7.0,300.0,18.0,2.0,30.0,14.0,66.0,67.0,8.0
folA_1_56_B_MM9,79.0,54.0,38.0,31.0,14.0,33.0,304.0,5.0,6.0,9.0,16.0,7.0,88.0,7.0,2.0,158.0,37.0,76.0,11.0,17.0
folA_1_56_C,70.0,36.0,10.0,7.0,6.0,0.0,3.0,68.0,5.0,4.0,5.0,4.0,14.0,2.0,0.0,9.0,8.0,23.0,5.0,23.0
folA_3_242_B_MM3,1317.0,4674.0,8495.0,30.0,49.0,18.0,61.0,9.0,16385.0,349.0,3439.0,360.0,10299.0,16.0,11.0,276.0,541.0,11981.0,6537.0,86.0
folA_3_242_C,135.0,203.0,364.0,17.0,6.0,5.0,11.0,5.0,583.0,738.0,76.0,73.0,353.0,6.0,5.0,49.0,162.0,965.0,653.0,17.0
negC_rand_42,3929.0,4707.0,4045.0,37.0,3.0,19.0,32.0,4.0,1065.0,65.0,22885.0,125.0,4383.0,6.0,6.0,36.0,85.0,4220.0,2486.0,22.0
thyA_1_60_B_MM12,817.0,891.0,476.0,3.0,1.0,7.0,11.0,7.0,347.0,70.0,172.0,1220.0,845.0,5.0,1.0,28.0,104.0,359.0,201.0,14.0
thyA_1_60_B_MM13,12097.0,13226.0,12475.0,64.0,84.0,29.0,78.0,15.0,3591.0,348.0,4168.0,562.0,45994.0,49.0,9.0,190.0,240.0,5244.0,5125.0,36.0
thyA_1_60_B_MM2,61.0,35.0,22.0,5.0,17.0,6.0,3.0,16.0,5.0,10.0,4.0,9.0,63.0,82.0,23.0,14.0,15.0,20.0,7.0,11.0
thyA_1_60_C,22.0,25.0,23.0,1.0,4.0,7.0,8.0,2.0,6.0,5.0,8.0,0.0,26.0,7.0,54.0,18.0,17.0,14.0,28.0,6.0
thyA_3_233_B_MM4,316.0,112.0,127.0,16.0,10.0,27.0,35.0,13.0,58.0,53.0,23.0,24.0,357.0,14.0,9.0,899.0,198.0,403.0,300.0,88.0
thyA_3_233_B_MM5,952.0,559.0,417.0,38.0,10.0,22.0,30.0,6.0,149.0,159.0,143.0,73.0,320.0,18.0,8.0,162.0,1861.0,2866.0,2032.0,42.0
thyA_3_233_B_MM6,12709.0,10269.0,8089.0,35.0,22.0,40.0,107.0,40.0,2894.0,507.0,2975.0,356.0,2783.0,20.0,9.0,262.0,727.0,31670.0,5245.0,78.0
thyA_3_233_B_MM7,8870.0,5148.0,6197.0,11.0,7.0,10.0,24.0,7.0,3153.0,247.0,1712.0,177.0,2824.0,8.0,3.0,67.0,222.0,5139.0,22335.0,35.0
thyA_3_233_C,182.0,94.0,111.0,11.0,11.0,16.0,15.0,17.0,252.0,38.0,60.0,11.0,87.0,16.0,9.0,174.0,168.0,546.0,162.0,426.0
