,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,9325.0,1898.0,1619.0,147.0,92.0,128.0,161.0,66.0,226.0,270.0,336.0,339.0,1257.0,1016.0,473.0,3876.0,2251.0,1653.0,620.0,2296.0
folA_1_56_B_MM11,2614.0,9791.0,2151.0,165.0,81.0,100.0,205.0,55.0,700.0,376.0,362.0,472.0,1716.0,1482.0,742.0,6818.0,3630.0,1931.0,894.0,3194.0
folA_1_56_B_MM14,2261.0,2408.0,9851.0,126.0,121.0,131.0,116.0,85.0,845.0,471.0,490.0,414.0,1778.0,1271.0,499.0,5624.0,4017.0,2399.0,985.0,3657.0
folA_1_56_B_MM2,82.0,99.0,53.0,805.0,24.0,54.0,70.0,19.0,59.0,58.0,16.0,28.0,64.0,304.0,152.0,689.0,368.0,157.0,63.0,526.0
folA_1_56_B_MM3,61.0,76.0,41.0,59.0,542.0,40.0,33.0,40.0,21.0,34.0,7.0,16.0,56.0,192.0,104.0,702.0,287.0,85.0,20.0,485.0
folA_1_56_B_MM6,142.0,146.0,221.0,73.0,35.0,894.0,83.0,51.0,34.0,78.0,14.0,44.0,84.0,430.0,142.0,1135.0,528.0,271.0,67.0,1113.0
folA_1_56_B_MM9,201.0,124.0,87.0,120.0,42.0,100.0,1502.0,30.0,66.0,160.0,29.0,60.0,146.0,559.0,278.0,1957.0,819.0,359.0,129.0,1330.0
folA_1_56_C,50.0,50.0,39.0,34.0,16.0,34.0,41.0,395.0,31.0,36.0,6.0,13.0,42.0,114.0,59.0,429.0,250.0,156.0,29.0,222.0
folA_3_242_B_MM3,896.0,2088.0,2649.0,171.0,108.0,147.0,140.0,86.0,9203.0,818.0,592.0,468.0,2626.0,1528.0,995.0,6638.0,4449.0,2962.0,832.0,6530.0
folA_3_242_C,414.0,361.0,491.0,131.0,50.0,90.0,114.0,50.0,778.0,3659.0,68.0,153.0,489.0,1098.0,502.0,6179.0,3413.0,1971.0,547.0,2838.0
negC_rand_42,624.0,490.0,487.0,47.0,14.0,52.0,49.0,23.0,201.0,129.0,2311.0,90.0,422.0,625.0,160.0,1374.0,1089.0,751.0,366.0,975.0
thyA_1_60_B_MM12,584.0,540.0,382.0,53.0,34.0,36.0,56.0,19.0,196.0,169.0,91.0,1603.0,524.0,353.0,314.0,1224.0,777.0,569.0,144.0,815.0
thyA_1_60_B_MM13,1991.0,1771.0,1850.0,175.0,101.0,179.0,193.0,61.0,1029.0,575.0,385.0,439.0,9323.0,1673.0,643.0,6736.0,3574.0,2891.0,862.0,3466.0
thyA_1_60_B_MM2,1027.0,1494.0,1067.0,810.0,330.0,711.0,446.0,304.0,516.0,990.0,226.0,253.0,1229.0,5296.0,592.0,3410.0,2351.0,1314.0,490.0,1669.0
thyA_1_60_C,756.0,1206.0,1019.0,380.0,153.0,300.0,326.0,153.0,331.0,713.0,129.0,167.0,652.0,656.0,3194.0,2112.0,1345.0,745.0,278.0,1084.0
thyA_3_233_B_MM4,4021.0,4027.0,4235.0,1018.0,657.0,965.0,1436.0,479.0,1196.0,3584.0,501.0,655.0,3097.0,1899.0,1134.0,28159.0,5974.0,4417.0,1751.0,6262.0
thyA_3_233_B_MM5,2875.0,3339.0,3093.0,688.0,324.0,603.0,917.0,235.0,1192.0,3844.0,402.0,484.0,2920.0,2025.0,922.0,9726.0,19250.0,4441.0,1379.0,6060.0
thyA_3_233_B_MM6,2301.0,2097.0,1571.0,491.0,129.0,340.0,376.0,203.0,759.0,2049.0,444.0,333.0,1897.0,1173.0,616.0,6378.0,4607.0,12374.0,1078.0,2917.0
thyA_3_233_B_MM7,992.0,677.0,720.0,121.0,43.0,84.0,123.0,68.0,607.0,606.0,171.0,208.0,1023.0,669.0,270.0,2092.0,1897.0,1103.0,3978.0,1039.0
thyA_3_233_C,4440.0,4095.0,5244.0,1454.0,870.0,1271.0,1982.0,707.0,2409.0,3788.0,1125.0,637.0,4029.0,2124.0,1958.0,14682.0,9481.0,7049.0,2698.0,29313.0
