,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,1530.0,588.0,430.0,50.0,37.0,52.0,55.0,53.0,56.0,25.0,109.0,124.0,463.0,12.0,17.0,192.0,209.0,502.0,202.0,70.0
folA_1_56_B_MM11,612.0,1931.0,803.0,66.0,28.0,61.0,33.0,31.0,175.0,63.0,276.0,217.0,788.0,20.0,7.0,166.0,243.0,778.0,328.0,56.0
folA_1_56_B_MM14,464.0,853.0,3378.0,43.0,9.0,49.0,33.0,26.0,226.0,35.0,299.0,148.0,809.0,12.0,5.0,212.0,400.0,904.0,430.0,37.0
folA_1_56_B_MM2,32.0,33.0,20.0,222.0,22.0,54.0,37.0,19.0,9.0,17.0,4.0,5.0,33.0,16.0,2.0,45.0,15.0,22.0,4.0,11.0
folA_1_56_B_MM3,17.0,25.0,9.0,59.0,77.0,35.0,9.0,13.0,3.0,13.0,9.0,2.0,20.0,11.0,3.0,35.0,18.0,17.0,6.0,27.0
folA_1_56_B_MM6,38.0,46.0,22.0,45.0,34.0,119.0,42.0,32.0,13.0,13.0,14.0,9.0,35.0,15.0,20.0,75.0,23.0,23.0,8.0,36.0
folA_1_56_B_MM9,63.0,46.0,37.0,53.0,26.0,43.0,106.0,28.0,13.0,14.0,10.0,20.0,34.0,6.0,3.0,65.0,25.0,21.0,9.0,31.0
folA_1_56_C,8.0,20.0,8.0,19.0,8.0,22.0,12.0,53.0,3.0,11.0,3.0,11.0,4.0,0.0,0.0,13.0,13.0,13.0,4.0,12.0
folA_3_242_B_MM3,97.0,421.0,566.0,40.0,23.0,41.0,21.0,28.0,1073.0,102.0,198.0,165.0,750.0,13.0,8.0,121.0,128.0,821.0,352.0,56.0
folA_3_242_C,33.0,68.0,38.0,50.0,20.0,31.0,21.0,27.0,115.0,110.0,11.0,18.0,69.0,6.0,10.0,91.0,82.0,105.0,68.0,20.0
negC_rand_42,134.0,225.0,282.0,14.0,13.0,18.0,10.0,8.0,98.0,12.0,1095.0,70.0,279.0,4.0,2.0,37.0,41.0,255.0,177.0,15.0
thyA_1_60_B_MM12,118.0,233.0,180.0,28.0,16.0,11.0,10.0,9.0,63.0,25.0,58.0,322.0,251.0,3.0,4.0,73.0,103.0,162.0,62.0,19.0
thyA_1_60_B_MM13,496.0,723.0,841.0,48.0,21.0,36.0,39.0,21.0,296.0,59.0,323.0,226.0,2249.0,17.0,9.0,147.0,149.0,575.0,315.0,31.0
thyA_1_60_B_MM2,23.0,17.0,10.0,9.0,11.0,18.0,11.0,6.0,7.0,12.0,7.0,13.0,13.0,40.0,7.0,37.0,17.0,15.0,18.0,10.0
thyA_1_60_C,22.0,15.0,4.0,10.0,11.0,6.0,3.0,0.0,2.0,7.0,3.0,3.0,6.0,6.0,22.0,35.0,5.0,4.0,15.0,13.0
thyA_3_233_B_MM4,108.0,131.0,100.0,42.0,52.0,50.0,59.0,22.0,31.0,45.0,29.0,39.0,83.0,16.0,8.0,539.0,247.0,319.0,126.0,113.0
thyA_3_233_B_MM5,232.0,238.0,197.0,57.0,21.0,24.0,29.0,13.0,61.0,60.0,40.0,93.0,151.0,13.0,4.0,206.0,613.0,663.0,288.0,70.0
thyA_3_233_B_MM6,461.0,631.0,541.0,24.0,25.0,21.0,29.0,14.0,234.0,104.0,215.0,147.0,402.0,8.0,5.0,179.0,326.0,2672.0,342.0,56.0
thyA_3_233_B_MM7,252.0,305.0,329.0,8.0,2.0,7.0,13.0,8.0,208.0,43.0,87.0,99.0,246.0,6.0,4.0,112.0,147.0,332.0,899.0,20.0
thyA_3_233_C,82.0,64.0,55.0,37.0,18.0,27.0,36.0,22.0,21.0,30.0,20.0,32.0,55.0,10.0,14.0,216.0,232.0,280.0,109.0,236.0
