,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,18961.0,9485.0,7956.0,3715.0,2986.0,3519.0,3166.0,1762.0,2271.0,2888.0,2560.0,1930.0,8457.0,2546.0,2015.0,14806.0,8424.0,9255.0,3231.0,7746.0
folA_1_56_B_MM11,11210.0,18546.0,9071.0,2786.0,2347.0,2647.0,2467.0,1674.0,3190.0,2725.0,3379.0,2477.0,10635.0,2615.0,1215.0,15176.0,9957.0,9069.0,3514.0,7615.0
folA_1_56_B_MM14,7451.0,10165.0,18087.0,2436.0,1925.0,2169.0,1672.0,1964.0,4190.0,2296.0,3543.0,1779.0,8548.0,1911.0,1252.0,12649.0,9609.0,9843.0,3307.0,5275.0
folA_1_56_B_MM2,3717.0,1940.0,1174.0,4752.0,1816.0,2530.0,2456.0,882.0,680.0,1719.0,762.0,764.0,1905.0,1409.0,662.0,6810.0,2655.0,2600.0,546.0,2995.0
folA_1_56_B_MM3,2624.0,1400.0,815.0,2179.0,2749.0,1680.0,1566.0,1091.0,627.0,1008.0,452.0,456.0,1345.0,837.0,751.0,4806.0,2544.0,1624.0,407.0,2787.0
folA_1_56_B_MM6,2941.0,2406.0,1271.0,3029.0,1653.0,4145.0,2713.0,1812.0,811.0,1536.0,765.0,787.0,2454.0,1809.0,478.0,6947.0,2643.0,2133.0,1025.0,3160.0
folA_1_56_B_MM9,3928.0,2111.0,1556.0,2912.0,1632.0,2824.0,4908.0,1723.0,926.0,1756.0,579.0,655.0,1657.0,1522.0,715.0,8218.0,3696.0,2517.0,1015.0,4708.0
folA_1_56_C,1648.0,1282.0,556.0,2049.0,768.0,1137.0,1674.0,2165.0,442.0,854.0,373.0,387.0,708.0,511.0,323.0,3360.0,1626.0,1271.0,440.0,1431.0
folA_3_242_B_MM3,3808.0,7169.0,7794.0,2916.0,1741.0,2132.0,1770.0,2095.0,11418.0,3492.0,4409.0,1764.0,9525.0,2161.0,1444.0,16380.0,10263.0,12476.0,3173.0,5885.0
folA_3_242_C,2466.0,2348.0,2069.0,2329.0,1349.0,1531.0,1639.0,1420.0,2444.0,4064.0,797.0,978.0,2534.0,929.0,560.0,9576.0,6076.0,4969.0,1594.0,4873.0
negC_rand_42,2551.0,2884.0,2771.0,934.0,534.0,608.0,772.0,478.0,1722.0,817.0,14920.0,585.0,2737.0,576.0,287.0,3177.0,2362.0,2919.0,1570.0,2220.0
thyA_1_60_B_MM12,2749.0,3243.0,2575.0,722.0,348.0,1096.0,992.0,656.0,1364.0,1064.0,721.0,3943.0,3254.0,706.0,340.0,4023.0,2755.0,1659.0,754.0,2227.0
thyA_1_60_B_MM13,9353.0,8007.0,8013.0,2643.0,1737.0,2576.0,2107.0,1514.0,4262.0,1953.0,3393.0,3321.0,19166.0,2244.0,1020.0,11929.0,8718.0,8121.0,3107.0,4531.0
thyA_1_60_B_MM2,2301.0,2409.0,1862.0,2127.0,1383.0,1612.0,1521.0,1372.0,1039.0,1583.0,847.0,519.0,1800.0,3719.0,1113.0,4644.0,1838.0,2173.0,935.0,1883.0
thyA_1_60_C,1652.0,1417.0,1287.0,954.0,989.0,1414.0,1092.0,657.0,569.0,821.0,485.0,262.0,989.0,1032.0,1556.0,3404.0,2072.0,1391.0,199.0,1154.0
thyA_3_233_B_MM4,10589.0,8005.0,8722.0,4543.0,4197.0,5680.0,5703.0,4124.0,3999.0,6586.0,2694.0,2401.0,6602.0,3716.0,2987.0,46212.0,16500.0,12714.0,4659.0,13745.0
thyA_3_233_B_MM5,10509.0,8536.0,6645.0,4246.0,2932.0,3737.0,4287.0,1807.0,3502.0,5412.0,2337.0,1285.0,6647.0,2482.0,1218.0,18739.0,24195.0,12663.0,6056.0,9162.0
thyA_3_233_B_MM6,8330.0,7535.0,6194.0,3032.0,2204.0,2559.0,2651.0,2462.0,2660.0,4376.0,2058.0,1752.0,6463.0,1897.0,828.0,13123.0,11945.0,21579.0,3946.0,6553.0
thyA_3_233_B_MM7,3858.0,2781.0,3727.0,930.0,964.0,1353.0,939.0,783.0,2407.0,1325.0,1040.0,1098.0,4410.0,661.0,415.0,6646.0,3673.0,4577.0,5492.0,2690.0
thyA_3_233_C,8822.0,5478.0,5921.0,5486.0,4116.0,4423.0,4533.0,3485.0,3593.0,4374.0,2494.0,1557.0,5030.0,2392.0,2243.0,31190.0,15301.0,14201.0,4791.0,22122.0
