,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,19144.0,6435.0,5062.0,1782.0,734.0,1164.0,922.0,745.0,601.0,679.0,1520.0,1803.0,5354.0,483.0,260.0,3730.0,3565.0,6254.0,2454.0,1326.0
folA_1_56_B_MM11,8024.0,19764.0,6564.0,1507.0,580.0,791.0,683.0,597.0,1655.0,890.0,1729.0,2429.0,6701.0,374.0,189.0,3945.0,3590.0,5641.0,3156.0,1017.0
folA_1_56_B_MM14,5942.0,7721.0,17641.0,1134.0,577.0,963.0,420.0,548.0,1621.0,733.0,1929.0,2263.0,6160.0,347.0,138.0,3628.0,5798.0,7663.0,3842.0,1255.0
folA_1_56_B_MM2,696.0,720.0,450.0,3179.0,606.0,953.0,587.0,448.0,228.0,504.0,208.0,223.0,441.0,150.0,88.0,1079.0,506.0,459.0,191.0,409.0
folA_1_56_B_MM3,550.0,324.0,204.0,829.0,1351.0,622.0,325.0,363.0,151.0,253.0,78.0,114.0,312.0,138.0,43.0,660.0,329.0,269.0,113.0,266.0
folA_1_56_B_MM6,1136.0,844.0,571.0,1333.0,818.0,2539.0,845.0,535.0,213.0,521.0,167.0,335.0,758.0,203.0,95.0,1180.0,494.0,468.0,173.0,683.0
folA_1_56_B_MM9,1057.0,753.0,363.0,1598.0,671.0,1300.0,2537.0,501.0,180.0,444.0,116.0,308.0,463.0,213.0,123.0,1409.0,600.0,562.0,218.0,534.0
folA_1_56_C,437.0,289.0,247.0,522.0,242.0,337.0,221.0,1035.0,102.0,192.0,44.0,128.0,219.0,72.0,24.0,369.0,230.0,221.0,87.0,199.0
folA_3_242_B_MM3,1668.0,3108.0,4682.0,1346.0,486.0,813.0,436.0,427.0,9816.0,1050.0,1570.0,1985.0,4943.0,260.0,187.0,2329.0,2115.0,5710.0,2062.0,1132.0
folA_3_242_C,608.0,727.0,558.0,1084.0,375.0,893.0,446.0,440.0,1352.0,2649.0,239.0,466.0,801.0,195.0,68.0,1681.0,890.0,1622.0,744.0,480.0
negC_rand_42,1953.0,1704.0,1530.0,347.0,123.0,204.0,104.0,215.0,380.0,246.0,5440.0,567.0,1675.0,131.0,34.0,536.0,665.0,2152.0,1074.0,296.0
thyA_1_60_B_MM12,2469.0,2754.0,1963.0,496.0,243.0,395.0,227.0,154.0,781.0,316.0,599.0,4313.0,2665.0,123.0,98.0,1105.0,993.0,2770.0,955.0,322.0
thyA_1_60_B_MM13,6230.0,5871.0,5507.0,1498.0,557.0,875.0,588.0,466.0,2705.0,1193.0,1882.0,2681.0,18340.0,316.0,173.0,2963.0,2126.0,6218.0,2454.0,796.0
thyA_1_60_B_MM2,532.0,445.0,213.0,457.0,194.0,353.0,144.0,153.0,168.0,181.0,101.0,132.0,370.0,789.0,126.0,882.0,413.0,402.0,131.0,291.0
thyA_1_60_C,316.0,334.0,169.0,201.0,107.0,188.0,113.0,71.0,92.0,134.0,48.0,76.0,130.0,155.0,637.0,537.0,249.0,151.0,53.0,175.0
thyA_3_233_B_MM4,2755.0,1962.0,1539.0,1477.0,658.0,779.0,1105.0,461.0,524.0,890.0,276.0,550.0,1283.0,678.0,367.0,12988.0,3864.0,4565.0,1799.0,2761.0
thyA_3_233_B_MM5,3885.0,3763.0,2949.0,1006.0,411.0,660.0,557.0,378.0,745.0,1010.0,388.0,1018.0,2063.0,321.0,132.0,4595.0,10425.0,8395.0,3294.0,1614.0
thyA_3_233_B_MM6,6381.0,5447.0,3982.0,1160.0,359.0,609.0,399.0,307.0,1668.0,1074.0,1546.0,1596.0,3666.0,244.0,126.0,3557.0,4271.0,18438.0,2908.0,746.0
thyA_3_233_B_MM7,2919.0,2112.0,1823.0,434.0,143.0,191.0,256.0,173.0,1791.0,500.0,624.0,726.0,1694.0,150.0,55.0,1340.0,2089.0,2310.0,6417.0,326.0
thyA_3_233_C,1486.0,1190.0,1079.0,1099.0,585.0,618.0,701.0,539.0,483.0,545.0,498.0,473.0,955.0,201.0,229.0,5200.0,3413.0,5688.0,2087.0,5171.0
