,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,677.0,153.0,106.0,16.0,10.0,8.0,30.0,3.0,18.0,17.0,24.0,27.0,99.0,47.0,20.0,417.0,204.0,156.0,69.0,226.0
folA_1_56_B_MM11,170.0,672.0,132.0,12.0,7.0,20.0,13.0,7.0,48.0,29.0,21.0,45.0,108.0,80.0,35.0,490.0,281.0,149.0,50.0,230.0
folA_1_56_B_MM14,136.0,150.0,655.0,14.0,7.0,14.0,10.0,4.0,50.0,25.0,23.0,21.0,96.0,84.0,41.0,401.0,291.0,138.0,63.0,221.0
folA_1_56_B_MM2,9.0,3.0,16.0,98.0,3.0,9.0,8.0,3.0,3.0,8.0,1.0,3.0,11.0,28.0,12.0,160.0,71.0,29.0,8.0,95.0
folA_1_56_B_MM3,8.0,6.0,3.0,8.0,74.0,4.0,8.0,3.0,5.0,4.0,0.0,4.0,8.0,22.0,11.0,100.0,48.0,21.0,4.0,83.0
folA_1_56_B_MM6,14.0,17.0,9.0,14.0,15.0,97.0,4.0,4.0,8.0,7.0,1.0,4.0,12.0,45.0,20.0,240.0,107.0,40.0,9.0,146.0
folA_1_56_B_MM9,24.0,17.0,12.0,14.0,2.0,18.0,130.0,8.0,10.0,7.0,0.0,7.0,8.0,54.0,25.0,230.0,114.0,54.0,17.0,139.0
folA_1_56_C,11.0,6.0,2.0,16.0,4.0,3.0,0.0,63.0,2.0,2.0,1.0,3.0,1.0,19.0,6.0,83.0,62.0,16.0,7.0,54.0
folA_3_242_B_MM3,67.0,124.0,133.0,27.0,10.0,9.0,14.0,7.0,392.0,36.0,21.0,21.0,99.0,99.0,59.0,574.0,291.0,178.0,54.0,346.0
folA_3_242_C,23.0,36.0,27.0,9.0,7.0,11.0,8.0,10.0,54.0,209.0,6.0,18.0,27.0,74.0,25.0,448.0,294.0,134.0,50.0,214.0
negC_rand_42,36.0,33.0,32.0,8.0,0.0,9.0,2.0,1.0,22.0,7.0,177.0,3.0,32.0,31.0,16.0,143.0,60.0,35.0,19.0,85.0
thyA_1_60_B_MM12,56.0,33.0,31.0,2.0,6.0,2.0,10.0,3.0,13.0,16.0,15.0,101.0,36.0,22.0,9.0,134.0,53.0,32.0,15.0,61.0
thyA_1_60_B_MM13,117.0,106.0,100.0,15.0,8.0,15.0,17.0,8.0,38.0,24.0,14.0,32.0,427.0,82.0,35.0,436.0,212.0,116.0,48.0,175.0
thyA_1_60_B_MM2,61.0,81.0,67.0,62.0,36.0,54.0,47.0,51.0,39.0,59.0,16.0,15.0,69.0,267.0,32.0,250.0,121.0,80.0,48.0,120.0
thyA_1_60_C,38.0,46.0,45.0,49.0,17.0,30.0,38.0,25.0,17.0,38.0,14.0,6.0,33.0,43.0,157.0,189.0,104.0,52.0,19.0,87.0
thyA_3_233_B_MM4,298.0,268.0,290.0,223.0,120.0,212.0,163.0,142.0,114.0,268.0,64.0,58.0,241.0,152.0,83.0,2496.0,668.0,377.0,132.0,527.0
thyA_3_233_B_MM5,219.0,233.0,183.0,101.0,72.0,105.0,90.0,64.0,89.0,179.0,47.0,43.0,187.0,136.0,62.0,796.0,1423.0,305.0,111.0,398.0
thyA_3_233_B_MM6,124.0,153.0,112.0,45.0,20.0,61.0,31.0,25.0,45.0,113.0,23.0,33.0,109.0,55.0,31.0,410.0,304.0,846.0,84.0,191.0
thyA_3_233_B_MM7,55.0,57.0,44.0,18.0,12.0,7.0,12.0,19.0,37.0,34.0,10.0,10.0,36.0,40.0,15.0,214.0,135.0,82.0,276.0,106.0
thyA_3_233_C,271.0,223.0,244.0,216.0,153.0,165.0,175.0,157.0,136.0,244.0,85.0,56.0,217.0,118.0,111.0,1202.0,628.0,365.0,160.0,1809.0
