,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,973.0,394.0,240.0,115.0,47.0,106.0,106.0,51.0,65.0,109.0,96.0,116.0,219.0,46.0,33.0,410.0,310.0,289.0,127.0,187.0
folA_1_56_B_MM11,417.0,790.0,294.0,74.0,35.0,56.0,56.0,27.0,124.0,73.0,64.0,109.0,336.0,42.0,20.0,432.0,359.0,297.0,138.0,115.0
folA_1_56_B_MM14,338.0,406.0,924.0,48.0,44.0,50.0,57.0,27.0,149.0,66.0,105.0,92.0,221.0,38.0,12.0,374.0,386.0,313.0,111.0,134.0
folA_1_56_B_MM2,60.0,58.0,44.0,173.0,33.0,57.0,46.0,45.0,17.0,33.0,14.0,4.0,32.0,18.0,12.0,223.0,96.0,72.0,15.0,84.0
folA_1_56_B_MM3,43.0,27.0,24.0,62.0,107.0,52.0,46.0,28.0,13.0,18.0,12.0,7.0,14.0,18.0,10.0,148.0,78.0,54.0,14.0,39.0
folA_1_56_B_MM6,63.0,50.0,23.0,71.0,36.0,139.0,51.0,36.0,15.0,47.0,10.0,24.0,40.0,26.0,13.0,251.0,107.0,66.0,26.0,87.0
folA_1_56_B_MM9,145.0,76.0,62.0,67.0,56.0,67.0,170.0,27.0,25.0,32.0,20.0,20.0,50.0,26.0,15.0,264.0,150.0,94.0,46.0,112.0
folA_1_56_C,21.0,28.0,21.0,42.0,10.0,36.0,10.0,89.0,15.0,20.0,9.0,4.0,24.0,13.0,9.0,149.0,58.0,43.0,20.0,37.0
folA_3_242_B_MM3,179.0,327.0,333.0,78.0,49.0,67.0,41.0,32.0,586.0,156.0,101.0,112.0,278.0,35.0,35.0,456.0,262.0,377.0,114.0,188.0
folA_3_242_C,79.0,119.0,88.0,56.0,26.0,43.0,24.0,33.0,144.0,186.0,30.0,33.0,99.0,34.0,7.0,303.0,201.0,158.0,60.0,113.0
negC_rand_42,89.0,106.0,107.0,33.0,13.0,14.0,17.0,18.0,54.0,30.0,378.0,23.0,94.0,14.0,4.0,134.0,84.0,117.0,35.0,42.0
thyA_1_60_B_MM12,85.0,101.0,87.0,21.0,17.0,12.0,33.0,14.0,53.0,25.0,34.0,148.0,109.0,10.0,10.0,142.0,94.0,104.0,34.0,37.0
thyA_1_60_B_MM13,269.0,250.0,229.0,48.0,31.0,58.0,42.0,19.0,146.0,92.0,69.0,110.0,598.0,31.0,15.0,340.0,235.0,203.0,103.0,97.0
thyA_1_60_B_MM2,112.0,30.0,31.0,55.0,26.0,35.0,22.0,25.0,17.0,30.0,10.0,19.0,47.0,105.0,42.0,199.0,66.0,61.0,26.0,54.0
thyA_1_60_C,42.0,45.0,25.0,25.0,16.0,26.0,22.0,11.0,8.0,26.0,19.0,8.0,16.0,10.0,31.0,123.0,50.0,42.0,11.0,26.0
thyA_3_233_B_MM4,345.0,300.0,244.0,208.0,141.0,161.0,138.0,127.0,118.0,175.0,72.0,98.0,206.0,98.0,80.0,1853.0,608.0,472.0,130.0,448.0
thyA_3_233_B_MM5,368.0,307.0,223.0,126.0,98.0,117.0,146.0,75.0,106.0,198.0,68.0,80.0,221.0,46.0,28.0,682.0,1005.0,450.0,146.0,275.0
thyA_3_233_B_MM6,304.0,305.0,215.0,100.0,53.0,62.0,67.0,73.0,96.0,193.0,87.0,80.0,221.0,36.0,15.0,501.0,430.0,970.0,122.0,181.0
thyA_3_233_B_MM7,161.0,110.0,111.0,54.0,6.0,31.0,40.0,12.0,58.0,53.0,29.0,37.0,93.0,12.0,3.0,170.0,154.0,123.0,250.0,35.0
thyA_3_233_C,193.0,194.0,143.0,157.0,100.0,99.0,108.0,96.0,202.0,132.0,53.0,66.0,135.0,46.0,42.0,967.0,447.0,376.0,154.0,616.0
