,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,669.0,217.0,140.0,43.0,26.0,38.0,46.0,27.0,27.0,38.0,38.0,36.0,125.0,59.0,50.0,368.0,237.0,192.0,66.0,228.0
folA_1_56_B_MM11,188.0,474.0,115.0,27.0,24.0,21.0,19.0,22.0,65.0,44.0,32.0,32.0,127.0,75.0,48.0,372.0,266.0,134.0,47.0,224.0
folA_1_56_B_MM14,136.0,148.0,555.0,23.0,12.0,23.0,15.0,21.0,47.0,32.0,31.0,37.0,73.0,81.0,31.0,290.0,214.0,126.0,50.0,157.0
folA_1_56_B_MM2,24.0,12.0,12.0,178.0,12.0,18.0,19.0,21.0,6.0,16.0,9.0,7.0,15.0,42.0,22.0,203.0,115.0,48.0,20.0,129.0
folA_1_56_B_MM3,18.0,7.0,6.0,31.0,93.0,14.0,9.0,14.0,3.0,8.0,4.0,5.0,13.0,31.0,15.0,161.0,93.0,40.0,10.0,96.0
folA_1_56_B_MM6,25.0,30.0,10.0,29.0,15.0,146.0,27.0,22.0,10.0,7.0,2.0,4.0,22.0,50.0,29.0,210.0,110.0,72.0,22.0,149.0
folA_1_56_B_MM9,52.0,26.0,16.0,25.0,22.0,35.0,133.0,21.0,14.0,26.0,10.0,6.0,20.0,75.0,39.0,232.0,151.0,71.0,22.0,143.0
folA_1_56_C,16.0,24.0,10.0,18.0,5.0,13.0,7.0,84.0,7.0,11.0,4.0,5.0,1.0,20.0,11.0,115.0,74.0,38.0,6.0,82.0
folA_3_242_B_MM3,87.0,128.0,111.0,29.0,24.0,25.0,30.0,18.0,347.0,50.0,38.0,32.0,114.0,85.0,55.0,403.0,274.0,159.0,53.0,267.0
folA_3_242_C,59.0,55.0,35.0,26.0,19.0,24.0,11.0,10.0,42.0,152.0,7.0,10.0,34.0,73.0,25.0,310.0,230.0,103.0,39.0,133.0
negC_rand_42,46.0,55.0,31.0,8.0,5.0,9.0,6.0,8.0,26.0,15.0,173.0,11.0,37.0,17.0,12.0,109.0,63.0,46.0,17.0,75.0
thyA_1_60_B_MM12,29.0,53.0,20.0,10.0,6.0,13.0,16.0,0.0,12.0,12.0,24.0,76.0,28.0,18.0,13.0,86.0,33.0,28.0,6.0,39.0
thyA_1_60_B_MM13,139.0,143.0,91.0,28.0,19.0,31.0,18.0,15.0,58.0,30.0,31.0,21.0,326.0,69.0,37.0,338.0,172.0,97.0,42.0,149.0
thyA_1_60_B_MM2,98.0,65.0,75.0,65.0,60.0,68.0,54.0,37.0,27.0,63.0,16.0,18.0,77.0,209.0,35.0,181.0,100.0,83.0,33.0,104.0
thyA_1_60_C,43.0,60.0,56.0,49.0,35.0,28.0,44.0,26.0,17.0,42.0,16.0,7.0,38.0,53.0,146.0,128.0,69.0,46.0,22.0,69.0
thyA_3_233_B_MM4,358.0,258.0,215.0,210.0,166.0,250.0,230.0,140.0,106.0,264.0,82.0,63.0,248.0,117.0,104.0,1593.0,511.0,277.0,92.0,403.0
thyA_3_233_B_MM5,272.0,244.0,180.0,134.0,107.0,150.0,128.0,93.0,91.0,202.0,50.0,30.0,181.0,106.0,48.0,592.0,1090.0,275.0,109.0,324.0
thyA_3_233_B_MM6,167.0,135.0,98.0,78.0,52.0,64.0,69.0,44.0,55.0,116.0,22.0,17.0,90.0,74.0,33.0,350.0,285.0,682.0,58.0,190.0
thyA_3_233_B_MM7,55.0,52.0,34.0,31.0,15.0,16.0,20.0,16.0,26.0,19.0,16.0,11.0,40.0,24.0,18.0,144.0,84.0,56.0,141.0,71.0
thyA_3_233_C,292.0,246.0,236.0,243.0,184.0,188.0,216.0,188.0,148.0,201.0,78.0,53.0,230.0,118.0,92.0,775.0,519.0,345.0,91.0,1221.0
