,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,99.0,56.0,38.0,27.0,19.0,20.0,24.0,14.0,10.0,17.0,10.0,5.0,52.0,17.0,13.0,64.0,45.0,23.0,14.0,38.0
folA_1_56_B_MM11,47.0,86.0,22.0,27.0,15.0,44.0,26.0,49.0,14.0,27.0,9.0,11.0,25.0,14.0,9.0,93.0,64.0,44.0,9.0,45.0
folA_1_56_B_MM14,23.0,23.0,54.0,14.0,21.0,24.0,6.0,13.0,5.0,15.0,0.0,5.0,24.0,14.0,15.0,75.0,43.0,29.0,13.0,34.0
folA_1_56_B_MM2,61.0,18.0,8.0,62.0,15.0,15.0,24.0,2.0,0.0,10.0,11.0,15.0,15.0,6.0,5.0,53.0,20.0,23.0,10.0,38.0
folA_1_56_B_MM3,7.0,22.0,7.0,12.0,28.0,25.0,14.0,9.0,6.0,12.0,1.0,3.0,6.0,1.0,9.0,46.0,22.0,22.0,7.0,7.0
folA_1_56_B_MM6,18.0,11.0,6.0,15.0,28.0,64.0,40.0,13.0,4.0,11.0,7.0,2.0,20.0,6.0,10.0,55.0,35.0,14.0,5.0,26.0
folA_1_56_B_MM9,40.0,13.0,12.0,12.0,18.0,20.0,24.0,14.0,0.0,18.0,4.0,0.0,13.0,8.0,9.0,84.0,48.0,19.0,4.0,32.0
folA_1_56_C,16.0,15.0,5.0,8.0,10.0,4.0,10.0,29.0,7.0,12.0,7.0,6.0,3.0,9.0,11.0,25.0,9.0,21.0,4.0,20.0
folA_3_242_B_MM3,19.0,26.0,31.0,19.0,21.0,38.0,11.0,25.0,36.0,18.0,2.0,10.0,23.0,10.0,12.0,93.0,73.0,18.0,13.0,42.0
folA_3_242_C,37.0,109.0,7.0,45.0,10.0,7.0,12.0,24.0,18.0,32.0,5.0,0.0,28.0,15.0,0.0,85.0,45.0,38.0,12.0,23.0
negC_rand_42,1.0,6.0,2.0,14.0,7.0,8.0,9.0,5.0,11.0,11.0,41.0,1.0,11.0,5.0,1.0,15.0,8.0,4.0,2.0,5.0
thyA_1_60_B_MM12,23.0,12.0,9.0,9.0,10.0,9.0,11.0,15.0,0.0,14.0,2.0,13.0,19.0,20.0,0.0,35.0,6.0,4.0,1.0,6.0
thyA_1_60_B_MM13,32.0,20.0,14.0,21.0,15.0,17.0,17.0,6.0,7.0,21.0,10.0,9.0,72.0,9.0,15.0,102.0,28.0,30.0,4.0,30.0
thyA_1_60_B_MM2,32.0,16.0,10.0,14.0,15.0,30.0,8.0,9.0,3.0,10.0,8.0,3.0,21.0,22.0,5.0,62.0,33.0,10.0,5.0,23.0
thyA_1_60_C,11.0,10.0,9.0,7.0,17.0,7.0,11.0,4.0,9.0,13.0,2.0,1.0,12.0,8.0,18.0,27.0,9.0,30.0,5.0,6.0
thyA_3_233_B_MM4,58.0,51.0,32.0,80.0,31.0,74.0,73.0,31.0,27.0,57.0,8.0,15.0,29.0,45.0,8.0,286.0,84.0,61.0,38.0,94.0
thyA_3_233_B_MM5,57.0,44.0,25.0,49.0,23.0,30.0,34.0,22.0,41.0,66.0,15.0,29.0,48.0,11.0,11.0,154.0,173.0,58.0,16.0,64.0
thyA_3_233_B_MM6,32.0,24.0,32.0,47.0,14.0,31.0,22.0,19.0,12.0,31.0,8.0,1.0,22.0,5.0,11.0,110.0,62.0,78.0,8.0,42.0
thyA_3_233_B_MM7,11.0,11.0,6.0,13.0,4.0,7.0,32.0,4.0,2.0,8.0,5.0,2.0,38.0,7.0,1.0,37.0,18.0,12.0,28.0,35.0
thyA_3_233_C,40.0,68.0,40.0,80.0,49.0,48.0,46.0,33.0,21.0,46.0,16.0,18.0,32.0,44.0,9.0,191.0,74.0,65.0,24.0,174.0
