,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,1238.0,421.0,287.0,28.0,27.0,22.0,38.0,14.0,28.0,23.0,54.0,55.0,201.0,173.0,90.0,878.0,476.0,372.0,134.0,481.0
folA_1_56_B_MM11,420.0,1067.0,322.0,27.0,16.0,16.0,32.0,8.0,64.0,27.0,49.0,58.0,256.0,217.0,104.0,1054.0,523.0,325.0,133.0,437.0
folA_1_56_B_MM14,375.0,350.0,1259.0,17.0,11.0,17.0,35.0,10.0,122.0,31.0,77.0,57.0,187.0,197.0,108.0,927.0,549.0,335.0,135.0,468.0
folA_1_56_B_MM2,14.0,18.0,11.0,141.0,9.0,20.0,11.0,17.0,6.0,7.0,3.0,2.0,10.0,74.0,36.0,310.0,114.0,64.0,14.0,200.0
folA_1_56_B_MM3,5.0,17.0,9.0,18.0,88.0,13.0,11.0,6.0,1.0,11.0,3.0,1.0,5.0,57.0,20.0,185.0,89.0,34.0,14.0,144.0
folA_1_56_B_MM6,20.0,15.0,13.0,19.0,9.0,83.0,20.0,9.0,4.0,19.0,7.0,3.0,18.0,90.0,35.0,423.0,156.0,79.0,16.0,260.0
folA_1_56_B_MM9,49.0,17.0,21.0,25.0,13.0,18.0,120.0,11.0,7.0,8.0,3.0,7.0,22.0,92.0,42.0,426.0,209.0,84.0,23.0,324.0
folA_1_56_C,13.0,16.0,5.0,15.0,9.0,10.0,12.0,74.0,4.0,9.0,1.0,2.0,8.0,30.0,16.0,159.0,57.0,40.0,5.0,102.0
folA_3_242_B_MM3,87.0,265.0,313.0,22.0,13.0,17.0,18.0,10.0,656.0,71.0,89.0,74.0,250.0,207.0,107.0,977.0,592.0,426.0,132.0,669.0
folA_3_242_C,32.0,30.0,45.0,24.0,12.0,5.0,11.0,8.0,107.0,229.0,14.0,7.0,64.0,130.0,85.0,787.0,517.0,234.0,86.0,442.0
negC_rand_42,106.0,108.0,89.0,10.0,5.0,9.0,8.0,12.0,31.0,8.0,364.0,13.0,90.0,53.0,36.0,288.0,166.0,124.0,38.0,179.0
thyA_1_60_B_MM12,88.0,107.0,75.0,12.0,6.0,9.0,12.0,3.0,28.0,16.0,20.0,181.0,77.0,64.0,25.0,220.0,98.0,96.0,26.0,117.0
thyA_1_60_B_MM13,239.0,278.0,243.0,20.0,8.0,10.0,13.0,12.0,94.0,43.0,56.0,69.0,788.0,164.0,73.0,852.0,524.0,293.0,127.0,420.0
thyA_1_60_B_MM2,258.0,207.0,197.0,132.0,91.0,134.0,136.0,103.0,96.0,168.0,61.0,36.0,214.0,513.0,73.0,427.0,320.0,184.0,116.0,249.0
thyA_1_60_C,135.0,181.0,128.0,90.0,53.0,69.0,72.0,49.0,55.0,101.0,29.0,14.0,99.0,71.0,309.0,346.0,225.0,117.0,39.0,147.0
thyA_3_233_B_MM4,871.0,743.0,626.0,298.0,258.0,331.0,407.0,175.0,233.0,551.0,153.0,144.0,600.0,359.0,204.0,3826.0,1196.0,672.0,234.0,901.0
thyA_3_233_B_MM5,573.0,553.0,532.0,163.0,98.0,183.0,216.0,112.0,230.0,388.0,96.0,87.0,464.0,316.0,136.0,1416.0,2507.0,667.0,213.0,838.0
thyA_3_233_B_MM6,303.0,330.0,263.0,92.0,56.0,56.0,90.0,58.0,120.0,215.0,54.0,54.0,239.0,157.0,90.0,839.0,752.0,1497.0,156.0,413.0
thyA_3_233_B_MM7,161.0,123.0,127.0,39.0,9.0,23.0,15.0,16.0,62.0,53.0,41.0,32.0,104.0,64.0,30.0,385.0,267.0,162.0,471.0,176.0
thyA_3_233_C,843.0,631.0,707.0,347.0,274.0,328.0,407.0,220.0,325.0,462.0,225.0,141.0,656.0,308.0,238.0,2046.0,1309.0,781.0,310.0,3106.0
