,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,11074.0,3009.0,2649.0,79.0,40.0,65.0,121.0,38.0,157.0,216.0,478.0,642.0,2255.0,1983.0,970.0,10430.0,4019.0,3646.0,1055.0,5211.0
folA_1_56_B_MM11,5089.0,14484.0,4156.0,71.0,43.0,62.0,79.0,47.0,1006.0,335.0,619.0,430.0,3851.0,2493.0,1276.0,15983.0,5802.0,3613.0,1432.0,6411.0
folA_1_56_B_MM14,3543.0,5367.0,11748.0,80.0,43.0,63.0,46.0,15.0,1114.0,417.0,782.0,391.0,2957.0,1974.0,1003.0,13097.0,7544.0,4284.0,1841.0,7274.0
folA_1_56_B_MM2,34.0,45.0,18.0,297.0,327.0,22.0,68.0,9.0,14.0,18.0,8.0,8.0,42.0,128.0,64.0,504.0,109.0,94.0,26.0,360.0
folA_1_56_B_MM3,30.0,12.0,12.0,13.0,205.0,13.0,12.0,17.0,3.0,45.0,4.0,6.0,23.0,96.0,135.0,390.0,99.0,47.0,4.0,188.0
folA_1_56_B_MM6,57.0,72.0,43.0,36.0,42.0,345.0,44.0,20.0,17.0,21.0,10.0,24.0,31.0,481.0,174.0,1010.0,211.0,66.0,51.0,1283.0
folA_1_56_B_MM9,84.0,58.0,46.0,29.0,44.0,60.0,803.0,10.0,22.0,37.0,15.0,11.0,63.0,906.0,476.0,2157.0,414.0,163.0,41.0,1606.0
folA_1_56_C,10.0,23.0,16.0,14.0,11.0,4.0,8.0,129.0,4.0,5.0,2.0,2.0,6.0,72.0,25.0,321.0,83.0,27.0,8.0,125.0
folA_3_242_B_MM3,599.0,1942.0,3897.0,63.0,37.0,54.0,76.0,50.0,7383.0,359.0,583.0,576.0,2874.0,2155.0,1296.0,14085.0,6900.0,4306.0,1501.0,8860.0
folA_3_242_C,285.0,281.0,496.0,71.0,20.0,39.0,38.0,17.0,744.0,2778.0,50.0,70.0,420.0,1605.0,586.0,13718.0,5529.0,1543.0,473.0,5856.0
negC_rand_42,1126.0,1024.0,934.0,31.0,7.0,13.0,12.0,8.0,187.0,99.0,2757.0,100.0,769.0,488.0,228.0,3297.0,1507.0,1172.0,535.0,1565.0
thyA_1_60_B_MM12,403.0,581.0,197.0,12.0,10.0,14.0,18.0,5.0,201.0,79.0,251.0,883.0,671.0,325.0,351.0,813.0,342.0,239.0,62.0,859.0
thyA_1_60_B_MM13,3443.0,4070.0,4245.0,83.0,63.0,92.0,158.0,30.0,1776.0,402.0,1031.0,393.0,12708.0,1780.0,823.0,14742.0,6484.0,5580.0,1828.0,7435.0
thyA_1_60_B_MM2,1861.0,2136.0,1431.0,577.0,627.0,578.0,405.0,318.0,816.0,2020.0,534.0,287.0,1574.0,4939.0,1126.0,7359.0,4616.0,2065.0,625.0,2626.0
thyA_1_60_C,1288.0,1927.0,1109.0,352.0,139.0,491.0,288.0,224.0,622.0,1380.0,168.0,47.0,518.0,1056.0,2917.0,3636.0,1893.0,793.0,247.0,1791.0
thyA_3_233_B_MM4,9137.0,8096.0,8052.0,747.0,421.0,740.0,1378.0,257.0,2867.0,6886.0,882.0,807.0,7203.0,3394.0,1988.0,46031.0,11297.0,6740.0,3405.0,14890.0
thyA_3_233_B_MM5,4398.0,4995.0,5529.0,320.0,121.0,303.0,399.0,130.0,1362.0,4276.0,440.0,230.0,5729.0,2254.0,632.0,16022.0,18524.0,6348.0,2870.0,8145.0
thyA_3_233_B_MM6,3914.0,2592.0,2386.0,264.0,34.0,182.0,87.0,37.0,1107.0,1365.0,726.0,280.0,2805.0,1481.0,1104.0,13367.0,6392.0,12118.0,2125.0,4009.0
thyA_3_233_B_MM7,1629.0,1570.0,958.0,50.0,18.0,42.0,33.0,16.0,1041.0,482.0,235.0,87.0,1491.0,996.0,398.0,4265.0,3318.0,1432.0,4732.0,2512.0
thyA_3_233_C,5484.0,5756.0,6887.0,1271.0,447.0,553.0,1674.0,467.0,3585.0,6811.0,1861.0,329.0,6761.0,2099.0,2964.0,25075.0,13902.0,9433.0,2729.0,27904.0
