,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,42412.0,21656.0,12037.0,333.0,162.0,306.0,182.0,69.0,398.0,353.0,3492.0,2696.0,15057.0,1348.0,126.0,5136.0,3518.0,22541.0,6027.0,491.0
folA_1_56_B_MM11,21940.0,65082.0,22943.0,238.0,183.0,245.0,266.0,89.0,3607.0,814.0,7556.0,3788.0,16189.0,800.0,189.0,2197.0,6236.0,14478.0,13123.0,740.0
folA_1_56_B_MM14,14211.0,30335.0,56352.0,465.0,599.0,165.0,1174.0,155.0,7185.0,545.0,7294.0,3348.0,18576.0,134.0,66.0,3310.0,13351.0,25656.0,10810.0,435.0
folA_1_56_B_MM2,191.0,149.0,65.0,1307.0,141.0,114.0,171.0,224.0,53.0,63.0,46.0,70.0,118.0,30.0,32.0,451.0,138.0,130.0,56.0,242.0
folA_1_56_B_MM3,110.0,160.0,55.0,91.0,271.0,115.0,49.0,68.0,90.0,88.0,27.0,14.0,152.0,36.0,12.0,356.0,110.0,84.0,15.0,128.0
folA_1_56_B_MM6,205.0,605.0,533.0,218.0,125.0,504.0,241.0,170.0,29.0,96.0,83.0,50.0,111.0,97.0,11.0,423.0,244.0,163.0,30.0,268.0
folA_1_56_B_MM9,469.0,169.0,63.0,219.0,81.0,183.0,799.0,90.0,55.0,57.0,57.0,43.0,154.0,71.0,34.0,501.0,234.0,152.0,70.0,370.0
folA_1_56_C,92.0,99.0,34.0,175.0,91.0,101.0,119.0,295.0,103.0,112.0,11.0,70.0,72.0,67.0,1.0,207.0,122.0,79.0,22.0,44.0
folA_3_242_B_MM3,734.0,5475.0,10625.0,191.0,133.0,176.0,85.0,129.0,11025.0,711.0,3666.0,1565.0,11266.0,174.0,63.0,1905.0,2560.0,19925.0,4193.0,2205.0
folA_3_242_C,210.0,764.0,974.0,184.0,73.0,109.0,107.0,125.0,2971.0,1677.0,108.0,210.0,735.0,48.0,34.0,933.0,1402.0,1138.0,619.0,335.0
negC_rand_42,4439.0,5243.0,4271.0,49.0,17.0,43.0,32.0,60.0,1361.0,134.0,22763.0,1018.0,3852.0,38.0,19.0,237.0,520.0,9259.0,1481.0,170.0
thyA_1_60_B_MM12,5199.0,8379.0,3479.0,70.0,57.0,126.0,91.0,311.0,941.0,400.0,657.0,6599.0,4524.0,39.0,8.0,894.0,1613.0,3167.0,325.0,210.0
thyA_1_60_B_MM13,18088.0,22070.0,22496.0,172.0,102.0,132.0,326.0,125.0,6734.0,460.0,7389.0,7377.0,68493.0,199.0,66.0,1661.0,3106.0,19262.0,7392.0,354.0
thyA_1_60_B_MM2,138.0,460.0,77.0,119.0,59.0,44.0,64.0,166.0,60.0,89.0,22.0,33.0,68.0,495.0,68.0,365.0,206.0,173.0,143.0,181.0
thyA_1_60_C,83.0,83.0,44.0,30.0,61.0,39.0,27.0,55.0,21.0,102.0,28.0,36.0,45.0,83.0,225.0,261.0,122.0,66.0,28.0,80.0
thyA_3_233_B_MM4,2774.0,1036.0,1057.0,301.0,272.0,345.0,482.0,285.0,531.0,619.0,275.0,710.0,1556.0,326.0,139.0,6891.0,3558.0,9790.0,9655.0,1176.0
thyA_3_233_B_MM5,6448.0,5920.0,6068.0,209.0,106.0,207.0,251.0,132.0,1513.0,1234.0,471.0,1265.0,1966.0,313.0,32.0,2126.0,11856.0,21824.0,14577.0,522.0
thyA_3_233_B_MM6,18163.0,25024.0,15050.0,149.0,65.0,241.0,161.0,315.0,4895.0,1622.0,4813.0,3975.0,10215.0,110.0,78.0,1554.0,8750.0,61113.0,17724.0,795.0
thyA_3_233_B_MM7,8276.0,5840.0,6155.0,92.0,27.0,74.0,75.0,50.0,5730.0,442.0,1498.0,1762.0,9222.0,44.0,12.0,960.0,2155.0,7881.0,15478.0,267.0
thyA_3_233_C,650.0,419.0,496.0,300.0,174.0,381.0,220.0,99.0,820.0,382.0,398.0,324.0,331.0,106.0,117.0,3441.0,1890.0,6769.0,3111.0,3477.0
