,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,13881.0,3371.0,2042.0,287.0,142.0,291.0,227.0,216.0,315.0,511.0,954.0,675.0,3355.0,2430.0,898.0,10792.0,6274.0,3057.0,1070.0,4466.0
folA_1_56_B_MM11,4416.0,12635.0,3309.0,249.0,142.0,226.0,282.0,139.0,1000.0,621.0,657.0,584.0,2835.0,2039.0,1077.0,8816.0,6546.0,3070.0,1166.0,3338.0
folA_1_56_B_MM14,3269.0,3477.0,10313.0,202.0,113.0,196.0,223.0,221.0,1064.0,598.0,636.0,538.0,2718.0,2072.0,901.0,7932.0,6011.0,2322.0,913.0,3368.0
folA_1_56_B_MM2,202.0,157.0,81.0,1104.0,73.0,134.0,168.0,82.0,38.0,161.0,54.0,57.0,148.0,682.0,292.0,2230.0,1110.0,385.0,149.0,911.0
folA_1_56_B_MM3,110.0,108.0,55.0,117.0,747.0,111.0,96.0,53.0,28.0,51.0,16.0,34.0,119.0,392.0,292.0,1826.0,859.0,224.0,110.0,621.0
folA_1_56_B_MM6,293.0,170.0,131.0,226.0,91.0,1289.0,167.0,160.0,74.0,191.0,36.0,77.0,210.0,871.0,342.0,2828.0,1538.0,483.0,126.0,1088.0
folA_1_56_B_MM9,387.0,161.0,93.0,217.0,105.0,236.0,1797.0,175.0,73.0,197.0,104.0,42.0,201.0,1283.0,601.0,4716.0,2036.0,678.0,260.0,2481.0
folA_1_56_C,96.0,80.0,39.0,73.0,32.0,34.0,68.0,582.0,22.0,44.0,13.0,12.0,66.0,188.0,207.0,805.0,623.0,214.0,55.0,388.0
folA_3_242_B_MM3,661.0,1809.0,1974.0,158.0,146.0,177.0,222.0,112.0,6884.0,774.0,463.0,343.0,1872.0,1636.0,706.0,8257.0,5776.0,2676.0,1016.0,4336.0
folA_3_242_C,351.0,389.0,381.0,258.0,90.0,129.0,134.0,122.0,532.0,3381.0,106.0,235.0,768.0,1450.0,631.0,6895.0,5161.0,1798.0,639.0,2192.0
negC_rand_42,774.0,566.0,468.0,103.0,20.0,51.0,64.0,47.0,384.0,239.0,3769.0,136.0,555.0,302.0,184.0,1370.0,1049.0,755.0,194.0,806.0
thyA_1_60_B_MM12,834.0,720.0,448.0,71.0,54.0,138.0,96.0,38.0,189.0,318.0,192.0,1520.0,422.0,363.0,238.0,1849.0,1015.0,855.0,141.0,737.0
thyA_1_60_B_MM13,3238.0,2647.0,1888.0,203.0,202.0,221.0,189.0,137.0,1059.0,771.0,552.0,814.0,10344.0,1580.0,712.0,8014.0,4772.0,2837.0,1367.0,3139.0
thyA_1_60_B_MM2,1834.0,1885.0,979.0,956.0,741.0,1268.0,1137.0,672.0,622.0,2084.0,265.0,210.0,1487.0,5897.0,934.0,4032.0,3118.0,1573.0,524.0,1522.0
thyA_1_60_C,1063.0,911.0,780.0,685.0,464.0,793.0,670.0,323.0,300.0,1052.0,217.0,206.0,788.0,872.0,2757.0,2368.0,1854.0,961.0,388.0,733.0
thyA_3_233_B_MM4,7400.0,4423.0,3860.0,1961.0,1068.0,2853.0,2780.0,1392.0,1640.0,6353.0,1163.0,1045.0,4702.0,2313.0,1210.0,32425.0,10307.0,4894.0,2156.0,4944.0
thyA_3_233_B_MM5,5070.0,3487.0,2546.0,1141.0,442.0,1187.0,1336.0,716.0,941.0,3516.0,921.0,606.0,3303.0,1914.0,1185.0,8787.0,21278.0,3456.0,1457.0,4318.0
thyA_3_233_B_MM6,2720.0,1698.0,1030.0,395.0,230.0,385.0,438.0,385.0,664.0,1496.0,429.0,476.0,2102.0,1078.0,757.0,5978.0,6035.0,10626.0,770.0,2962.0
thyA_3_233_B_MM7,1636.0,1299.0,778.0,141.0,94.0,145.0,183.0,149.0,554.0,577.0,248.0,328.0,759.0,493.0,294.0,2022.0,2060.0,1366.0,4683.0,1173.0
thyA_3_233_C,4139.0,3599.0,3332.0,1542.0,1304.0,1910.0,2292.0,1168.0,1583.0,5461.0,1042.0,587.0,3794.0,1420.0,942.0,12695.0,8163.0,5453.0,2515.0,22996.0
