,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,93.0,23.0,7.0,4.0,10.0,12.0,6.0,14.0,2.0,13.0,2.0,5.0,16.0,3.0,2.0,21.0,13.0,11.0,5.0,17.0
folA_1_56_B_MM11,23.0,84.0,9.0,10.0,5.0,14.0,14.0,9.0,4.0,6.0,4.0,5.0,8.0,4.0,1.0,25.0,16.0,2.0,0.0,11.0
folA_1_56_B_MM14,8.0,13.0,47.0,4.0,5.0,7.0,8.0,1.0,5.0,3.0,1.0,1.0,10.0,3.0,0.0,18.0,16.0,3.0,1.0,11.0
folA_1_56_B_MM2,8.0,6.0,2.0,58.0,3.0,6.0,3.0,4.0,3.0,3.0,0.0,3.0,2.0,0.0,0.0,17.0,14.0,3.0,1.0,8.0
folA_1_56_B_MM3,8.0,3.0,0.0,6.0,24.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,16.0,4.0,3.0,1.0,6.0
folA_1_56_B_MM6,3.0,8.0,2.0,11.0,4.0,46.0,9.0,6.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,15.0,13.0,3.0,1.0,14.0
folA_1_56_B_MM9,14.0,11.0,2.0,6.0,3.0,5.0,59.0,6.0,4.0,7.0,1.0,1.0,4.0,2.0,2.0,21.0,9.0,6.0,2.0,9.0
folA_1_56_C,5.0,3.0,1.0,4.0,1.0,1.0,3.0,17.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,5.0,4.0,2.0,6.0
folA_3_242_B_MM3,3.0,11.0,4.0,6.0,2.0,8.0,5.0,6.0,46.0,9.0,0.0,2.0,2.0,5.0,4.0,27.0,9.0,10.0,2.0,11.0
folA_3_242_C,6.0,13.0,2.0,4.0,2.0,4.0,9.0,4.0,3.0,32.0,2.0,2.0,9.0,2.0,6.0,26.0,9.0,8.0,2.0,7.0
negC_rand_42,1.0,0.0,0.0,2.0,3.0,0.0,3.0,2.0,0.0,2.0,19.0,1.0,3.0,0.0,2.0,3.0,1.0,3.0,0.0,1.0
thyA_1_60_B_MM12,5.0,3.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,5.0,2.0,22.0,2.0,0.0,0.0,11.0,6.0,6.0,0.0,0.0
thyA_1_60_B_MM13,5.0,7.0,6.0,9.0,6.0,5.0,2.0,2.0,3.0,5.0,2.0,6.0,48.0,2.0,2.0,17.0,8.0,5.0,2.0,10.0
thyA_1_60_B_MM2,5.0,6.0,2.0,12.0,4.0,1.0,4.0,5.0,3.0,3.0,0.0,2.0,5.0,20.0,0.0,9.0,3.0,1.0,3.0,5.0
thyA_1_60_C,3.0,3.0,1.0,1.0,2.0,1.0,2.0,0.0,4.0,5.0,0.0,1.0,1.0,6.0,11.0,7.0,4.0,3.0,0.0,5.0
thyA_3_233_B_MM4,19.0,13.0,14.0,12.0,12.0,16.0,11.0,9.0,10.0,14.0,4.0,6.0,11.0,6.0,5.0,214.0,38.0,20.0,3.0,16.0
thyA_3_233_B_MM5,17.0,15.0,3.0,10.0,6.0,10.0,10.0,7.0,2.0,7.0,2.0,1.0,9.0,11.0,1.0,37.0,107.0,14.0,2.0,9.0
thyA_3_233_B_MM6,3.0,1.0,5.0,4.0,4.0,4.0,1.0,6.0,0.0,6.0,0.0,2.0,5.0,5.0,0.0,31.0,21.0,61.0,4.0,7.0
thyA_3_233_B_MM7,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,6.0,1.0,15.0,1.0
thyA_3_233_C,9.0,8.0,7.0,9.0,7.0,12.0,9.0,6.0,7.0,13.0,2.0,3.0,13.0,6.0,3.0,48.0,24.0,20.0,2.0,95.0
