,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,927.0,441.0,261.0,35.0,18.0,33.0,40.0,23.0,24.0,23.0,84.0,163.0,383.0,23.0,14.0,289.0,272.0,501.0,71.0,67.0
folA_1_56_B_MM11,545.0,2089.0,569.0,29.0,38.0,25.0,31.0,26.0,137.0,35.0,226.0,319.0,891.0,22.0,8.0,229.0,414.0,925.0,272.0,50.0
folA_1_56_B_MM14,326.0,841.0,3541.0,30.0,11.0,21.0,30.0,21.0,237.0,53.0,224.0,260.0,867.0,18.0,2.0,251.0,788.0,948.0,344.0,35.0
folA_1_56_B_MM2,31.0,33.0,6.0,84.0,15.0,21.0,14.0,15.0,9.0,14.0,6.0,6.0,15.0,8.0,1.0,52.0,19.0,16.0,4.0,17.0
folA_1_56_B_MM3,11.0,10.0,6.0,16.0,28.0,15.0,13.0,5.0,5.0,2.0,2.0,1.0,10.0,3.0,3.0,48.0,9.0,5.0,1.0,11.0
folA_1_56_B_MM6,43.0,24.0,14.0,30.0,13.0,32.0,31.0,10.0,4.0,13.0,10.0,7.0,13.0,7.0,1.0,49.0,23.0,26.0,1.0,16.0
folA_1_56_B_MM9,51.0,21.0,6.0,22.0,12.0,34.0,62.0,20.0,7.0,10.0,5.0,13.0,22.0,17.0,7.0,66.0,26.0,23.0,11.0,42.0
folA_1_56_C,10.0,9.0,15.0,9.0,4.0,8.0,11.0,96.0,3.0,7.0,0.0,1.0,5.0,6.0,1.0,25.0,2.0,4.0,2.0,11.0
folA_3_242_B_MM3,61.0,523.0,514.0,32.0,12.0,25.0,17.0,6.0,884.0,72.0,150.0,225.0,594.0,13.0,7.0,210.0,243.0,999.0,251.0,87.0
folA_3_242_C,45.0,50.0,29.0,34.0,10.0,23.0,15.0,6.0,146.0,129.0,5.0,42.0,68.0,7.0,10.0,129.0,88.0,122.0,83.0,22.0
negC_rand_42,87.0,267.0,252.0,9.0,1.0,7.0,11.0,2.0,77.0,18.0,1055.0,77.0,213.0,8.0,8.0,41.0,41.0,330.0,99.0,17.0
thyA_1_60_B_MM12,168.0,389.0,163.0,13.0,7.0,5.0,11.0,8.0,115.0,25.0,107.0,387.0,253.0,13.0,4.0,102.0,149.0,313.0,28.0,22.0
thyA_1_60_B_MM13,302.0,862.0,730.0,26.0,6.0,30.0,28.0,17.0,251.0,34.0,301.0,460.0,2266.0,15.0,11.0,144.0,199.0,586.0,280.0,36.0
thyA_1_60_B_MM2,20.0,22.0,12.0,17.0,12.0,5.0,7.0,22.0,9.0,6.0,1.0,7.0,14.0,51.0,10.0,41.0,19.0,16.0,4.0,16.0
thyA_1_60_C,13.0,7.0,8.0,1.0,5.0,6.0,6.0,1.0,0.0,2.0,1.0,5.0,3.0,7.0,23.0,44.0,10.0,18.0,15.0,7.0
thyA_3_233_B_MM4,141.0,121.0,127.0,36.0,31.0,43.0,41.0,43.0,55.0,71.0,26.0,79.0,226.0,50.0,12.0,822.0,441.0,472.0,240.0,149.0
thyA_3_233_B_MM5,278.0,396.0,240.0,34.0,11.0,15.0,18.0,12.0,92.0,72.0,50.0,154.0,185.0,38.0,3.0,243.0,905.0,930.0,619.0,55.0
thyA_3_233_B_MM6,461.0,818.0,607.0,20.0,3.0,10.0,11.0,17.0,391.0,83.0,212.0,202.0,580.0,13.0,11.0,258.0,584.0,3070.0,695.0,55.0
thyA_3_233_B_MM7,210.0,308.0,141.0,9.0,1.0,4.0,4.0,10.0,252.0,40.0,108.0,138.0,503.0,7.0,1.0,84.0,224.0,608.0,594.0,31.0
thyA_3_233_C,75.0,43.0,58.0,43.0,21.0,33.0,30.0,14.0,36.0,51.0,26.0,27.0,63.0,9.0,24.0,364.0,227.0,455.0,194.0,327.0
