,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,2323.0,1121.0,707.0,98.0,57.0,55.0,79.0,64.0,28.0,61.0,164.0,353.0,758.0,82.0,28.0,751.0,682.0,1133.0,233.0,220.0
folA_1_56_B_MM11,1257.0,3102.0,841.0,55.0,59.0,55.0,48.0,44.0,228.0,66.0,214.0,377.0,884.0,62.0,14.0,545.0,684.0,886.0,367.0,132.0
folA_1_56_B_MM14,872.0,1100.0,3739.0,42.0,35.0,34.0,70.0,42.0,280.0,72.0,252.0,285.0,785.0,49.0,26.0,650.0,1128.0,1023.0,345.0,169.0
folA_1_56_B_MM2,64.0,37.0,36.0,222.0,29.0,31.0,31.0,38.0,7.0,24.0,16.0,19.0,30.0,24.0,6.0,130.0,62.0,43.0,32.0,59.0
folA_1_56_B_MM3,41.0,22.0,18.0,66.0,94.0,35.0,51.0,20.0,7.0,21.0,9.0,12.0,30.0,7.0,5.0,108.0,56.0,24.0,5.0,31.0
folA_1_56_B_MM6,90.0,60.0,39.0,57.0,32.0,108.0,43.0,45.0,9.0,36.0,16.0,14.0,28.0,31.0,6.0,131.0,87.0,72.0,14.0,52.0
folA_1_56_B_MM9,116.0,79.0,47.0,82.0,28.0,65.0,161.0,54.0,19.0,25.0,8.0,26.0,37.0,38.0,16.0,187.0,59.0,65.0,29.0,67.0
folA_1_56_C,29.0,39.0,19.0,45.0,23.0,23.0,18.0,160.0,4.0,19.0,2.0,11.0,12.0,13.0,3.0,50.0,30.0,28.0,14.0,33.0
folA_3_242_B_MM3,114.0,558.0,582.0,38.0,22.0,55.0,25.0,9.0,921.0,86.0,186.0,249.0,530.0,35.0,13.0,432.0,479.0,1058.0,236.0,184.0
folA_3_242_C,77.0,83.0,69.0,76.0,21.0,46.0,23.0,24.0,181.0,231.0,20.0,67.0,105.0,27.0,9.0,368.0,254.0,203.0,87.0,79.0
negC_rand_42,238.0,267.0,250.0,21.0,6.0,8.0,9.0,17.0,69.0,27.0,914.0,80.0,227.0,9.0,10.0,84.0,96.0,312.0,95.0,65.0
thyA_1_60_B_MM12,373.0,460.0,247.0,21.0,13.0,22.0,23.0,9.0,144.0,34.0,128.0,447.0,291.0,18.0,12.0,204.0,189.0,372.0,42.0,87.0
thyA_1_60_B_MM13,840.0,859.0,760.0,46.0,9.0,48.0,56.0,36.0,262.0,67.0,269.0,405.0,2113.0,30.0,16.0,329.0,374.0,587.0,320.0,106.0
thyA_1_60_B_MM2,68.0,67.0,19.0,36.0,29.0,16.0,31.0,57.0,23.0,33.0,9.0,23.0,40.0,105.0,23.0,105.0,56.0,35.0,17.0,43.0
thyA_1_60_C,38.0,23.0,25.0,21.0,14.0,21.0,17.0,14.0,8.0,16.0,11.0,11.0,20.0,30.0,78.0,72.0,46.0,21.0,8.0,25.0
thyA_3_233_B_MM4,441.0,354.0,273.0,169.0,77.0,134.0,147.0,116.0,123.0,195.0,70.0,149.0,285.0,92.0,57.0,1738.0,871.0,907.0,323.0,407.0
thyA_3_233_B_MM5,668.0,775.0,343.0,79.0,48.0,56.0,79.0,42.0,152.0,146.0,91.0,207.0,280.0,60.0,17.0,719.0,1717.0,1053.0,604.0,167.0
thyA_3_233_B_MM6,998.0,808.0,585.0,46.0,18.0,31.0,33.0,49.0,319.0,102.0,157.0,218.0,465.0,28.0,30.0,543.0,868.0,3052.0,642.0,180.0
thyA_3_233_B_MM7,529.0,362.0,218.0,18.0,18.0,25.0,15.0,29.0,207.0,64.0,84.0,140.0,366.0,6.0,11.0,176.0,327.0,427.0,709.0,56.0
thyA_3_233_C,195.0,155.0,155.0,90.0,71.0,67.0,75.0,71.0,100.0,132.0,69.0,109.0,129.0,38.0,41.0,948.0,551.0,824.0,349.0,789.0
