,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,15129.0,5584.0,3587.0,314.0,70.0,294.0,250.0,95.0,162.0,375.0,1776.0,1457.0,6288.0,441.0,79.0,4562.0,2786.0,6985.0,1626.0,737.0
folA_1_56_B_MM11,7161.0,41254.0,13674.0,354.0,159.0,179.0,179.0,74.0,2978.0,637.0,7524.0,4244.0,17287.0,658.0,124.0,2926.0,6262.0,14002.0,10883.0,615.0
folA_1_56_B_MM14,4656.0,18532.0,40103.0,291.0,421.0,68.0,760.0,72.0,7804.0,575.0,4857.0,4052.0,19237.0,136.0,39.0,3823.0,12984.0,23509.0,8600.0,439.0
folA_1_56_B_MM2,193.0,171.0,43.0,1408.0,115.0,124.0,506.0,103.0,30.0,75.0,49.0,32.0,65.0,53.0,26.0,773.0,202.0,103.0,93.0,191.0
folA_1_56_B_MM3,61.0,158.0,27.0,115.0,163.0,49.0,83.0,41.0,102.0,77.0,25.0,4.0,134.0,31.0,40.0,418.0,72.0,31.0,27.0,125.0
folA_1_56_B_MM6,176.0,659.0,182.0,154.0,67.0,400.0,284.0,74.0,29.0,63.0,129.0,28.0,107.0,108.0,9.0,551.0,256.0,146.0,24.0,186.0
folA_1_56_B_MM9,422.0,162.0,99.0,210.0,57.0,243.0,570.0,115.0,59.0,116.0,40.0,11.0,121.0,73.0,16.0,708.0,302.0,240.0,126.0,424.0
folA_1_56_C,30.0,66.0,45.0,108.0,126.0,64.0,84.0,222.0,1.0,52.0,15.0,73.0,56.0,126.0,0.0,220.0,33.0,56.0,14.0,28.0
folA_3_242_B_MM3,618.0,6013.0,9148.0,259.0,98.0,162.0,80.0,87.0,9095.0,914.0,5329.0,1824.0,14230.0,85.0,63.0,2417.0,2678.0,20764.0,3909.0,2825.0
folA_3_242_C,245.0,656.0,841.0,108.0,45.0,62.0,68.0,93.0,3496.0,1488.0,103.0,363.0,855.0,61.0,34.0,780.0,1413.0,1477.0,892.0,283.0
negC_rand_42,1675.0,4811.0,3109.0,32.0,17.0,43.0,6.0,62.0,1229.0,237.0,26569.0,1193.0,4353.0,26.0,78.0,265.0,627.0,9196.0,1563.0,159.0
thyA_1_60_B_MM12,3719.0,10211.0,2454.0,25.0,36.0,81.0,151.0,315.0,1102.0,262.0,728.0,8757.0,4872.0,66.0,5.0,1216.0,2332.0,5037.0,316.0,283.0
thyA_1_60_B_MM13,7221.0,20750.0,19733.0,125.0,78.0,111.0,553.0,169.0,10393.0,396.0,7929.0,8579.0,77183.0,250.0,47.0,2068.0,4007.0,20366.0,5798.0,376.0
thyA_1_60_B_MM2,228.0,490.0,63.0,126.0,52.0,73.0,111.0,161.0,49.0,94.0,88.0,75.0,107.0,445.0,48.0,465.0,139.0,256.0,27.0,149.0
thyA_1_60_C,170.0,106.0,59.0,57.0,31.0,30.0,42.0,25.0,33.0,179.0,21.0,27.0,40.0,42.0,215.0,193.0,124.0,36.0,251.0,91.0
thyA_3_233_B_MM4,2050.0,1371.0,1451.0,655.0,266.0,347.0,678.0,421.0,655.0,749.0,258.0,1311.0,1163.0,258.0,100.0,6155.0,4013.0,9776.0,10842.0,1106.0
thyA_3_233_B_MM5,4589.0,6817.0,6238.0,331.0,167.0,155.0,364.0,104.0,1838.0,1705.0,700.0,2093.0,2859.0,234.0,29.0,2301.0,12041.0,22430.0,12318.0,458.0
thyA_3_233_B_MM6,7743.0,23771.0,14123.0,71.0,50.0,225.0,197.0,430.0,5423.0,2072.0,4695.0,4626.0,13150.0,104.0,41.0,1860.0,9683.0,53439.0,17801.0,738.0
thyA_3_233_B_MM7,2339.0,3089.0,4376.0,22.0,23.0,69.0,119.0,52.0,6204.0,477.0,1357.0,1558.0,13405.0,18.0,15.0,967.0,2036.0,7803.0,11261.0,261.0
thyA_3_233_C,739.0,399.0,418.0,291.0,154.0,524.0,259.0,38.0,869.0,362.0,268.0,495.0,355.0,119.0,101.0,3780.0,2272.0,7205.0,3383.0,3389.0
