,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,531.0,200.0,107.0,5.0,4.0,5.0,5.0,4.0,6.0,12.0,21.0,22.0,142.0,80.0,30.0,449.0,208.0,172.0,42.0,182.0
folA_1_56_B_MM11,209.0,642.0,139.0,10.0,3.0,3.0,5.0,2.0,43.0,10.0,44.0,24.0,147.0,85.0,42.0,545.0,282.0,141.0,52.0,199.0
folA_1_56_B_MM14,149.0,167.0,611.0,5.0,1.0,2.0,3.0,5.0,63.0,20.0,40.0,30.0,149.0,93.0,43.0,496.0,303.0,151.0,66.0,186.0
folA_1_56_B_MM2,5.0,1.0,4.0,22.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,4.0,2.0,10.0,4.0,36.0,16.0,5.0,4.0,26.0
folA_1_56_B_MM3,2.0,6.0,0.0,3.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,40.0,18.0,1.0,1.0,13.0
folA_1_56_B_MM6,5.0,8.0,2.0,2.0,2.0,21.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,21.0,12.0,95.0,29.0,6.0,0.0,30.0
folA_1_56_B_MM9,3.0,3.0,2.0,2.0,5.0,4.0,37.0,1.0,2.0,3.0,0.0,4.0,2.0,32.0,18.0,117.0,31.0,13.0,4.0,70.0
folA_1_56_C,0.0,1.0,2.0,2.0,1.0,0.0,0.0,11.0,3.0,1.0,3.0,0.0,0.0,2.0,2.0,20.0,12.0,4.0,1.0,14.0
folA_3_242_B_MM3,21.0,129.0,118.0,2.0,1.0,0.0,2.0,2.0,290.0,14.0,37.0,10.0,114.0,82.0,35.0,583.0,244.0,176.0,60.0,310.0
folA_3_242_C,4.0,5.0,13.0,2.0,6.0,3.0,4.0,2.0,30.0,130.0,3.0,3.0,14.0,71.0,41.0,450.0,233.0,75.0,32.0,202.0
negC_rand_42,42.0,65.0,48.0,2.0,3.0,1.0,1.0,0.0,18.0,5.0,174.0,6.0,36.0,15.0,13.0,154.0,61.0,59.0,17.0,73.0
thyA_1_60_B_MM12,28.0,36.0,17.0,1.0,1.0,3.0,1.0,0.0,8.0,1.0,3.0,39.0,29.0,14.0,8.0,71.0,37.0,36.0,3.0,35.0
thyA_1_60_B_MM13,136.0,130.0,118.0,4.0,5.0,4.0,8.0,3.0,52.0,15.0,36.0,33.0,471.0,63.0,25.0,516.0,258.0,94.0,61.0,159.0
thyA_1_60_B_MM2,84.0,114.0,62.0,33.0,16.0,39.0,29.0,34.0,39.0,66.0,15.0,11.0,76.0,235.0,54.0,224.0,161.0,71.0,18.0,84.0
thyA_1_60_C,50.0,52.0,51.0,19.0,7.0,19.0,20.0,12.0,12.0,67.0,10.0,6.0,25.0,34.0,129.0,149.0,70.0,43.0,16.0,36.0
thyA_3_233_B_MM4,352.0,310.0,278.0,66.0,34.0,61.0,78.0,34.0,118.0,285.0,75.0,49.0,353.0,155.0,68.0,1932.0,597.0,260.0,104.0,442.0
thyA_3_233_B_MM5,236.0,226.0,184.0,14.0,14.0,14.0,30.0,9.0,63.0,171.0,49.0,27.0,191.0,98.0,40.0,603.0,1079.0,235.0,62.0,233.0
thyA_3_233_B_MM6,139.0,111.0,61.0,5.0,4.0,4.0,8.0,6.0,55.0,57.0,32.0,7.0,122.0,57.0,39.0,390.0,238.0,777.0,61.0,175.0
thyA_3_233_B_MM7,76.0,53.0,46.0,3.0,0.0,4.0,1.0,0.0,41.0,20.0,9.0,10.0,56.0,27.0,18.0,157.0,91.0,60.0,157.0,73.0
thyA_3_233_C,226.0,224.0,198.0,56.0,29.0,54.0,76.0,25.0,168.0,258.0,69.0,26.0,226.0,86.0,98.0,884.0,416.0,256.0,86.0,1099.0
