,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,7411.0,2103.0,1641.0,554.0,384.0,386.0,388.0,278.0,288.0,428.0,476.0,1002.0,1954.0,1661.0,849.0,6636.0,3039.0,2908.0,771.0,3913.0
folA_1_56_B_MM11,3170.0,9788.0,2743.0,617.0,279.0,340.0,215.0,266.0,1180.0,749.0,683.0,1092.0,3180.0,2285.0,1375.0,12603.0,5668.0,2844.0,1059.0,5639.0
folA_1_56_B_MM14,2403.0,3779.0,7936.0,323.0,229.0,356.0,207.0,192.0,1085.0,538.0,708.0,1099.0,2318.0,1718.0,893.0,9950.0,6427.0,3420.0,1399.0,6617.0
folA_1_56_B_MM2,250.0,302.0,139.0,1534.0,181.0,282.0,212.0,185.0,76.0,180.0,85.0,85.0,240.0,548.0,332.0,2764.0,1125.0,531.0,158.0,2008.0
folA_1_56_B_MM3,172.0,98.0,76.0,286.0,889.0,166.0,154.0,100.0,75.0,84.0,18.0,69.0,139.0,396.0,356.0,2067.0,800.0,378.0,59.0,1271.0
folA_1_56_B_MM6,546.0,377.0,244.0,401.0,238.0,1456.0,446.0,148.0,71.0,293.0,56.0,164.0,366.0,1097.0,497.0,3884.0,1330.0,563.0,276.0,3529.0
folA_1_56_B_MM9,438.0,266.0,147.0,500.0,232.0,397.0,1712.0,200.0,149.0,177.0,63.0,127.0,322.0,1120.0,546.0,4429.0,1727.0,843.0,238.0,2707.0
folA_1_56_C,180.0,132.0,98.0,199.0,81.0,86.0,92.0,751.0,62.0,99.0,19.0,59.0,130.0,264.0,176.0,1616.0,637.0,315.0,60.0,1054.0
folA_3_242_B_MM3,887.0,2435.0,3019.0,339.0,200.0,286.0,248.0,161.0,6992.0,861.0,770.0,1391.0,3233.0,1569.0,1566.0,11220.0,6245.0,4019.0,869.0,8693.0
folA_3_242_C,363.0,413.0,624.0,496.0,155.0,298.0,200.0,143.0,1430.0,3410.0,175.0,304.0,642.0,1520.0,646.0,10785.0,5546.0,2319.0,611.0,5091.0
negC_rand_42,807.0,772.0,745.0,91.0,54.0,52.0,89.0,77.0,148.0,143.0,2176.0,275.0,754.0,571.0,163.0,2302.0,1344.0,1235.0,405.0,1554.0
thyA_1_60_B_MM12,975.0,1027.0,679.0,163.0,88.0,168.0,101.0,74.0,436.0,390.0,392.0,2137.0,1814.0,674.0,740.0,2765.0,1356.0,1485.0,267.0,2029.0
thyA_1_60_B_MM13,2528.0,3111.0,2806.0,492.0,279.0,540.0,435.0,244.0,1835.0,807.0,787.0,1349.0,10178.0,1939.0,841.0,11271.0,6224.0,4348.0,1523.0,5789.0
thyA_1_60_B_MM2,1351.0,1901.0,1090.0,1628.0,1062.0,1249.0,607.0,923.0,943.0,1607.0,552.0,543.0,1538.0,4059.0,988.0,4799.0,4078.0,2027.0,521.0,2513.0
thyA_1_60_C,922.0,1789.0,882.0,1118.0,388.0,835.0,376.0,590.0,564.0,1400.0,216.0,159.0,430.0,1128.0,2764.0,2971.0,2102.0,656.0,168.0,1586.0
thyA_3_233_B_MM4,5392.0,6294.0,5834.0,4477.0,2530.0,3524.0,2967.0,2173.0,2434.0,6450.0,876.0,2364.0,6197.0,3837.0,1926.0,36343.0,11002.0,6015.0,2649.0,15038.0
thyA_3_233_B_MM5,3383.0,4650.0,4556.0,2375.0,1231.0,2301.0,1625.0,1322.0,1462.0,5705.0,469.0,945.0,5888.0,2140.0,715.0,14086.0,17225.0,5699.0,2389.0,8344.0
thyA_3_233_B_MM6,2991.0,2115.0,1563.0,1254.0,456.0,1075.0,588.0,701.0,1132.0,2654.0,784.0,719.0,3149.0,1619.0,798.0,10917.0,6284.0,10445.0,1623.0,3591.0
thyA_3_233_B_MM7,1128.0,1307.0,770.0,384.0,191.0,284.0,233.0,245.0,874.0,940.0,194.0,345.0,1366.0,1231.0,535.0,3433.0,2819.0,1015.0,3136.0,2086.0
thyA_3_233_C,3731.0,4562.0,5567.0,4072.0,2451.0,2366.0,2853.0,2445.0,2951.0,5058.0,1778.0,1164.0,5951.0,2433.0,3097.0,20455.0,12633.0,8188.0,2490.0,21893.0
