,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,19771.0,5677.0,4094.0,9141.0,4287.0,6183.0,5775.0,6943.0,1716.0,8603.0,2430.0,1953.0,5443.0,4210.0,1396.0,21135.0,9227.0,4937.0,1129.0,12333.0
folA_1_56_B_MM11,6345.0,17903.0,4494.0,5448.0,5451.0,5473.0,4055.0,7356.0,2663.0,5638.0,1619.0,1957.0,4471.0,3651.0,1258.0,17113.0,10314.0,5050.0,1048.0,6153.0
folA_1_56_B_MM14,5207.0,5705.0,12448.0,6129.0,3756.0,3963.0,4073.0,5297.0,2155.0,3970.0,1258.0,1762.0,4003.0,3028.0,1003.0,15562.0,11315.0,3790.0,987.0,7949.0
folA_1_56_B_MM2,6205.0,3693.0,2207.0,15646.0,3365.0,4158.0,5610.0,3882.0,2058.0,4954.0,1195.0,2488.0,5073.0,1593.0,472.0,12309.0,7996.0,2899.0,1929.0,6230.0
folA_1_56_B_MM3,3651.0,2266.0,1452.0,5535.0,8892.0,3186.0,4310.0,3736.0,1284.0,1592.0,613.0,971.0,3568.0,893.0,668.0,8482.0,5562.0,2011.0,1072.0,2611.0
folA_1_56_B_MM6,7050.0,4247.0,3184.0,8727.0,4025.0,10943.0,4426.0,6229.0,2346.0,4901.0,696.0,2366.0,2790.0,1773.0,616.0,10649.0,8114.0,3736.0,678.0,5407.0
folA_1_56_B_MM9,7888.0,2168.0,1504.0,6801.0,3697.0,6287.0,15092.0,6537.0,2046.0,5408.0,1433.0,1869.0,3178.0,2283.0,1086.0,13510.0,8642.0,3252.0,2119.0,8927.0
folA_1_56_C,4614.0,2031.0,924.0,2843.0,1190.0,1837.0,2797.0,8878.0,1673.0,2364.0,421.0,949.0,1620.0,653.0,461.0,4303.0,3699.0,1260.0,657.0,2703.0
folA_3_242_B_MM3,5789.0,4471.0,3315.0,6347.0,2501.0,4443.0,3905.0,4061.0,14278.0,5992.0,1599.0,1734.0,3825.0,2247.0,767.0,16480.0,9760.0,4685.0,1093.0,10368.0
folA_3_242_C,5791.0,4902.0,2148.0,7320.0,2919.0,5310.0,2529.0,5038.0,2619.0,12973.0,1344.0,2171.0,3926.0,2534.0,539.0,11781.0,7211.0,4326.0,1387.0,3990.0
negC_rand_42,1744.0,852.0,1134.0,2078.0,655.0,1802.0,1432.0,2442.0,812.0,1976.0,8821.0,589.0,1144.0,353.0,516.0,2859.0,1678.0,1745.0,231.0,2962.0
thyA_1_60_B_MM12,2579.0,2408.0,1374.0,2043.0,1442.0,1933.0,1133.0,1583.0,1253.0,2370.0,704.0,3799.0,1191.0,758.0,1090.0,6082.0,4516.0,3045.0,308.0,3739.0
thyA_1_60_B_MM13,4891.0,4791.0,3452.0,4796.0,2649.0,4783.0,3800.0,4119.0,2213.0,3602.0,2084.0,3236.0,11670.0,2208.0,1383.0,12619.0,9206.0,2851.0,1006.0,6163.0
thyA_1_60_B_MM2,2607.0,3887.0,1924.0,2794.0,1953.0,2456.0,1815.0,3352.0,1139.0,3007.0,443.0,475.0,2529.0,7147.0,2109.0,6810.0,5084.0,1427.0,652.0,3529.0
thyA_1_60_C,911.0,1391.0,1297.0,2370.0,2130.0,2040.0,1691.0,1108.0,512.0,1604.0,428.0,688.0,1331.0,1708.0,2578.0,4272.0,3710.0,2029.0,388.0,1085.0
thyA_3_233_B_MM4,16737.0,7416.0,11178.0,10814.0,5876.0,11805.0,10478.0,12193.0,5323.0,13157.0,3569.0,3558.0,9263.0,6453.0,1730.0,42231.0,19840.0,10243.0,4279.0,15102.0
thyA_3_233_B_MM5,8898.0,8212.0,3758.0,8986.0,3907.0,4605.0,7674.0,6041.0,1871.0,6102.0,3469.0,2895.0,4602.0,3134.0,1812.0,18182.0,26018.0,4819.0,2693.0,9417.0
thyA_3_233_B_MM6,5455.0,2789.0,2142.0,4229.0,2107.0,3432.0,4806.0,4858.0,2650.0,3350.0,743.0,1604.0,3271.0,2030.0,1581.0,12945.0,11331.0,13206.0,1232.0,6694.0
thyA_3_233_B_MM7,3606.0,1472.0,886.0,1903.0,1606.0,1354.0,1353.0,2690.0,1191.0,1600.0,736.0,1554.0,2280.0,641.0,602.0,3007.0,2923.0,3466.0,3464.0,2518.0
thyA_3_233_C,7049.0,5860.0,4831.0,9261.0,5869.0,7579.0,6276.0,7949.0,4277.0,11862.0,3054.0,2577.0,7725.0,2598.0,2718.0,26417.0,17661.0,11303.0,3870.0,32732.0
