,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,5923.0,1746.0,1331.0,146.0,109.0,160.0,137.0,82.0,171.0,158.0,367.0,601.0,1171.0,1189.0,493.0,4859.0,2692.0,1867.0,543.0,2712.0
folA_1_56_B_MM11,2330.0,6207.0,1469.0,138.0,80.0,115.0,68.0,69.0,623.0,278.0,440.0,488.0,1498.0,1163.0,662.0,6554.0,2701.0,1425.0,507.0,2482.0
folA_1_56_B_MM14,1909.0,2311.0,4379.0,200.0,44.0,121.0,74.0,57.0,581.0,302.0,393.0,387.0,1034.0,749.0,404.0,5018.0,3065.0,1505.0,629.0,2660.0
folA_1_56_B_MM2,75.0,75.0,34.0,585.0,46.0,60.0,59.0,55.0,32.0,48.0,10.0,22.0,58.0,279.0,150.0,1066.0,434.0,189.0,59.0,671.0
folA_1_56_B_MM3,56.0,42.0,25.0,59.0,324.0,48.0,27.0,26.0,14.0,49.0,12.0,7.0,35.0,201.0,154.0,864.0,275.0,120.0,19.0,467.0
folA_1_56_B_MM6,170.0,96.0,50.0,128.0,84.0,579.0,125.0,39.0,28.0,60.0,16.0,28.0,81.0,541.0,318.0,1896.0,565.0,190.0,60.0,1299.0
folA_1_56_B_MM9,179.0,73.0,56.0,165.0,56.0,103.0,778.0,56.0,45.0,71.0,28.0,27.0,106.0,673.0,318.0,2370.0,722.0,294.0,97.0,1397.0
folA_1_56_C,42.0,30.0,24.0,39.0,26.0,23.0,24.0,282.0,15.0,17.0,6.0,17.0,35.0,161.0,53.0,564.0,278.0,126.0,20.0,323.0
folA_3_242_B_MM3,347.0,1533.0,1360.0,94.0,59.0,104.0,76.0,62.0,3686.0,260.0,388.0,403.0,1302.0,876.0,565.0,4953.0,2862.0,1667.0,506.0,3280.0
folA_3_242_C,165.0,178.0,193.0,136.0,41.0,65.0,88.0,50.0,560.0,1488.0,57.0,131.0,203.0,757.0,281.0,5077.0,2719.0,936.0,293.0,2217.0
negC_rand_42,586.0,497.0,384.0,33.0,23.0,23.0,37.0,27.0,101.0,65.0,1178.0,84.0,266.0,245.0,90.0,1341.0,558.0,470.0,161.0,620.0
thyA_1_60_B_MM12,514.0,417.0,182.0,75.0,19.0,49.0,18.0,14.0,181.0,103.0,163.0,793.0,657.0,229.0,247.0,893.0,393.0,453.0,62.0,555.0
thyA_1_60_B_MM13,2023.0,1538.0,1169.0,203.0,86.0,133.0,94.0,52.0,798.0,267.0,400.0,471.0,4808.0,990.0,317.0,5009.0,2463.0,1663.0,691.0,2207.0
thyA_1_60_B_MM2,1067.0,963.0,531.0,905.0,461.0,646.0,388.0,355.0,388.0,784.0,263.0,271.0,619.0,2049.0,482.0,2354.0,1748.0,875.0,254.0,988.0
thyA_1_60_C,689.0,997.0,332.0,546.0,263.0,550.0,252.0,289.0,263.0,605.0,106.0,49.0,175.0,404.0,1407.0,1464.0,779.0,345.0,97.0,556.0
thyA_3_233_B_MM4,3965.0,3332.0,2500.0,1725.0,1105.0,1504.0,1355.0,863.0,1169.0,2993.0,362.0,686.0,2477.0,1616.0,866.0,18209.0,4590.0,2546.0,1070.0,5790.0
thyA_3_233_B_MM5,2629.0,2469.0,2011.0,956.0,425.0,718.0,654.0,463.0,667.0,2332.0,195.0,257.0,2576.0,936.0,289.0,6380.0,8342.0,2420.0,1193.0,3236.0
thyA_3_233_B_MM6,1984.0,1273.0,667.0,420.0,140.0,331.0,163.0,186.0,518.0,1028.0,384.0,174.0,1211.0,724.0,395.0,4642.0,2420.0,4856.0,766.0,1443.0
thyA_3_233_B_MM7,884.0,754.0,340.0,116.0,47.0,95.0,84.0,62.0,477.0,440.0,87.0,135.0,635.0,484.0,187.0,1636.0,1139.0,397.0,1540.0,743.0
thyA_3_233_C,2742.0,2593.0,2731.0,1672.0,1224.0,1078.0,1601.0,908.0,1441.0,2182.0,1083.0,387.0,2545.0,978.0,1310.0,8581.0,5204.0,3490.0,1053.0,10066.0
