,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,5183.0,1525.0,1177.0,311.0,210.0,265.0,281.0,214.0,186.0,303.0,377.0,723.0,1400.0,997.0,538.0,4499.0,3622.0,2170.0,494.0,1988.0
folA_1_56_B_MM11,2453.0,4992.0,1287.0,354.0,168.0,201.0,165.0,133.0,522.0,466.0,329.0,552.0,1186.0,1088.0,454.0,4636.0,2794.0,1316.0,439.0,1903.0
folA_1_56_B_MM14,1768.0,1684.0,3089.0,193.0,111.0,203.0,117.0,87.0,370.0,301.0,274.0,465.0,853.0,622.0,386.0,3230.0,2833.0,1269.0,582.0,1769.0
folA_1_56_B_MM2,164.0,188.0,108.0,858.0,107.0,206.0,116.0,70.0,45.0,159.0,28.0,76.0,102.0,398.0,249.0,1527.0,987.0,394.0,173.0,770.0
folA_1_56_B_MM3,120.0,83.0,52.0,113.0,536.0,93.0,112.0,56.0,22.0,66.0,15.0,57.0,78.0,282.0,281.0,1408.0,616.0,235.0,37.0,603.0
folA_1_56_B_MM6,431.0,286.0,141.0,212.0,181.0,819.0,278.0,82.0,44.0,210.0,28.0,137.0,238.0,717.0,264.0,2545.0,1209.0,464.0,202.0,1335.0
folA_1_56_B_MM9,427.0,149.0,96.0,371.0,143.0,383.0,1004.0,119.0,98.0,172.0,46.0,113.0,160.0,972.0,432.0,3309.0,1250.0,591.0,181.0,1521.0
folA_1_56_C,96.0,82.0,42.0,115.0,72.0,44.0,51.0,262.0,14.0,54.0,8.0,36.0,61.0,156.0,59.0,733.0,433.0,168.0,42.0,426.0
folA_3_242_B_MM3,521.0,1168.0,970.0,161.0,72.0,145.0,151.0,71.0,2319.0,461.0,296.0,435.0,1027.0,630.0,489.0,3538.0,2420.0,1089.0,274.0,2474.0
folA_3_242_C,244.0,323.0,369.0,262.0,66.0,208.0,138.0,77.0,495.0,1701.0,71.0,173.0,351.0,674.0,224.0,3802.0,2706.0,796.0,234.0,1452.0
negC_rand_42,545.0,463.0,358.0,67.0,31.0,25.0,30.0,27.0,56.0,67.0,815.0,118.0,227.0,193.0,99.0,939.0,558.0,453.0,195.0,315.0
thyA_1_60_B_MM12,566.0,565.0,209.0,128.0,65.0,96.0,104.0,28.0,194.0,248.0,134.0,704.0,710.0,232.0,322.0,962.0,567.0,611.0,107.0,602.0
thyA_1_60_B_MM13,1839.0,1485.0,1008.0,294.0,130.0,283.0,241.0,111.0,858.0,484.0,270.0,557.0,3674.0,791.0,286.0,3686.0,2067.0,1537.0,576.0,1717.0
thyA_1_60_B_MM2,921.0,844.0,424.0,981.0,470.0,786.0,418.0,236.0,288.0,629.0,183.0,228.0,545.0,1517.0,467.0,1921.0,1827.0,939.0,248.0,768.0
thyA_1_60_C,607.0,778.0,308.0,615.0,237.0,577.0,337.0,294.0,179.0,515.0,37.0,106.0,147.0,440.0,933.0,1112.0,774.0,221.0,71.0,398.0
thyA_3_233_B_MM4,3325.0,2407.0,1550.0,2106.0,1051.0,1694.0,1817.0,770.0,603.0,1898.0,192.0,773.0,1697.0,1150.0,631.0,11419.0,4092.0,2224.0,862.0,3712.0
thyA_3_233_B_MM5,2077.0,2042.0,1535.0,1258.0,489.0,1096.0,902.0,492.0,393.0,1896.0,102.0,309.0,1834.0,705.0,179.0,5061.0,6621.0,2061.0,1019.0,2540.0
thyA_3_233_B_MM6,1726.0,777.0,455.0,620.0,227.0,574.0,342.0,263.0,321.0,972.0,250.0,281.0,1037.0,526.0,278.0,3982.0,2256.0,3536.0,677.0,886.0
thyA_3_233_B_MM7,644.0,542.0,220.0,227.0,81.0,117.0,189.0,123.0,277.0,443.0,82.0,163.0,504.0,346.0,134.0,1056.0,1213.0,361.0,1169.0,546.0
thyA_3_233_C,2037.0,1584.0,1749.0,1869.0,1093.0,1035.0,1646.0,820.0,906.0,1582.0,667.0,462.0,1731.0,742.0,961.0,6535.0,4674.0,2804.0,662.0,6993.0
