,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,6917.0,2734.0,1845.0,149.0,84.0,169.0,145.0,162.0,220.0,242.0,515.0,635.0,2628.0,1257.0,593.0,8150.0,3548.0,2200.0,661.0,5571.0
folA_1_56_B_MM11,2569.0,14682.0,5341.0,139.0,125.0,135.0,158.0,92.0,1832.0,529.0,1386.0,947.0,6695.0,2684.0,1552.0,20334.0,14150.0,6765.0,2069.0,11050.0
folA_1_56_B_MM14,1824.0,5569.0,16213.0,100.0,59.0,125.0,177.0,180.0,1991.0,572.0,1829.0,1156.0,6588.0,3307.0,1392.0,22182.0,13870.0,6827.0,2137.0,11910.0
folA_1_56_B_MM2,75.0,96.0,83.0,573.0,55.0,84.0,76.0,35.0,24.0,66.0,36.0,36.0,63.0,258.0,152.0,1585.0,622.0,238.0,62.0,1210.0
folA_1_56_B_MM3,77.0,46.0,43.0,88.0,398.0,55.0,26.0,41.0,19.0,25.0,10.0,13.0,57.0,227.0,110.0,1596.0,426.0,268.0,41.0,849.0
folA_1_56_B_MM6,133.0,90.0,111.0,109.0,41.0,747.0,87.0,70.0,63.0,73.0,18.0,32.0,201.0,486.0,241.0,2632.0,1211.0,424.0,56.0,1844.0
folA_1_56_B_MM9,198.0,215.0,95.0,92.0,61.0,175.0,905.0,103.0,35.0,87.0,33.0,52.0,97.0,756.0,444.0,3733.0,1226.0,389.0,143.0,2668.0
folA_1_56_C,51.0,77.0,30.0,55.0,25.0,27.0,55.0,562.0,15.0,24.0,9.0,12.0,22.0,128.0,167.0,1138.0,586.0,138.0,43.0,795.0
folA_3_242_B_MM3,501.0,4384.0,6228.0,107.0,66.0,137.0,153.0,134.0,13279.0,767.0,1424.0,1083.0,5276.0,3258.0,1640.0,32342.0,18055.0,9439.0,3288.0,18919.0
folA_3_242_C,247.0,553.0,411.0,169.0,58.0,96.0,63.0,98.0,948.0,4683.0,159.0,307.0,795.0,3044.0,1434.0,24445.0,13190.0,3916.0,954.0,11200.0
negC_rand_42,582.0,1353.0,1476.0,72.0,18.0,57.0,84.0,48.0,790.0,193.0,6265.0,349.0,1829.0,621.0,541.0,5196.0,3025.0,1853.0,516.0,3461.0
thyA_1_60_B_MM12,912.0,1306.0,815.0,43.0,22.0,34.0,21.0,30.0,342.0,236.0,283.0,2012.0,1239.0,766.0,419.0,4739.0,2016.0,1363.0,258.0,2227.0
thyA_1_60_B_MM13,2315.0,5085.0,4878.0,170.0,126.0,151.0,199.0,88.0,2305.0,594.0,1425.0,1636.0,16681.0,2325.0,1391.0,22353.0,10516.0,6184.0,2257.0,11438.0
thyA_1_60_B_MM2,1095.0,2360.0,1783.0,756.0,464.0,793.0,738.0,714.0,1161.0,3348.0,556.0,316.0,3178.0,6319.0,1207.0,8728.0,5033.0,2543.0,693.0,3731.0
thyA_1_60_C,578.0,1278.0,1719.0,494.0,284.0,501.0,455.0,432.0,728.0,1780.0,396.0,509.0,1517.0,1429.0,3400.0,5588.0,4027.0,1980.0,452.0,2317.0
thyA_3_233_B_MM4,6426.0,14583.0,15134.0,1692.0,1454.0,2785.0,2672.0,1751.0,7948.0,16815.0,4542.0,2665.0,17132.0,6630.0,3308.0,85565.0,34472.0,15082.0,5659.0,27486.0
thyA_3_233_B_MM5,4495.0,10165.0,11459.0,902.0,459.0,872.0,983.0,690.0,4073.0,9950.0,2923.0,1804.0,12643.0,5759.0,3897.0,34407.0,42392.0,11087.0,3932.0,19648.0
thyA_3_233_B_MM6,2733.0,4637.0,3542.0,267.0,144.0,314.0,244.0,332.0,2106.0,3256.0,1314.0,985.0,5917.0,2745.0,1464.0,20097.0,16982.0,21332.0,2095.0,14433.0
thyA_3_233_B_MM7,1304.0,3137.0,2217.0,74.0,84.0,118.0,119.0,214.0,1700.0,793.0,548.0,439.0,2147.0,987.0,945.0,5294.0,5376.0,3096.0,7005.0,4666.0
thyA_3_233_C,4150.0,9659.0,12379.0,1440.0,1330.0,1943.0,1964.0,1579.0,6791.0,14196.0,3653.0,1960.0,12950.0,4220.0,2955.0,46898.0,23925.0,16040.0,7202.0,53441.0
