,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,5210.0,2088.0,1245.0,174.0,90.0,198.0,125.0,169.0,156.0,191.0,609.0,735.0,2068.0,1156.0,408.0,7671.0,3450.0,2079.0,534.0,5309.0
folA_1_56_B_MM11,2172.0,9036.0,3499.0,142.0,123.0,147.0,178.0,124.0,2158.0,375.0,1028.0,874.0,4818.0,2548.0,1543.0,16441.0,11834.0,4891.0,1339.0,9089.0
folA_1_56_B_MM14,1480.0,3964.0,8566.0,106.0,55.0,91.0,156.0,154.0,1464.0,316.0,1215.0,1090.0,4635.0,3052.0,1210.0,16901.0,10942.0,4597.0,1635.0,9617.0
folA_1_56_B_MM2,134.0,94.0,38.0,619.0,48.0,91.0,93.0,80.0,43.0,84.0,23.0,54.0,77.0,568.0,301.0,2631.0,840.0,275.0,99.0,2283.0
folA_1_56_B_MM3,32.0,48.0,33.0,55.0,394.0,35.0,22.0,56.0,25.0,37.0,8.0,22.0,46.0,319.0,171.0,2671.0,760.0,337.0,110.0,1333.0
folA_1_56_B_MM6,136.0,159.0,570.0,128.0,46.0,638.0,82.0,74.0,48.0,108.0,15.0,34.0,198.0,578.0,266.0,3838.0,1848.0,560.0,149.0,3130.0
folA_1_56_B_MM9,211.0,140.0,123.0,381.0,75.0,150.0,749.0,158.0,34.0,50.0,47.0,40.0,126.0,740.0,466.0,4351.0,1531.0,456.0,198.0,3326.0
folA_1_56_C,81.0,91.0,23.0,84.0,39.0,70.0,36.0,582.0,3.0,44.0,8.0,12.0,30.0,250.0,340.0,2209.0,999.0,327.0,95.0,1264.0
folA_3_242_B_MM3,379.0,3298.0,3898.0,93.0,30.0,97.0,123.0,131.0,7561.0,804.0,1223.0,1002.0,3673.0,3090.0,1399.0,25587.0,14404.0,8493.0,2357.0,15615.0
folA_3_242_C,370.0,421.0,275.0,122.0,46.0,113.0,55.0,164.0,709.0,2779.0,118.0,238.0,666.0,2650.0,1158.0,19653.0,11289.0,3305.0,820.0,8500.0
negC_rand_42,423.0,1197.0,1105.0,50.0,7.0,44.0,30.0,49.0,727.0,180.0,4392.0,356.0,1256.0,544.0,355.0,4320.0,2582.0,1503.0,292.0,3065.0
thyA_1_60_B_MM12,910.0,1339.0,836.0,38.0,19.0,45.0,13.0,34.0,369.0,162.0,255.0,1611.0,1354.0,887.0,452.0,5969.0,2973.0,1560.0,278.0,2420.0
thyA_1_60_B_MM13,1788.0,3930.0,3036.0,500.0,132.0,123.0,165.0,113.0,1533.0,471.0,935.0,1584.0,9494.0,2434.0,1372.0,18137.0,8304.0,4497.0,1726.0,9887.0
thyA_1_60_B_MM2,967.0,2120.0,1341.0,1055.0,555.0,919.0,841.0,1052.0,970.0,3437.0,572.0,402.0,2867.0,4756.0,1313.0,8429.0,4832.0,2424.0,704.0,3377.0
thyA_1_60_C,685.0,1107.0,1348.0,609.0,441.0,655.0,540.0,559.0,706.0,1507.0,431.0,514.0,1414.0,1326.0,2551.0,5259.0,3328.0,1803.0,363.0,1863.0
thyA_3_233_B_MM4,5591.0,11446.0,10653.0,2701.0,1972.0,3721.0,3254.0,3203.0,6606.0,13424.0,3811.0,3148.0,14192.0,5989.0,2905.0,59369.0,27780.0,11058.0,4564.0,21782.0
thyA_3_233_B_MM5,4070.0,7899.0,7664.0,1457.0,681.0,1404.0,1404.0,1276.0,3111.0,8272.0,2327.0,2187.0,9789.0,5197.0,3726.0,27254.0,28598.0,8601.0,2642.0,16304.0
thyA_3_233_B_MM6,2279.0,3356.0,2353.0,314.0,816.0,416.0,402.0,501.0,1578.0,2673.0,866.0,1049.0,4180.0,2770.0,1345.0,15782.0,13804.0,13328.0,1510.0,12147.0
thyA_3_233_B_MM7,1144.0,2258.0,1512.0,104.0,82.0,167.0,95.0,209.0,1280.0,724.0,398.0,431.0,1398.0,1085.0,805.0,4349.0,4201.0,2201.0,3577.0,3795.0
thyA_3_233_C,3984.0,7723.0,9614.0,2089.0,1875.0,2810.0,2359.0,2767.0,5531.0,11483.0,2956.0,2333.0,9842.0,3737.0,2458.0,37162.0,18692.0,12753.0,5460.0,36594.0
