,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,13746.0,3078.0,1995.0,138.0,68.0,207.0,214.0,124.0,166.0,349.0,320.0,434.0,1763.0,1232.0,519.0,10239.0,4698.0,2770.0,903.0,4651.0
folA_1_56_B_MM11,3150.0,12712.0,2265.0,112.0,105.0,151.0,201.0,88.0,484.0,358.0,316.0,369.0,1753.0,1272.0,563.0,9534.0,5702.0,2862.0,961.0,3887.0
folA_1_56_B_MM14,2343.0,2530.0,11988.0,73.0,54.0,130.0,157.0,150.0,544.0,390.0,356.0,347.0,1833.0,1308.0,521.0,8724.0,4920.0,2533.0,1015.0,3587.0
folA_1_56_B_MM2,61.0,104.0,53.0,628.0,25.0,44.0,47.0,25.0,17.0,37.0,18.0,12.0,54.0,213.0,120.0,1149.0,455.0,199.0,81.0,674.0
folA_1_56_B_MM3,67.0,51.0,36.0,32.0,481.0,21.0,33.0,15.0,20.0,25.0,6.0,12.0,58.0,144.0,60.0,1019.0,336.0,138.0,37.0,413.0
folA_1_56_B_MM6,136.0,107.0,75.0,40.0,23.0,923.0,27.0,33.0,34.0,67.0,21.0,23.0,122.0,313.0,114.0,2150.0,794.0,312.0,96.0,995.0
folA_1_56_B_MM9,235.0,193.0,126.0,31.0,31.0,60.0,1347.0,44.0,35.0,88.0,34.0,40.0,122.0,485.0,220.0,3031.0,1099.0,408.0,175.0,1823.0
folA_1_56_C,58.0,63.0,38.0,45.0,13.0,19.0,14.0,545.0,16.0,26.0,7.0,6.0,26.0,102.0,86.0,787.0,397.0,116.0,33.0,447.0
folA_3_242_B_MM3,839.0,1822.0,1847.0,117.0,73.0,104.0,133.0,100.0,6576.0,365.0,220.0,315.0,1252.0,1127.0,505.0,9619.0,4923.0,2869.0,996.0,4647.0
folA_3_242_C,448.0,473.0,426.0,82.0,42.0,105.0,120.0,57.0,275.0,3314.0,88.0,128.0,484.0,998.0,408.0,8544.0,4066.0,1758.0,612.0,2905.0
negC_rand_42,511.0,453.0,450.0,26.0,11.0,106.0,35.0,20.0,151.0,100.0,2182.0,82.0,362.0,215.0,110.0,1814.0,905.0,570.0,177.0,855.0
thyA_1_60_B_MM12,816.0,598.0,471.0,33.0,33.0,37.0,56.0,17.0,141.0,130.0,103.0,1608.0,261.0,253.0,157.0,2856.0,886.0,604.0,199.0,1179.0
thyA_1_60_B_MM13,2145.0,1981.0,1635.0,79.0,92.0,145.0,165.0,89.0,532.0,444.0,247.0,387.0,8961.0,828.0,407.0,8238.0,3721.0,2128.0,871.0,3473.0
thyA_1_60_B_MM2,1466.0,1376.0,1124.0,466.0,352.0,517.0,591.0,348.0,398.0,1236.0,169.0,154.0,1055.0,5799.0,459.0,4470.0,2414.0,1298.0,473.0,1835.0
thyA_1_60_C,788.0,776.0,789.0,277.0,254.0,309.0,357.0,169.0,157.0,610.0,112.0,140.0,503.0,453.0,3004.0,2592.0,1599.0,802.0,214.0,910.0
thyA_3_233_B_MM4,7541.0,6543.0,5190.0,1181.0,850.0,1954.0,2248.0,1147.0,1677.0,4443.0,869.0,911.0,4838.0,2425.0,1106.0,52465.0,10816.0,5632.0,2215.0,6936.0
thyA_3_233_B_MM5,5241.0,4284.0,3255.0,561.0,292.0,636.0,944.0,438.0,830.0,2367.0,525.0,498.0,2849.0,1689.0,984.0,11244.0,25622.0,3779.0,1541.0,5217.0
thyA_3_233_B_MM6,2895.0,2023.0,1407.0,227.0,110.0,241.0,319.0,212.0,463.0,1251.0,259.0,364.0,1524.0,975.0,493.0,7640.0,5489.0,14105.0,853.0,3895.0
thyA_3_233_B_MM7,1363.0,1225.0,721.0,77.0,40.0,108.0,115.0,102.0,401.0,322.0,136.0,204.0,596.0,434.0,251.0,2349.0,1863.0,1030.0,6248.0,1324.0
thyA_3_233_C,5202.0,5093.0,4189.0,884.0,824.0,1410.0,1845.0,893.0,1547.0,3559.0,726.0,720.0,3647.0,1691.0,986.0,16993.0,8873.0,5684.0,2512.0,34466.0
