,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,747.0,132.0,59.0,14.0,9.0,30.0,12.0,34.0,9.0,22.0,19.0,43.0,82.0,32.0,23.0,262.0,131.0,122.0,45.0,100.0
folA_1_56_B_MM11,174.0,872.0,74.0,8.0,35.0,15.0,28.0,16.0,43.0,22.0,37.0,28.0,91.0,34.0,28.0,297.0,190.0,86.0,30.0,141.0
folA_1_56_B_MM14,70.0,105.0,579.0,7.0,3.0,7.0,22.0,29.0,23.0,33.0,17.0,49.0,62.0,50.0,19.0,242.0,153.0,103.0,24.0,118.0
folA_1_56_B_MM2,16.0,6.0,11.0,158.0,4.0,8.0,6.0,9.0,5.0,7.0,2.0,3.0,9.0,14.0,5.0,72.0,28.0,18.0,8.0,47.0
folA_1_56_B_MM3,8.0,12.0,4.0,8.0,101.0,6.0,6.0,5.0,5.0,7.0,0.0,3.0,6.0,10.0,7.0,71.0,22.0,8.0,9.0,26.0
folA_1_56_B_MM6,23.0,12.0,11.0,13.0,6.0,182.0,15.0,6.0,5.0,7.0,0.0,4.0,16.0,19.0,7.0,88.0,41.0,26.0,8.0,66.0
folA_1_56_B_MM9,37.0,21.0,13.0,13.0,5.0,41.0,188.0,8.0,3.0,10.0,2.0,4.0,11.0,18.0,11.0,121.0,52.0,23.0,7.0,66.0
folA_1_56_C,7.0,4.0,3.0,5.0,3.0,5.0,6.0,150.0,5.0,3.0,1.0,4.0,4.0,2.0,6.0,39.0,26.0,12.0,4.0,30.0
folA_3_242_B_MM3,35.0,86.0,65.0,11.0,8.0,18.0,13.0,4.0,559.0,21.0,17.0,37.0,60.0,39.0,17.0,273.0,139.0,90.0,28.0,143.0
folA_3_242_C,26.0,33.0,18.0,10.0,11.0,9.0,9.0,11.0,25.0,396.0,8.0,9.0,27.0,25.0,14.0,240.0,128.0,62.0,14.0,109.0
negC_rand_42,17.0,28.0,30.0,9.0,2.0,4.0,10.0,3.0,7.0,21.0,220.0,6.0,24.0,17.0,6.0,82.0,34.0,42.0,10.0,32.0
thyA_1_60_B_MM12,27.0,34.0,22.0,3.0,4.0,6.0,5.0,7.0,9.0,8.0,12.0,183.0,36.0,10.0,5.0,106.0,41.0,28.0,8.0,32.0
thyA_1_60_B_MM13,80.0,93.0,74.0,25.0,25.0,5.0,27.0,10.0,32.0,44.0,16.0,46.0,606.0,24.0,16.0,199.0,102.0,67.0,37.0,114.0
thyA_1_60_B_MM2,37.0,37.0,24.0,29.0,32.0,22.0,18.0,21.0,17.0,63.0,9.0,8.0,35.0,342.0,9.0,101.0,49.0,49.0,19.0,53.0
thyA_1_60_C,19.0,17.0,19.0,12.0,10.0,12.0,11.0,13.0,10.0,31.0,5.0,10.0,27.0,23.0,168.0,76.0,30.0,21.0,5.0,19.0
thyA_3_233_B_MM4,206.0,166.0,149.0,68.0,109.0,203.0,67.0,102.0,67.0,194.0,75.0,35.0,200.0,66.0,30.0,2213.0,339.0,178.0,74.0,245.0
thyA_3_233_B_MM5,138.0,172.0,108.0,52.0,29.0,28.0,49.0,30.0,32.0,69.0,17.0,48.0,75.0,54.0,32.0,361.0,1198.0,138.0,46.0,165.0
thyA_3_233_B_MM6,108.0,97.0,45.0,22.0,12.0,30.0,22.0,26.0,26.0,97.0,20.0,50.0,55.0,38.0,18.0,233.0,207.0,808.0,45.0,125.0
thyA_3_233_B_MM7,44.0,29.0,18.0,9.0,11.0,6.0,5.0,40.0,17.0,20.0,4.0,8.0,19.0,10.0,4.0,67.0,64.0,60.0,284.0,38.0
thyA_3_233_C,113.0,119.0,135.0,64.0,47.0,68.0,46.0,73.0,77.0,115.0,38.0,18.0,132.0,41.0,36.0,420.0,216.0,151.0,73.0,1437.0
