,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,606.0,88.0,39.0,13.0,9.0,34.0,15.0,10.0,11.0,12.0,18.0,21.0,108.0,24.0,21.0,250.0,110.0,65.0,51.0,49.0
folA_1_56_B_MM11,89.0,514.0,44.0,7.0,7.0,13.0,20.0,9.0,17.0,34.0,14.0,30.0,54.0,87.0,32.0,180.0,142.0,69.0,18.0,117.0
folA_1_56_B_MM14,52.0,45.0,348.0,33.0,25.0,7.0,47.0,5.0,28.0,19.0,12.0,14.0,38.0,21.0,11.0,124.0,87.0,49.0,15.0,46.0
folA_1_56_B_MM2,11.0,10.0,9.0,107.0,5.0,8.0,9.0,1.0,0.0,8.0,2.0,5.0,6.0,6.0,16.0,53.0,23.0,9.0,4.0,25.0
folA_1_56_B_MM3,6.0,7.0,4.0,3.0,85.0,5.0,7.0,3.0,2.0,8.0,2.0,1.0,7.0,10.0,3.0,58.0,17.0,7.0,3.0,21.0
folA_1_56_B_MM6,11.0,13.0,11.0,13.0,5.0,116.0,8.0,6.0,2.0,3.0,0.0,3.0,8.0,13.0,8.0,62.0,41.0,14.0,2.0,40.0
folA_1_56_B_MM9,33.0,11.0,6.0,15.0,5.0,16.0,164.0,9.0,1.0,5.0,6.0,6.0,7.0,16.0,10.0,70.0,40.0,20.0,11.0,59.0
folA_1_56_C,10.0,4.0,4.0,7.0,0.0,2.0,3.0,54.0,1.0,3.0,3.0,0.0,4.0,4.0,2.0,26.0,21.0,16.0,1.0,37.0
folA_3_242_B_MM3,25.0,58.0,28.0,22.0,8.0,11.0,2.0,5.0,317.0,18.0,13.0,11.0,45.0,23.0,11.0,221.0,89.0,52.0,15.0,66.0
folA_3_242_C,17.0,27.0,11.0,5.0,10.0,9.0,7.0,7.0,17.0,191.0,3.0,7.0,19.0,10.0,8.0,142.0,89.0,38.0,21.0,71.0
negC_rand_42,15.0,11.0,9.0,3.0,1.0,7.0,0.0,1.0,5.0,5.0,128.0,9.0,10.0,9.0,3.0,42.0,23.0,26.0,8.0,32.0
thyA_1_60_B_MM12,20.0,34.0,8.0,6.0,2.0,6.0,4.0,22.0,4.0,9.0,3.0,118.0,21.0,6.0,2.0,58.0,42.0,14.0,5.0,18.0
thyA_1_60_B_MM13,56.0,64.0,44.0,8.0,12.0,10.0,21.0,5.0,21.0,19.0,17.0,23.0,370.0,29.0,15.0,203.0,104.0,34.0,15.0,55.0
thyA_1_60_B_MM2,38.0,34.0,22.0,12.0,11.0,11.0,40.0,7.0,18.0,30.0,3.0,8.0,24.0,203.0,10.0,57.0,41.0,31.0,21.0,25.0
thyA_1_60_C,23.0,19.0,12.0,23.0,7.0,10.0,11.0,7.0,6.0,10.0,2.0,6.0,9.0,7.0,110.0,46.0,24.0,13.0,3.0,20.0
thyA_3_233_B_MM4,122.0,126.0,95.0,43.0,145.0,69.0,57.0,30.0,64.0,87.0,78.0,24.0,98.0,57.0,29.0,1409.0,279.0,179.0,46.0,165.0
thyA_3_233_B_MM5,108.0,108.0,59.0,28.0,27.0,34.0,38.0,16.0,45.0,114.0,18.0,35.0,57.0,33.0,17.0,323.0,885.0,155.0,33.0,89.0
thyA_3_233_B_MM6,69.0,60.0,69.0,25.0,12.0,9.0,11.0,33.0,8.0,26.0,11.0,23.0,48.0,24.0,14.0,135.0,131.0,539.0,29.0,77.0
thyA_3_233_B_MM7,27.0,16.0,12.0,3.0,1.0,4.0,4.0,3.0,7.0,5.0,3.0,6.0,20.0,6.0,5.0,57.0,45.0,28.0,161.0,23.0
thyA_3_233_C,64.0,58.0,61.0,85.0,38.0,205.0,52.0,37.0,44.0,57.0,23.0,22.0,66.0,30.0,25.0,482.0,164.0,115.0,26.0,949.0
