,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,29907.0,11963.0,7907.0,1972.0,745.0,1432.0,1808.0,664.0,1031.0,1309.0,3308.0,3542.0,15533.0,1490.0,645.0,18296.0,8739.0,13059.0,2988.0,3229.0
folA_1_56_B_MM11,13711.0,48739.0,11448.0,1369.0,735.0,1702.0,955.0,909.0,4193.0,2353.0,7798.0,8384.0,21102.0,2018.0,315.0,15444.0,15005.0,14305.0,10729.0,2573.0
folA_1_56_B_MM14,9483.0,19203.0,37616.0,1525.0,948.0,963.0,1312.0,872.0,10056.0,2626.0,5023.0,8155.0,21751.0,916.0,336.0,13811.0,19923.0,22861.0,8150.0,2218.0
folA_1_56_B_MM2,1827.0,1436.0,556.0,3547.0,909.0,1095.0,1199.0,707.0,400.0,631.0,411.0,352.0,782.0,242.0,120.0,3910.0,1004.0,893.0,540.0,1514.0
folA_1_56_B_MM3,624.0,832.0,320.0,547.0,1119.0,512.0,799.0,403.0,255.0,548.0,355.0,156.0,662.0,130.0,223.0,3461.0,775.0,571.0,106.0,646.0
folA_1_56_B_MM6,1179.0,1526.0,1139.0,1105.0,803.0,2602.0,1248.0,848.0,285.0,854.0,470.0,158.0,1295.0,1030.0,70.0,3470.0,2025.0,1206.0,327.0,1592.0
folA_1_56_B_MM9,2863.0,1990.0,984.0,1187.0,589.0,1641.0,2696.0,663.0,516.0,807.0,189.0,351.0,1669.0,375.0,241.0,3971.0,1561.0,1333.0,789.0,2569.0
folA_1_56_C,459.0,548.0,362.0,1150.0,718.0,750.0,647.0,1647.0,167.0,748.0,92.0,262.0,548.0,662.0,16.0,1810.0,591.0,648.0,193.0,361.0
folA_3_242_B_MM3,2420.0,13202.0,11294.0,1094.0,649.0,1375.0,492.0,721.0,13326.0,2887.0,6559.0,3166.0,14416.0,704.0,187.0,13688.0,6881.0,19418.0,3224.0,3572.0
folA_3_242_C,1493.0,3142.0,1691.0,1053.0,316.0,845.0,710.0,749.0,6674.0,3871.0,553.0,1669.0,2513.0,427.0,228.0,5128.0,4187.0,3694.0,2080.0,1789.0
negC_rand_42,3629.0,7828.0,3774.0,393.0,161.0,299.0,249.0,322.0,1701.0,1036.0,24380.0,2704.0,5433.0,123.0,269.0,2128.0,2184.0,8479.0,1535.0,1441.0
thyA_1_60_B_MM12,7947.0,21160.0,4417.0,453.0,220.0,653.0,740.0,743.0,1619.0,800.0,1420.0,16560.0,5893.0,519.0,49.0,4968.0,4897.0,8714.0,765.0,1520.0
thyA_1_60_B_MM13,13895.0,25777.0,18616.0,1081.0,485.0,964.0,1448.0,571.0,10553.0,1380.0,7839.0,13551.0,65507.0,680.0,269.0,8554.0,9601.0,15467.0,4379.0,1756.0
thyA_1_60_B_MM2,1563.0,1746.0,445.0,874.0,430.0,590.0,769.0,1149.0,327.0,444.0,147.0,269.0,1082.0,1817.0,342.0,3197.0,1077.0,1154.0,231.0,760.0
thyA_1_60_C,932.0,610.0,313.0,245.0,340.0,326.0,262.0,147.0,201.0,803.0,265.0,205.0,286.0,213.0,788.0,1432.0,740.0,360.0,1243.0,830.0
thyA_3_233_B_MM4,7627.0,8677.0,7513.0,2510.0,2177.0,2509.0,3404.0,2866.0,4459.0,3389.0,2450.0,4743.0,4955.0,2185.0,1161.0,33374.0,16905.0,22916.0,9876.0,8025.0
thyA_3_233_B_MM5,12583.0,15507.0,9912.0,1889.0,935.0,1455.0,1699.0,560.0,4566.0,4516.0,2079.0,4861.0,6612.0,1911.0,223.0,10655.0,31514.0,21553.0,10586.0,2679.0
thyA_3_233_B_MM6,12679.0,29218.0,12552.0,752.0,457.0,963.0,990.0,1147.0,4786.0,4265.0,3759.0,6260.0,12141.0,618.0,336.0,9218.0,19154.0,46542.0,12283.0,3986.0
thyA_3_233_B_MM7,3892.0,4035.0,3893.0,440.0,141.0,663.0,468.0,143.0,5461.0,1251.0,1137.0,2882.0,11534.0,178.0,71.0,6549.0,3785.0,5803.0,10298.0,1648.0
thyA_3_233_C,4355.0,3393.0,2516.0,2124.0,910.0,1402.0,1782.0,462.0,1632.0,2321.0,2239.0,3125.0,2382.0,756.0,835.0,26608.0,9890.0,14465.0,5859.0,13060.0
