,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,19385.0,5573.0,3897.0,4252.0,3242.0,5190.0,4804.0,2677.0,1452.0,3863.0,1570.0,1852.0,4997.0,2187.0,1409.0,10318.0,6047.0,3915.0,1350.0,4618.0
folA_1_56_B_MM11,5865.0,15043.0,3057.0,3649.0,2752.0,4074.0,2939.0,2320.0,1436.0,4177.0,1093.0,1800.0,3969.0,2230.0,1149.0,9647.0,5880.0,2632.0,1058.0,4185.0
folA_1_56_B_MM14,4176.0,3925.0,11751.0,3887.0,2355.0,3145.0,2864.0,2732.0,2405.0,3277.0,1085.0,1584.0,3477.0,1746.0,1141.0,7509.0,4769.0,3149.0,1056.0,3854.0
folA_1_56_B_MM2,3797.0,3214.0,1600.0,9393.0,1788.0,2206.0,2624.0,1289.0,850.0,2022.0,583.0,1197.0,2396.0,1259.0,501.0,4787.0,3522.0,2411.0,863.0,3100.0
folA_1_56_B_MM3,2716.0,2231.0,1535.0,1716.0,6393.0,1609.0,2038.0,932.0,876.0,1634.0,740.0,933.0,1808.0,837.0,697.0,5365.0,2784.0,1810.0,495.0,2383.0
folA_1_56_B_MM6,4444.0,3605.0,2810.0,2783.0,2183.0,10567.0,3151.0,2215.0,1089.0,2453.0,651.0,1131.0,3492.0,2347.0,644.0,7978.0,5397.0,2464.0,732.0,3270.0
folA_1_56_B_MM9,5838.0,3648.0,2714.0,3582.0,2081.0,3745.0,10922.0,1736.0,1501.0,2938.0,978.0,1334.0,3262.0,1673.0,959.0,6433.0,4029.0,2659.0,978.0,4829.0
folA_1_56_C,2222.0,1762.0,800.0,1539.0,852.0,1269.0,1066.0,5029.0,680.0,1330.0,479.0,476.0,1014.0,834.0,115.0,2870.0,2142.0,2033.0,424.0,1428.0
folA_3_242_B_MM3,3635.0,4169.0,2692.0,2973.0,1875.0,3542.0,2338.0,2041.0,7519.0,2984.0,1568.0,1157.0,3457.0,2068.0,967.0,9057.0,4013.0,3036.0,670.0,3373.0
folA_3_242_C,4223.0,3536.0,2663.0,3398.0,1745.0,3485.0,2750.0,2437.0,1507.0,8987.0,1092.0,1967.0,3062.0,1044.0,688.0,6588.0,4359.0,2212.0,1187.0,3363.0
negC_rand_42,1500.0,1227.0,893.0,1301.0,693.0,1224.0,796.0,654.0,620.0,1113.0,5876.0,580.0,1154.0,445.0,439.0,2315.0,1467.0,982.0,271.0,1422.0
thyA_1_60_B_MM12,2747.0,2410.0,1300.0,1437.0,1047.0,1515.0,1547.0,1224.0,629.0,1515.0,396.0,5326.0,1293.0,711.0,270.0,3234.0,1998.0,1263.0,290.0,1922.0
thyA_1_60_B_MM13,4792.0,3319.0,3249.0,2656.0,2233.0,3299.0,2787.0,1995.0,1480.0,3347.0,1195.0,2157.0,11564.0,1436.0,835.0,7444.0,5532.0,2398.0,969.0,2663.0
thyA_1_60_B_MM2,2723.0,1934.0,1687.0,2261.0,1687.0,2432.0,1916.0,1880.0,1095.0,2148.0,548.0,705.0,2157.0,5670.0,830.0,3903.0,2264.0,1662.0,752.0,1935.0
thyA_1_60_C,1406.0,1460.0,1152.0,1320.0,1367.0,1177.0,1155.0,724.0,335.0,1266.0,392.0,643.0,908.0,664.0,2787.0,1993.0,1515.0,791.0,279.0,1283.0
thyA_3_233_B_MM4,7675.0,7112.0,6147.0,5411.0,5280.0,7068.0,6442.0,4814.0,2678.0,5118.0,1750.0,2866.0,5418.0,3481.0,1948.0,28175.0,8187.0,4933.0,1373.0,6971.0
thyA_3_233_B_MM5,5983.0,5257.0,3528.0,4452.0,3435.0,4690.0,4220.0,2790.0,1972.0,4376.0,1063.0,2460.0,3757.0,2441.0,865.0,7335.0,16832.0,3188.0,1280.0,4433.0
thyA_3_233_B_MM6,3300.0,2787.0,1806.0,2317.0,2337.0,2789.0,2371.0,2763.0,707.0,2560.0,686.0,1269.0,2168.0,1473.0,818.0,5054.0,4149.0,10587.0,1114.0,2679.0
thyA_3_233_B_MM7,1571.0,1053.0,785.0,1044.0,813.0,1492.0,1067.0,782.0,580.0,878.0,245.0,786.0,1069.0,560.0,357.0,2779.0,1395.0,768.0,3370.0,1257.0
thyA_3_233_C,6634.0,4770.0,3574.0,6087.0,5116.0,5215.0,4886.0,3537.0,2981.0,4785.0,1744.0,2749.0,3975.0,2754.0,1668.0,13135.0,6613.0,4308.0,1209.0,22955.0
