,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,388.0,53.0,23.0,28.0,17.0,53.0,34.0,11.0,10.0,11.0,13.0,11.0,53.0,21.0,13.0,155.0,71.0,51.0,26.0,38.0
folA_1_56_B_MM11,47.0,331.0,26.0,14.0,14.0,26.0,20.0,12.0,22.0,34.0,6.0,17.0,21.0,46.0,34.0,103.0,93.0,33.0,8.0,63.0
folA_1_56_B_MM14,25.0,41.0,197.0,38.0,36.0,14.0,25.0,13.0,12.0,19.0,6.0,8.0,21.0,13.0,12.0,63.0,47.0,38.0,6.0,36.0
folA_1_56_B_MM2,22.0,26.0,15.0,169.0,17.0,14.0,30.0,16.0,5.0,11.0,4.0,10.0,7.0,7.0,4.0,68.0,27.0,9.0,7.0,19.0
folA_1_56_B_MM3,15.0,19.0,6.0,8.0,136.0,10.0,9.0,11.0,2.0,4.0,0.0,4.0,6.0,2.0,3.0,58.0,18.0,10.0,2.0,13.0
folA_1_56_B_MM6,24.0,20.0,37.0,15.0,20.0,169.0,13.0,11.0,9.0,9.0,3.0,2.0,11.0,8.0,6.0,83.0,82.0,18.0,6.0,41.0
folA_1_56_B_MM9,51.0,26.0,15.0,20.0,9.0,40.0,155.0,15.0,14.0,17.0,4.0,5.0,20.0,8.0,5.0,59.0,40.0,40.0,11.0,44.0
folA_1_56_C,17.0,18.0,14.0,8.0,8.0,5.0,2.0,73.0,2.0,1.0,3.0,2.0,9.0,4.0,0.0,23.0,24.0,13.0,4.0,34.0
folA_3_242_B_MM3,22.0,46.0,27.0,26.0,15.0,14.0,6.0,16.0,159.0,19.0,13.0,8.0,33.0,17.0,7.0,186.0,53.0,32.0,6.0,36.0
folA_3_242_C,24.0,50.0,16.0,17.0,21.0,16.0,20.0,12.0,11.0,147.0,3.0,16.0,24.0,11.0,10.0,99.0,59.0,24.0,6.0,40.0
negC_rand_42,11.0,13.0,7.0,3.0,1.0,5.0,9.0,3.0,8.0,6.0,68.0,4.0,3.0,0.0,3.0,27.0,6.0,21.0,1.0,8.0
thyA_1_60_B_MM12,16.0,13.0,8.0,4.0,5.0,10.0,7.0,27.0,1.0,15.0,2.0,70.0,9.0,2.0,4.0,28.0,16.0,6.0,3.0,14.0
thyA_1_60_B_MM13,39.0,47.0,15.0,11.0,14.0,12.0,26.0,12.0,11.0,24.0,4.0,8.0,179.0,7.0,5.0,104.0,42.0,21.0,5.0,31.0
thyA_1_60_B_MM2,35.0,20.0,7.0,15.0,8.0,15.0,43.0,14.0,14.0,16.0,2.0,4.0,6.0,128.0,2.0,45.0,33.0,23.0,12.0,17.0
thyA_1_60_C,13.0,12.0,8.0,26.0,2.0,9.0,12.0,2.0,2.0,8.0,4.0,2.0,5.0,6.0,63.0,32.0,14.0,10.0,6.0,17.0
thyA_3_233_B_MM4,82.0,89.0,54.0,45.0,101.0,50.0,43.0,30.0,29.0,46.0,33.0,19.0,47.0,29.0,19.0,933.0,172.0,108.0,25.0,99.0
thyA_3_233_B_MM5,69.0,51.0,39.0,28.0,28.0,22.0,32.0,15.0,22.0,59.0,7.0,31.0,34.0,29.0,9.0,173.0,506.0,65.0,10.0,43.0
thyA_3_233_B_MM6,44.0,30.0,28.0,16.0,12.0,15.0,19.0,22.0,8.0,14.0,2.0,26.0,19.0,20.0,10.0,68.0,63.0,274.0,18.0,49.0
thyA_3_233_B_MM7,10.0,14.0,4.0,7.0,2.0,8.0,5.0,2.0,6.0,3.0,2.0,5.0,4.0,0.0,4.0,36.0,19.0,9.0,57.0,11.0
thyA_3_233_C,58.0,43.0,28.0,88.0,32.0,99.0,35.0,25.0,24.0,49.0,18.0,16.0,38.0,25.0,6.0,310.0,105.0,40.0,9.0,501.0
