,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,44426.0,24371.0,16270.0,1555.0,694.0,1261.0,942.0,1174.0,957.0,1129.0,5773.0,4781.0,19585.0,697.0,229.0,6381.0,9411.0,17764.0,7066.0,2065.0
folA_1_56_B_MM11,23592.0,47093.0,18820.0,943.0,933.0,952.0,1297.0,1077.0,5523.0,1550.0,5236.0,4384.0,21508.0,509.0,284.0,5557.0,10873.0,18560.0,5966.0,1908.0
folA_1_56_B_MM14,17694.0,21389.0,41886.0,790.0,537.0,721.0,849.0,1011.0,4548.0,1504.0,5381.0,4590.0,19031.0,587.0,233.0,7664.0,15029.0,16741.0,7171.0,1687.0
folA_1_56_B_MM2,803.0,821.0,345.0,2405.0,434.0,685.0,607.0,479.0,212.0,494.0,185.0,225.0,677.0,215.0,70.0,1421.0,620.0,491.0,237.0,648.0
folA_1_56_B_MM3,506.0,353.0,254.0,672.0,1272.0,566.0,476.0,541.0,109.0,185.0,100.0,147.0,668.0,96.0,94.0,1226.0,530.0,538.0,155.0,368.0
folA_1_56_B_MM6,1030.0,730.0,482.0,1023.0,472.0,1846.0,618.0,745.0,254.0,569.0,142.0,303.0,778.0,234.0,71.0,1415.0,856.0,904.0,177.0,590.0
folA_1_56_B_MM9,1512.0,892.0,397.0,1104.0,538.0,1084.0,2211.0,856.0,133.0,465.0,166.0,260.0,657.0,314.0,175.0,2056.0,1112.0,890.0,435.0,940.0
folA_1_56_C,470.0,449.0,156.0,467.0,168.0,286.0,309.0,2442.0,144.0,218.0,84.0,85.0,242.0,46.0,62.0,626.0,390.0,343.0,96.0,376.0
folA_3_242_B_MM3,2050.0,9231.0,13134.0,569.0,330.0,701.0,454.0,708.0,18227.0,1746.0,3459.0,2978.0,9381.0,345.0,188.0,4453.0,6679.0,17329.0,7408.0,1973.0
folA_3_242_C,1177.0,1595.0,961.0,1160.0,376.0,777.0,426.0,718.0,2110.0,4367.0,522.0,846.0,1902.0,378.0,178.0,3380.0,2937.0,3924.0,1658.0,929.0
negC_rand_42,4891.0,4869.0,5483.0,447.0,149.0,254.0,249.0,307.0,1956.0,694.0,17135.0,1395.0,4982.0,116.0,72.0,869.0,1308.0,5364.0,1350.0,532.0
thyA_1_60_B_MM12,6043.0,5625.0,4097.0,333.0,234.0,310.0,207.0,281.0,1635.0,684.0,1772.0,5684.0,3222.0,210.0,101.0,2540.0,3219.0,4831.0,871.0,626.0
thyA_1_60_B_MM13,17383.0,17442.0,14063.0,980.0,682.0,828.0,971.0,817.0,5536.0,2011.0,4525.0,6129.0,32668.0,380.0,178.0,3677.0,4520.0,11357.0,6280.0,1351.0
thyA_1_60_B_MM2,564.0,572.0,354.0,482.0,223.0,416.0,330.0,474.0,203.0,435.0,144.0,326.0,595.0,1349.0,248.0,1068.0,597.0,364.0,118.0,485.0
thyA_1_60_C,377.0,236.0,304.0,253.0,251.0,272.0,199.0,179.0,80.0,246.0,107.0,192.0,245.0,226.0,632.0,602.0,431.0,278.0,64.0,150.0
thyA_3_233_B_MM4,4761.0,3438.0,2900.0,1423.0,1040.0,1616.0,1400.0,1498.0,1387.0,2354.0,731.0,1272.0,2957.0,723.0,348.0,17924.0,8388.0,8141.0,3195.0,3456.0
thyA_3_233_B_MM5,10789.0,8424.0,6543.0,883.0,684.0,641.0,944.0,739.0,1802.0,2551.0,1264.0,2122.0,3809.0,482.0,296.0,5754.0,18368.0,13394.0,6324.0,2110.0
thyA_3_233_B_MM6,17672.0,11708.0,7565.0,618.0,434.0,465.0,580.0,879.0,4331.0,3329.0,2876.0,3211.0,9528.0,307.0,184.0,5014.0,12396.0,35152.0,4620.0,2126.0
thyA_3_233_B_MM7,10663.0,10328.0,5799.0,295.0,243.0,196.0,257.0,785.0,4178.0,1440.0,2056.0,2157.0,4753.0,125.0,120.0,1270.0,4250.0,6579.0,13510.0,735.0
thyA_3_233_C,1732.0,1855.0,2510.0,1000.0,934.0,919.0,772.0,929.0,816.0,1540.0,678.0,989.0,1673.0,365.0,307.0,6722.0,5790.0,10678.0,5168.0,8664.0
