,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,7746.0,2705.0,1957.0,64.0,69.0,116.0,122.0,117.0,91.0,128.0,379.0,329.0,1865.0,1106.0,514.0,7276.0,2995.0,1982.0,735.0,4504.0
folA_1_56_B_MM11,2938.0,8687.0,2813.0,67.0,100.0,100.0,101.0,96.0,602.0,248.0,536.0,300.0,2739.0,1313.0,757.0,7685.0,4890.0,2901.0,882.0,4365.0
folA_1_56_B_MM14,2144.0,3357.0,8713.0,89.0,63.0,85.0,72.0,118.0,606.0,249.0,670.0,382.0,2503.0,1744.0,632.0,8494.0,4792.0,2535.0,1003.0,4269.0
folA_1_56_B_MM2,75.0,65.0,22.0,323.0,28.0,51.0,80.0,39.0,13.0,43.0,7.0,14.0,38.0,236.0,71.0,639.0,194.0,74.0,36.0,462.0
folA_1_56_B_MM3,23.0,30.0,17.0,43.0,200.0,21.0,42.0,28.0,5.0,13.0,1.0,5.0,40.0,139.0,54.0,598.0,199.0,54.0,18.0,233.0
folA_1_56_B_MM6,65.0,45.0,50.0,60.0,34.0,383.0,27.0,54.0,11.0,50.0,9.0,14.0,77.0,322.0,129.0,1066.0,368.0,167.0,20.0,639.0
folA_1_56_B_MM9,126.0,60.0,72.0,53.0,38.0,92.0,630.0,73.0,16.0,63.0,19.0,14.0,57.0,464.0,328.0,1670.0,438.0,168.0,55.0,1231.0
folA_1_56_C,126.0,58.0,15.0,44.0,16.0,14.0,46.0,289.0,32.0,7.0,2.0,6.0,16.0,88.0,93.0,362.0,205.0,52.0,19.0,281.0
folA_3_242_B_MM3,292.0,1517.0,2089.0,46.0,35.0,51.0,54.0,75.0,4282.0,210.0,322.0,314.0,1333.0,1011.0,509.0,9185.0,5013.0,2777.0,1125.0,5474.0
folA_3_242_C,195.0,191.0,154.0,79.0,40.0,65.0,41.0,58.0,260.0,1795.0,46.0,64.0,225.0,1124.0,519.0,8361.0,3746.0,1371.0,371.0,3415.0
negC_rand_42,488.0,649.0,656.0,34.0,8.0,52.0,29.0,23.0,264.0,65.0,2318.0,79.0,485.0,225.0,190.0,1967.0,907.0,731.0,201.0,1074.0
thyA_1_60_B_MM12,471.0,482.0,247.0,16.0,9.0,17.0,10.0,14.0,108.0,93.0,78.0,715.0,267.0,172.0,114.0,1315.0,444.0,395.0,98.0,636.0
thyA_1_60_B_MM13,2068.0,2393.0,2127.0,97.0,73.0,57.0,96.0,71.0,750.0,201.0,530.0,352.0,6175.0,869.0,568.0,7399.0,3206.0,2203.0,1019.0,3911.0
thyA_1_60_B_MM2,1314.0,1330.0,1047.0,441.0,396.0,536.0,561.0,452.0,556.0,1543.0,249.0,117.0,1148.0,2921.0,536.0,3470.0,1851.0,1028.0,386.0,1527.0
thyA_1_60_C,689.0,668.0,851.0,312.0,260.0,328.0,384.0,215.0,292.0,773.0,186.0,107.0,623.0,517.0,1627.0,2078.0,1327.0,702.0,232.0,768.0
thyA_3_233_B_MM4,6385.0,5830.0,5622.0,691.0,562.0,1261.0,1204.0,907.0,2121.0,5428.0,1398.0,602.0,5047.0,2039.0,952.0,28073.0,9429.0,4587.0,1964.0,6876.0
thyA_3_233_B_MM5,4264.0,3734.0,3679.0,337.0,166.0,329.0,389.0,272.0,944.0,2643.0,864.0,326.0,2833.0,1543.0,991.0,9016.0,13606.0,3119.0,1407.0,5203.0
thyA_3_233_B_MM6,2264.0,1913.0,1396.0,96.0,56.0,119.0,122.0,122.0,583.0,899.0,308.0,424.0,1850.0,883.0,427.0,6142.0,5403.0,8044.0,700.0,3979.0
thyA_3_233_B_MM7,1151.0,1372.0,990.0,61.0,27.0,52.0,35.0,148.0,627.0,236.0,176.0,158.0,795.0,359.0,330.0,1942.0,1603.0,1082.0,3590.0,1386.0
thyA_3_233_C,4164.0,4756.0,4806.0,594.0,648.0,867.0,1281.0,664.0,2151.0,4629.0,1040.0,444.0,3707.0,1433.0,873.0,13969.0,7878.0,5253.0,2696.0,19253.0
