,dapA_1_98_B_MM14,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapA_1_98_W_MM1,dapA_3_214_B_MM14,dapA_3_214_B_MM6,dapA_3_214_B_MM9,dapA_3_214_C,dapA_3_214_W_MM1,dapB_1_18_B_MM11,dapB_1_18_B_MM13,dapB_1_18_B_MM14,dapB_1_18_B_MM5,dapB_1_18_C,dapB_3_239_B_MM14,dapB_3_239_B_MM9,dapB_3_239_C,dapB_3_239_W_MM1,fake_negC_rand_18,fake_negC_rand_28,fake_negC_rand_31,fake_negC_rand_42,fake_negC_rand_43,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,gdhA_1_42_B_MM10,gdhA_1_42_B_MM14,gdhA_1_42_B_MM4,gdhA_1_42_B_MM6,gdhA_1_42_B_MM8,gdhA_1_42_C,gdhA_3_216_B_MM10,gdhA_3_216_B_MM14,gdhA_3_216_B_MM4,gdhA_3_216_B_MM6,gdhA_3_216_B_MM8,gdhA_3_216_C,gltB_1_17_B_MM10,gltB_1_17_B_MM14,gltB_1_17_B_MM4,gltB_1_17_B_MM6,gltB_1_17_B_MM8,gltB_1_17_C,gltB_3_284_B_MM10,gltB_3_284_B_MM14,gltB_3_284_B_MM4,gltB_3_284_B_MM6,gltB_3_284_B_MM8,gltB_3_284_C,glyA_1_26_B_MM11,glyA_1_26_B_MM12,glyA_1_26_B_MM4,glyA_1_26_B_MM8,glyA_1_26_B_MM9,glyA_1_26_C,glyA_3_279_B_MM14,glyA_3_279_B_MM3,glyA_3_279_B_MM6,glyA_3_279_C,negC_rand_42,purL_1_25_B_MM14,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purL_3_201_B_MM11,purL_3_201_B_MM14,purL_3_201_B_MM5,purL_3_201_B_MM9,purL_3_201_C,purL_3_201_W_MM1,purN_1_86_B_MM12,purN_1_86_B_MM2,purN_1_86_B_MM4,purN_1_86_C,purN_3_238_B_MM10,purN_3_238_B_MM11,purN_3_238_B_MM14,purN_3_238_B_MM4,purN_3_238_B_MM5,purN_3_238_C,purN_3_238_W_MM1,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
dapA_1_98_B_MM14,823.0,13.0,103.0,85.0,0.0,0.0,385.0,12.0,6.0,2.0,1.0,6.0,38.0,100.0,4.0,4.0,100.0,1.0,0.0,0.0,212.0,387.0,37.0,121.0,48.0,406.0,552.0,622.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,51.0,0.0,91.0,29.0,47.0,160.0,33.0,99.0,35.0,44.0,4.0,21.0,31.0,20.0,40.0,30.0,14.0,17.0,286.0,104.0,65.0,57.0,84.0,25.0,59.0,38.0,0.0,2.0,5.0,0.0,408.0,7.0,119.0,19.0,146.0,149.0,1.0,6.0,2.0,0.0,51.0,111.0,111.0,30.0,0.0,4.0,177.0,2.0,2.0,0.0,92.0,243.0,257.0,12.0,51.0,2.0,8.0,76.0,138.0,1.0,0.0,3.0,48.0,578.0,321.0,1.0
dapA_1_98_B_MM3,7.0,77.0,34.0,51.0,1.0,1.0,13.0,2.0,1.0,6.0,1.0,6.0,29.0,14.0,8.0,9.0,14.0,2.0,17.0,8.0,2.0,42.0,0.0,3.0,14.0,53.0,18.0,44.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,12.0,6.0,4.0,13.0,1.0,7.0,6.0,4.0,2.0,2.0,1.0,6.0,3.0,1.0,1.0,2.0,13.0,8.0,10.0,5.0,7.0,6.0,6.0,12.0,0.0,0.0,1.0,2.0,41.0,11.0,18.0,13.0,5.0,12.0,0.0,1.0,14.0,0.0,11.0,9.0,9.0,5.0,0.0,0.0,3.0,6.0,0.0,1.0,27.0,36.0,25.0,9.0,27.0,3.0,2.0,11.0,3.0,1.0,0.0,1.0,8.0,35.0,17.0,0.0
dapA_1_98_B_MM7,44.0,19.0,302.0,96.0,0.0,1.0,84.0,5.0,12.0,10.0,2.0,11.0,68.0,43.0,24.0,4.0,75.0,25.0,6.0,5.0,13.0,91.0,3.0,2.0,70.0,200.0,142.0,125.0,12.0,0.0,0.0,0.0,0.0,21.0,0.0,12.0,0.0,25.0,19.0,12.0,28.0,15.0,14.0,10.0,11.0,7.0,14.0,13.0,11.0,11.0,14.0,0.0,5.0,42.0,32.0,27.0,33.0,32.0,22.0,19.0,34.0,10.0,0.0,0.0,2.0,109.0,10.0,53.0,9.0,21.0,25.0,7.0,22.0,19.0,3.0,50.0,26.0,61.0,40.0,0.0,0.0,14.0,0.0,1.0,0.0,62.0,52.0,67.0,34.0,28.0,17.0,26.0,12.0,3.0,0.0,0.0,1.0,17.0,120.0,52.0,1.0
dapA_1_98_B_MM9,151.0,20.0,79.0,432.0,0.0,3.0,318.0,15.0,9.0,5.0,1.0,21.0,46.0,80.0,17.0,2.0,114.0,26.0,11.0,15.0,95.0,312.0,42.0,72.0,45.0,452.0,500.0,692.0,0.0,0.0,17.0,0.0,0.0,71.0,19.0,37.0,0.0,87.0,48.0,118.0,133.0,32.0,79.0,18.0,24.0,2.0,24.0,25.0,2.0,67.0,12.0,5.0,14.0,191.0,125.0,90.0,96.0,56.0,44.0,56.0,25.0,1.0,0.0,5.0,0.0,476.0,12.0,127.0,39.0,72.0,181.0,0.0,7.0,11.0,0.0,49.0,93.0,96.0,14.0,0.0,0.0,43.0,1.0,4.0,1.0,100.0,301.0,190.0,28.0,63.0,4.0,7.0,35.0,23.0,0.0,0.0,3.0,61.0,393.0,374.0,0.0
dapA_1_98_C,1.0,4.0,4.0,3.0,66.0,0.0,4.0,0.0,1.0,0.0,3.0,1.0,5.0,1.0,5.0,13.0,0.0,2.0,10.0,1.0,4.0,5.0,0.0,0.0,0.0,8.0,5.0,14.0,0.0,0.0,1.0,39.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,2.0,0.0,5.0,8.0,2.0,0.0,11.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,8.0,1.0,3.0,10.0,0.0,0.0,5.0,7.0,5.0,9.0,2.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,6.0,1.0,9.0,0.0,4.0,4.0,0.0,0.0,4.0,19.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,5.0,0.0
dapA_1_98_W_MM1,7.0,6.0,6.0,1.0,5.0,32.0,3.0,8.0,12.0,2.0,0.0,26.0,11.0,6.0,12.0,6.0,8.0,1.0,4.0,1.0,6.0,1.0,1.0,2.0,4.0,15.0,38.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,1.0,6.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,10.0,2.0,4.0,4.0,2.0,1.0,3.0,0.0,3.0,12.0,2.0,0.0,1.0,3.0,7.0,1.0,5.0,1.0,1.0,7.0,0.0,9.0,10.0,0.0,5.0,1.0,7.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,3.0,6.0,0.0,3.0,8.0,2.0,6.0,6.0,0.0,0.0,0.0,24.0,4.0,14.0,4.0
dapA_3_214_B_MM14,300.0,13.0,30.0,186.0,11.0,2.0,2335.0,3.0,55.0,1.0,6.0,39.0,79.0,137.0,22.0,5.0,135.0,10.0,3.0,4.0,332.0,655.0,77.0,332.0,109.0,929.0,848.0,1227.0,0.0,0.0,0.0,10.0,0.0,106.0,3.0,67.0,0.0,139.0,113.0,131.0,196.0,122.0,295.0,72.0,62.0,5.0,73.0,61.0,195.0,65.0,32.0,9.0,62.0,266.0,338.0,186.0,121.0,125.0,63.0,106.0,27.0,2.0,1.0,2.0,0.0,560.0,20.0,162.0,8.0,231.0,267.0,7.0,3.0,12.0,0.0,110.0,134.0,114.0,28.0,0.0,0.0,434.0,1.0,2.0,0.0,317.0,433.0,571.0,33.0,105.0,1.0,0.0,92.0,374.0,0.0,0.0,11.0,295.0,1722.0,779.0,1.0
dapA_3_214_B_MM6,8.0,3.0,3.0,3.0,11.0,0.0,7.0,37.0,24.0,16.0,7.0,17.0,18.0,22.0,17.0,15.0,4.0,6.0,3.0,15.0,12.0,19.0,3.0,4.0,13.0,33.0,25.0,32.0,0.0,0.0,0.0,8.0,0.0,9.0,3.0,1.0,0.0,7.0,1.0,8.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,16.0,10.0,11.0,6.0,0.0,12.0,10.0,21.0,2.0,0.0,1.0,1.0,18.0,4.0,8.0,5.0,0.0,3.0,1.0,1.0,4.0,0.0,10.0,15.0,34.0,4.0,0.0,4.0,5.0,0.0,1.0,0.0,38.0,46.0,18.0,17.0,15.0,1.0,6.0,1.0,11.0,0.0,0.0,1.0,6.0,13.0,13.0,2.0
dapA_3_214_B_MM9,9.0,1.0,3.0,8.0,0.0,3.0,24.0,14.0,77.0,4.0,8.0,27.0,18.0,10.0,19.0,11.0,8.0,2.0,11.0,4.0,9.0,18.0,1.0,9.0,11.0,74.0,44.0,42.0,0.0,0.0,0.0,3.0,0.0,9.0,1.0,0.0,4.0,0.0,4.0,4.0,3.0,2.0,12.0,3.0,1.0,2.0,11.0,2.0,1.0,0.0,48.0,0.0,3.0,7.0,5.0,7.0,6.0,7.0,2.0,14.0,15.0,1.0,3.0,9.0,1.0,22.0,3.0,15.0,4.0,6.0,3.0,1.0,5.0,11.0,0.0,9.0,8.0,36.0,18.0,3.0,0.0,7.0,0.0,2.0,0.0,24.0,10.0,24.0,5.0,25.0,0.0,3.0,9.0,4.0,2.0,0.0,0.0,4.0,23.0,10.0,0.0
dapA_3_214_C,4.0,3.0,14.0,16.0,1.0,5.0,10.0,19.0,4.0,22.0,11.0,2.0,9.0,26.0,3.0,5.0,1.0,1.0,2.0,12.0,10.0,24.0,0.0,0.0,2.0,11.0,7.0,14.0,2.0,0.0,1.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,8.0,3.0,4.0,3.0,0.0,3.0,1.0,0.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,5.0,2.0,1.0,8.0,4.0,0.0,2.0,1.0,15.0,3.0,5.0,3.0,13.0,8.0,3.0,7.0,22.0,0.0,0.0,6.0,13.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,33.0,14.0,8.0,5.0,3.0,3.0,0.0,13.0,1.0,1.0,0.0,0.0,13.0,9.0,6.0,0.0
