,dapA_1_98_B_MM14,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapA_1_98_W_MM1,dapA_3_214_B_MM14,dapA_3_214_B_MM6,dapA_3_214_B_MM9,dapA_3_214_C,dapA_3_214_W_MM1,dapB_1_18_B_MM11,dapB_1_18_B_MM13,dapB_1_18_B_MM14,dapB_1_18_B_MM5,dapB_1_18_C,dapB_3_239_B_MM14,dapB_3_239_B_MM9,dapB_3_239_C,dapB_3_239_W_MM1,fake_negC_rand_18,fake_negC_rand_28,fake_negC_rand_31,fake_negC_rand_42,fake_negC_rand_43,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,gdhA_1_42_B_MM10,gdhA_1_42_B_MM14,gdhA_1_42_B_MM4,gdhA_1_42_B_MM6,gdhA_1_42_B_MM8,gdhA_1_42_C,gdhA_3_216_B_MM10,gdhA_3_216_B_MM14,gdhA_3_216_B_MM4,gdhA_3_216_B_MM6,gdhA_3_216_B_MM8,gdhA_3_216_C,gltB_1_17_B_MM10,gltB_1_17_B_MM14,gltB_1_17_B_MM4,gltB_1_17_B_MM6,gltB_1_17_B_MM8,gltB_1_17_C,gltB_3_284_B_MM10,gltB_3_284_B_MM14,gltB_3_284_B_MM4,gltB_3_284_B_MM6,gltB_3_284_B_MM8,gltB_3_284_C,glyA_1_26_B_MM11,glyA_1_26_B_MM12,glyA_1_26_B_MM4,glyA_1_26_B_MM8,glyA_1_26_B_MM9,glyA_1_26_C,glyA_3_279_B_MM14,glyA_3_279_B_MM3,glyA_3_279_B_MM6,glyA_3_279_C,negC_rand_42,purL_1_25_B_MM14,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purL_3_201_B_MM11,purL_3_201_B_MM14,purL_3_201_B_MM5,purL_3_201_B_MM9,purL_3_201_C,purL_3_201_W_MM1,purN_1_86_B_MM12,purN_1_86_B_MM2,purN_1_86_B_MM4,purN_1_86_C,purN_3_238_B_MM10,purN_3_238_B_MM11,purN_3_238_B_MM14,purN_3_238_B_MM4,purN_3_238_B_MM5,purN_3_238_C,purN_3_238_W_MM1,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
glyA_3_279_B_MM14,216.0,57.0,77.0,135.0,7.0,15.0,286.0,26.0,18.0,65.0,5.0,9.0,66.0,90.0,35.0,5.0,123.0,4.0,3.0,2.0,152.0,370.0,65.0,104.0,118.0,479.0,545.0,520.0,4.0,1.0,1.0,46.0,0.0,138.0,3.0,58.0,0.0,79.0,35.0,38.0,103.0,41.0,86.0,54.0,28.0,1.0,38.0,12.0,77.0,19.0,10.0,1.0,52.0,264.0,242.0,125.0,60.0,56.0,73.0,35.0,23.0,18.0,0.0,1.0,1.0,939.0,3.0,113.0,2.0,87.0,90.0,2.0,5.0,15.0,0.0,117.0,71.0,172.0,25.0,2.0,19.0,141.0,0.0,0.0,0.0,63.0,174.0,352.0,17.0,71.0,40.0,5.0,125.0,224.0,21.0,1.0,12.0,159.0,788.0,384.0,5.0
glyA_3_279_B_MM3,1.0,11.0,25.0,6.0,4.0,7.0,66.0,10.0,11.0,15.0,2.0,3.0,5.0,11.0,18.0,2.0,20.0,1.0,25.0,1.0,39.0,11.0,0.0,8.0,1.0,101.0,41.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,18.0,0.0,1.0,0.0,1.0,20.0,14.0,35.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,2.0,32.0,14.0,5.0,14.0,5.0,8.0,1.0,1.0,4.0,0.0,0.0,0.0,15.0,55.0,46.0,20.0,3.0,16.0,0.0,0.0,6.0,0.0,14.0,8.0,8.0,2.0,16.0,1.0,3.0,0.0,0.0,1.0,3.0,43.0,10.0,9.0,31.0,4.0,9.0,29.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0
glyA_3_279_B_MM6,94.0,58.0,93.0,124.0,1.0,2.0,185.0,15.0,58.0,48.0,11.0,64.0,35.0,58.0,24.0,2.0,69.0,30.0,5.0,17.0,69.0,67.0,14.0,29.0,16.0,228.0,189.0,267.0,0.0,0.0,0.0,0.0,1.0,67.0,7.0,33.0,1.0,15.0,22.0,52.0,50.0,7.0,11.0,31.0,41.0,1.0,10.0,43.0,43.0,15.0,13.0,4.0,27.0,54.0,42.0,69.0,79.0,42.0,23.0,5.0,18.0,6.0,0.0,1.0,0.0,101.0,13.0,286.0,7.0,38.0,34.0,0.0,30.0,5.0,0.0,12.0,40.0,44.0,9.0,1.0,1.0,111.0,0.0,0.0,0.0,51.0,150.0,163.0,12.0,80.0,4.0,12.0,84.0,46.0,0.0,0.0,0.0,47.0,127.0,115.0,0.0
glyA_3_279_C,30.0,6.0,3.0,3.0,1.0,0.0,3.0,11.0,18.0,4.0,1.0,5.0,5.0,10.0,6.0,7.0,3.0,28.0,2.0,1.0,3.0,19.0,0.0,3.0,29.0,32.0,34.0,15.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,4.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,1.0,7.0,11.0,9.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,44.0,2.0,4.0,4.0,0.0,0.0,11.0,2.0,4.0,9.0,0.0,1.0,1.0,12.0,18.0,0.0
negC_rand_42,27.0,2.0,42.0,111.0,0.0,1.0,148.0,8.0,5.0,0.0,0.0,17.0,20.0,25.0,3.0,9.0,11.0,1.0,2.0,0.0,41.0,67.0,7.0,11.0,32.0,191.0,189.0,151.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2.0,0.0,29.0,4.0,13.0,18.0,20.0,50.0,9.0,5.0,3.0,4.0,18.0,2.0,7.0,3.0,7.0,29.0,53.0,15.0,31.0,10.0,17.0,19.0,107.0,28.0,1.0,0.0,2.0,0.0,168.0,0.0,144.0,0.0,1088.0,47.0,0.0,0.0,3.0,0.0,5.0,11.0,38.0,8.0,0.0,0.0,98.0,1.0,0.0,0.0,51.0,62.0,50.0,6.0,5.0,1.0,1.0,15.0,54.0,0.0,0.0,0.0,3.0,240.0,106.0,0.0
purL_1_25_B_MM14,91.0,8.0,23.0,40.0,2.0,35.0,152.0,19.0,22.0,4.0,4.0,6.0,96.0,48.0,61.0,3.0,86.0,1.0,3.0,2.0,92.0,154.0,5.0,65.0,38.0,186.0,122.0,164.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,13.0,0.0,46.0,34.0,50.0,30.0,134.0,48.0,53.0,35.0,14.0,11.0,8.0,8.0,49.0,2.0,2.0,42.0,66.0,28.0,21.0,51.0,7.0,4.0,20.0,38.0,0.0,8.0,0.0,0.0,238.0,1.0,67.0,12.0,34.0,131.0,0.0,4.0,4.0,0.0,7.0,29.0,33.0,3.0,0.0,0.0,28.0,0.0,1.0,0.0,31.0,104.0,181.0,10.0,41.0,2.0,0.0,49.0,139.0,0.0,0.0,12.0,170.0,201.0,94.0,1.0
purL_1_25_B_MM3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
purL_1_25_B_MM8,0.0,2.0,0.0,7.0,41.0,11.0,1.0,9.0,15.0,24.0,1.0,8.0,3.0,9.0,3.0,31.0,0.0,43.0,4.0,11.0,1.0,18.0,3.0,1.0,3.0,12.0,34.0,78.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0,17.0,1.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,1.0,0.0,21.0,1.0,14.0,3.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,38.0,0.0,3.0,2.0,1.0,17.0,2.0,3.0,2.0,5.0,2.0,0.0,1.0,3.0,9.0,2.0,1.0
purL_1_25_B_MM9,1.0,11.0,7.0,8.0,3.0,3.0,8.0,21.0,41.0,10.0,14.0,9.0,6.0,4.0,5.0,36.0,9.0,26.0,6.0,48.0,3.0,14.0,7.0,2.0,7.0,36.0,26.0,25.0,0.0,1.0,0.0,1.0,0.0,10.0,2.0,7.0,0.0,12.0,5.0,16.0,4.0,7.0,47.0,4.0,1.0,3.0,6.0,18.0,1.0,6.0,8.0,0.0,2.0,1.0,1.0,9.0,3.0,4.0,4.0,40.0,15.0,9.0,1.0,5.0,0.0,19.0,2.0,13.0,9.0,22.0,5.0,0.0,6.0,69.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,19.0,0.0,62.0,4.0,12.0,2.0,2.0,1.0,35.0,0.0,0.0,14.0,56.0,49.0,29.0,1.0
purL_1_25_C,0.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,2.0,16.0,4.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
