,dapA_1_98_B_MM14,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapA_1_98_W_MM1,dapA_3_214_B_MM14,dapA_3_214_B_MM6,dapA_3_214_B_MM9,dapA_3_214_C,dapA_3_214_W_MM1,dapB_1_18_B_MM11,dapB_1_18_B_MM13,dapB_1_18_B_MM14,dapB_1_18_B_MM5,dapB_1_18_C,dapB_3_239_B_MM14,dapB_3_239_B_MM9,dapB_3_239_C,dapB_3_239_W_MM1,fake_negC_rand_18,fake_negC_rand_28,fake_negC_rand_31,fake_negC_rand_42,fake_negC_rand_43,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,gdhA_1_42_B_MM10,gdhA_1_42_B_MM14,gdhA_1_42_B_MM4,gdhA_1_42_B_MM6,gdhA_1_42_B_MM8,gdhA_1_42_C,gdhA_3_216_B_MM10,gdhA_3_216_B_MM14,gdhA_3_216_B_MM4,gdhA_3_216_B_MM6,gdhA_3_216_B_MM8,gdhA_3_216_C,gltB_1_17_B_MM10,gltB_1_17_B_MM14,gltB_1_17_B_MM4,gltB_1_17_B_MM6,gltB_1_17_B_MM8,gltB_1_17_C,gltB_3_284_B_MM10,gltB_3_284_B_MM14,gltB_3_284_B_MM4,gltB_3_284_B_MM6,gltB_3_284_B_MM8,gltB_3_284_C,glyA_1_26_B_MM11,glyA_1_26_B_MM12,glyA_1_26_B_MM4,glyA_1_26_B_MM8,glyA_1_26_B_MM9,glyA_1_26_C,glyA_3_279_B_MM14,glyA_3_279_B_MM3,glyA_3_279_B_MM6,glyA_3_279_C,negC_rand_42,purL_1_25_B_MM14,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purL_3_201_B_MM11,purL_3_201_B_MM14,purL_3_201_B_MM5,purL_3_201_B_MM9,purL_3_201_C,purL_3_201_W_MM1,purN_1_86_B_MM12,purN_1_86_B_MM2,purN_1_86_B_MM4,purN_1_86_C,purN_3_238_B_MM10,purN_3_238_B_MM11,purN_3_238_B_MM14,purN_3_238_B_MM4,purN_3_238_B_MM5,purN_3_238_C,purN_3_238_W_MM1,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
gltB_3_284_B_MM6,1126.0,150.0,1091.0,1138.0,25.0,680.0,3300.0,101.0,584.0,865.0,218.0,480.0,1595.0,2449.0,392.0,524.0,1189.0,155.0,29.0,250.0,2305.0,2035.0,693.0,936.0,1063.0,4060.0,4296.0,5253.0,0.0,0.0,0.0,7.0,90.0,1489.0,9.0,216.0,0.0,4.0,254.0,27.0,78.0,5.0,1074.0,0.0,21.0,50.0,57.0,268.0,561.0,255.0,242.0,275.0,955.0,3019.0,1065.0,1842.0,3137.0,1242.0,660.0,235.0,41.0,163.0,0.0,35.0,42.0,3127.0,113.0,1773.0,111.0,401.0,672.0,0.0,214.0,304.0,0.0,225.0,612.0,361.0,164.0,0.0,0.0,1945.0,0.0,221.0,27.0,588.0,2018.0,1960.0,618.0,466.0,157.0,151.0,1025.0,2470.0,7.0,0.0,370.0,1441.0,6018.0,3632.0,4.0
gltB_3_284_B_MM8,2118.0,396.0,1356.0,857.0,0.0,111.0,4170.0,504.0,384.0,370.0,117.0,861.0,1426.0,2706.0,354.0,451.0,748.0,83.0,151.0,276.0,2145.0,2609.0,112.0,410.0,1236.0,3420.0,3050.0,4353.0,0.0,0.0,0.0,2.0,0.0,207.0,120.0,340.0,0.0,50.0,2.0,167.0,1.0,250.0,781.0,35.0,0.0,11.0,3.0,710.0,137.0,869.0,170.0,119.0,217.0,2800.0,1370.0,2744.0,1846.0,3393.0,218.0,1055.0,430.0,130.0,0.0,0.0,69.0,2365.0,129.0,550.0,74.0,124.0,397.0,0.0,63.0,141.0,0.0,408.0,526.0,37.0,1.0,0.0,167.0,1175.0,106.0,4.0,42.0,841.0,1387.0,2598.0,566.0,241.0,215.0,48.0,264.0,2001.0,21.0,0.0,231.0,689.0,3506.0,3443.0,0.0
gltB_3_284_C,462.0,78.0,416.0,415.0,47.0,30.0,1252.0,446.0,341.0,196.0,197.0,540.0,950.0,1252.0,413.0,126.0,427.0,175.0,59.0,32.0,344.0,1225.0,134.0,138.0,626.0,1868.0,1454.0,1539.0,0.0,0.0,0.0,1.0,0.0,103.0,44.0,168.0,0.0,0.0,1.0,2.0,0.0,1.0,373.0,26.0,36.0,23.0,2.0,371.0,323.0,858.0,46.0,1.0,300.0,1246.0,376.0,968.0,929.0,675.0,1161.0,677.0,392.0,0.0,0.0,0.0,0.0,801.0,0.0,756.0,71.0,470.0,942.0,0.0,36.0,146.0,0.0,128.0,394.0,352.0,121.0,0.0,0.0,103.0,30.0,69.0,0.0,216.0,652.0,837.0,250.0,120.0,45.0,103.0,381.0,1077.0,0.0,0.0,12.0,136.0,3479.0,1745.0,0.0
glyA_1_26_B_MM11,424.0,359.0,709.0,627.0,2.0,64.0,1502.0,338.0,387.0,35.0,344.0,251.0,246.0,388.0,82.0,104.0,458.0,0.0,0.0,209.0,391.0,1111.0,138.0,907.0,383.0,2425.0,2475.0,4182.0,0.0,0.0,0.0,0.0,0.0,490.0,23.0,247.0,0.0,76.0,159.0,438.0,510.0,44.0,379.0,62.0,108.0,0.0,106.0,76.0,17.0,113.0,149.0,96.0,149.0,958.0,472.0,112.0,248.0,526.0,45.0,1213.0,243.0,31.0,0.0,0.0,0.0,2489.0,76.0,102.0,1.0,265.0,152.0,0.0,79.0,200.0,0.0,133.0,179.0,585.0,181.0,0.0,1.0,333.0,0.0,54.0,46.0,880.0,1289.0,528.0,74.0,353.0,200.0,17.0,1220.0,1202.0,0.0,1.0,98.0,683.0,2730.0,1348.0,153.0
glyA_1_26_B_MM12,895.0,288.0,685.0,966.0,96.0,227.0,1967.0,563.0,185.0,249.0,362.0,196.0,267.0,289.0,529.0,240.0,94.0,52.0,97.0,40.0,497.0,437.0,203.0,275.0,164.0,2477.0,2774.0,2044.0,0.0,33.0,0.0,15.0,0.0,69.0,44.0,9.0,56.0,113.0,3.0,109.0,99.0,184.0,168.0,179.0,23.0,0.0,150.0,156.0,8.0,194.0,16.0,58.0,498.0,747.0,89.0,276.0,168.0,252.0,3.0,226.0,763.0,46.0,118.0,1.0,0.0,1163.0,1.0,347.0,0.0,57.0,478.0,181.0,0.0,333.0,0.0,1.0,686.0,501.0,43.0,0.0,0.0,5282.0,212.0,55.0,59.0,491.0,734.0,547.0,237.0,758.0,468.0,1.0,3179.0,302.0,0.0,0.0,139.0,574.0,1867.0,1943.0,51.0
glyA_1_26_B_MM4,65.0,3.0,12.0,34.0,40.0,47.0,270.0,59.0,87.0,170.0,425.0,96.0,0.0,0.0,0.0,50.0,15.0,144.0,0.0,0.0,0.0,29.0,0.0,0.0,46.0,305.0,106.0,28.0,68.0,0.0,1.0,0.0,0.0,0.0,186.0,29.0,0.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,94.0,1.0,0.0,0.0,150.0,94.0,65.0,0.0,1.0,0.0,175.0,0.0,36.0,0.0,1.0,0.0,0.0,0.0,33.0,0.0,88.0,18.0,10.0,19.0,16.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,259.0,150.0,23.0,113.0,16.0,18.0,0.0,1.0,0.0,0.0,0.0,155.0,0.0,12.0
glyA_1_26_B_MM8,30.0,0.0,4.0,0.0,0.0,0.0,30.0,213.0,30.0,70.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,156.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,50.0,0.0,47.0,176.0,0.0,0.0,0.0,26.0,0.0,149.0,6.0,42.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,3.0,1.0,0.0
glyA_1_26_B_MM9,0.0,42.0,0.0,0.0,0.0,322.0,6.0,15.0,0.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,1.0,0.0,0.0,0.0,119.0,65.0,4.0,1.0,0.0,0.0,0.0,40.0,0.0,43.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,31.0,0.0,0.0,80.0,0.0,20.0,0.0,22.0,16.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,85.0,0.0,1.0,0.0,35.0,39.0,76.0,0.0,101.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
glyA_1_26_C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,50.0,2.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0
glyA_3_279_B_MM14,3844.0,164.0,1313.0,2715.0,138.0,516.0,8423.0,909.0,1177.0,281.0,546.0,385.0,1829.0,2110.0,1004.0,68.0,3523.0,75.0,95.0,432.0,2638.0,9801.0,2040.0,2719.0,1710.0,13914.0,10771.0,12182.0,106.0,23.0,8.0,381.0,0.0,2632.0,347.0,1144.0,0.0,2178.0,1088.0,784.0,2672.0,978.0,2054.0,767.0,793.0,164.0,1127.0,547.0,1502.0,1935.0,610.0,54.0,586.0,2828.0,3015.0,2331.0,2369.0,1583.0,763.0,782.0,690.0,311.0,3.0,2.0,0.0,10088.0,262.0,2739.0,328.0,1385.0,2292.0,0.0,34.0,557.0,0.0,2214.0,2674.0,1916.0,998.0,0.0,64.0,3155.0,22.0,5.0,39.0,1530.0,4567.0,6440.0,517.0,822.0,408.0,78.0,4057.0,3182.0,75.0,92.0,727.0,2330.0,14562.0,9638.0,123.0
