,dapA_1_98_B_MM14,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapA_1_98_W_MM1,dapA_3_214_B_MM14,dapA_3_214_B_MM6,dapA_3_214_B_MM9,dapA_3_214_C,dapA_3_214_W_MM1,dapB_1_18_B_MM11,dapB_1_18_B_MM13,dapB_1_18_B_MM14,dapB_1_18_B_MM5,dapB_1_18_C,dapB_3_239_B_MM14,dapB_3_239_B_MM9,dapB_3_239_C,dapB_3_239_W_MM1,fake_negC_rand_18,fake_negC_rand_28,fake_negC_rand_31,fake_negC_rand_42,fake_negC_rand_43,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,gdhA_1_42_B_MM10,gdhA_1_42_B_MM14,gdhA_1_42_B_MM4,gdhA_1_42_B_MM6,gdhA_1_42_B_MM8,gdhA_1_42_C,gdhA_3_216_B_MM10,gdhA_3_216_B_MM14,gdhA_3_216_B_MM4,gdhA_3_216_B_MM6,gdhA_3_216_B_MM8,gdhA_3_216_C,gltB_1_17_B_MM10,gltB_1_17_B_MM14,gltB_1_17_B_MM4,gltB_1_17_B_MM6,gltB_1_17_B_MM8,gltB_1_17_C,gltB_3_284_B_MM10,gltB_3_284_B_MM14,gltB_3_284_B_MM4,gltB_3_284_B_MM6,gltB_3_284_B_MM8,gltB_3_284_C,glyA_1_26_B_MM11,glyA_1_26_B_MM12,glyA_1_26_B_MM4,glyA_1_26_B_MM8,glyA_1_26_B_MM9,glyA_1_26_C,glyA_3_279_B_MM14,glyA_3_279_B_MM3,glyA_3_279_B_MM6,glyA_3_279_C,negC_rand_42,purL_1_25_B_MM14,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purL_3_201_B_MM11,purL_3_201_B_MM14,purL_3_201_B_MM5,purL_3_201_B_MM9,purL_3_201_C,purL_3_201_W_MM1,purN_1_86_B_MM12,purN_1_86_B_MM2,purN_1_86_B_MM4,purN_1_86_C,purN_3_238_B_MM10,purN_3_238_B_MM11,purN_3_238_B_MM14,purN_3_238_B_MM4,purN_3_238_B_MM5,purN_3_238_C,purN_3_238_W_MM1,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
purN_3_238_B_MM5,1598.0,389.0,1126.0,1033.0,158.0,159.0,4398.0,269.0,367.0,457.0,198.0,588.0,1355.0,659.0,241.0,127.0,843.0,140.0,123.0,82.0,1406.0,2706.0,663.0,917.0,805.0,5886.0,5615.0,7658.0,17.0,18.0,0.0,21.0,24.0,635.0,3.0,192.0,152.0,556.0,303.0,312.0,322.0,242.0,635.0,81.0,146.0,104.0,156.0,236.0,329.0,248.0,476.0,207.0,271.0,1635.0,994.0,648.0,536.0,1081.0,455.0,978.0,621.0,39.0,52.0,43.0,0.0,3324.0,249.0,1543.0,231.0,1076.0,1329.0,13.0,93.0,173.0,0.0,223.0,668.0,566.0,123.0,1.0,38.0,2554.0,11.0,54.0,15.0,2512.0,4687.0,2444.0,356.0,4451.0,134.0,234.0,1247.0,3379.0,2.0,56.0,2774.0,4858.0,6531.0,6337.0,51.0
purN_3_238_C,186.0,53.0,260.0,44.0,41.0,40.0,174.0,70.0,49.0,334.0,33.0,270.0,82.0,84.0,146.0,37.0,40.0,82.0,25.0,88.0,120.0,276.0,58.0,43.0,215.0,403.0,711.0,431.0,73.0,0.0,20.0,1.0,0.0,3.0,42.0,20.0,20.0,5.0,18.0,6.0,112.0,13.0,70.0,107.0,60.0,45.0,17.0,8.0,43.0,29.0,18.0,0.0,46.0,32.0,30.0,50.0,140.0,22.0,27.0,71.0,299.0,38.0,16.0,61.0,1.0,344.0,109.0,76.0,3.0,89.0,151.0,1.0,36.0,101.0,0.0,89.0,106.0,79.0,36.0,0.0,0.0,112.0,5.0,1.0,13.0,76.0,129.0,392.0,135.0,153.0,445.0,152.0,135.0,221.0,1.0,0.0,30.0,228.0,1062.0,3446.0,12.0
purN_3_238_W_MM1,86.0,46.0,118.0,38.0,13.0,104.0,232.0,310.0,123.0,122.0,65.0,185.0,75.0,173.0,90.0,4.0,97.0,11.0,22.0,22.0,10.0,111.0,21.0,15.0,85.0,223.0,209.0,245.0,33.0,0.0,10.0,12.0,3.0,811.0,2.0,2.0,0.0,70.0,0.0,43.0,4.0,6.0,71.0,4.0,59.0,12.0,24.0,17.0,14.0,30.0,1.0,9.0,27.0,119.0,45.0,20.0,64.0,26.0,10.0,249.0,40.0,44.0,0.0,22.0,26.0,163.0,39.0,156.0,21.0,71.0,18.0,0.0,1.0,55.0,0.0,62.0,46.0,26.0,89.0,0.0,0.0,134.0,31.0,8.0,69.0,251.0,91.0,142.0,61.0,334.0,212.0,318.0,85.0,157.0,3.0,0.0,40.0,92.0,955.0,349.0,9.0
thyA_1_60_B_MM12,1434.0,151.0,468.0,1280.0,42.0,50.0,3069.0,197.0,234.0,153.0,39.0,423.0,682.0,1513.0,160.0,59.0,2234.0,106.0,1.0,57.0,2357.0,1501.0,670.0,1692.0,606.0,5095.0,4834.0,4057.0,2.0,1.0,12.0,38.0,0.0,1734.0,132.0,419.0,1.0,911.0,586.0,383.0,427.0,1373.0,2003.0,1021.0,1206.0,58.0,339.0,578.0,397.0,227.0,179.0,19.0,634.0,1403.0,1671.0,1045.0,739.0,934.0,669.0,426.0,2475.0,6.0,28.0,24.0,38.0,8121.0,303.0,2178.0,901.0,2985.0,3205.0,44.0,79.0,47.0,1.0,1168.0,2664.0,252.0,25.0,0.0,0.0,220.0,0.0,52.0,22.0,4882.0,6465.0,3916.0,511.0,2242.0,281.0,53.0,4191.0,1763.0,0.0,0.0,29.0,1096.0,3036.0,3235.0,5.0
thyA_1_60_B_MM13,3391.0,64.0,160.0,924.0,25.0,91.0,9620.0,73.0,150.0,111.0,59.0,349.0,1450.0,1325.0,81.0,19.0,1452.0,52.0,79.0,35.0,3800.0,5808.0,887.0,1995.0,532.0,10193.0,11120.0,19518.0,1.0,1.0,8.0,83.0,0.0,1910.0,104.0,1422.0,1.0,829.0,1465.0,915.0,1424.0,413.0,1530.0,658.0,1130.0,255.0,759.0,751.0,1817.0,494.0,434.0,61.0,1513.0,4313.0,1640.0,2359.0,2193.0,1635.0,1245.0,928.0,729.0,3.0,1.0,42.0,2.0,16206.0,163.0,2852.0,249.0,3599.0,4567.0,0.0,28.0,153.0,0.0,1349.0,2009.0,1504.0,66.0,9.0,128.0,3165.0,61.0,90.0,3.0,4325.0,8670.0,6069.0,245.0,968.0,84.0,133.0,903.0,8997.0,1.0,0.0,37.0,664.0,9018.0,5581.0,15.0
thyA_1_60_B_MM2,1.0,1.0,0.0,1.0,15.0,12.0,561.0,11.0,20.0,0.0,1.0,127.0,6.0,2.0,19.0,2.0,1.0,0.0,10.0,1.0,4.0,2.0,1.0,1.0,1.0,62.0,43.0,41.0,1.0,22.0,0.0,43.0,13.0,65.0,0.0,1.0,0.0,1.0,0.0,13.0,1.0,23.0,2.0,5.0,4.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,14.0,1.0,1.0,1.0,18.0,15.0,0.0,0.0,0.0,41.0,1.0,2.0,18.0,8.0,1.0,1.0,0.0,16.0,0.0,0.0,2.0,111.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,441.0,35.0,29.0,11.0,3.0,18.0,1.0,1.0,2.0,43.0,0.0,43.0,1.0,9.0,24.0,4.0
thyA_1_60_C,1.0,13.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,22.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,9.0,6.0,8.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0,0.0,0.0,2.0,8.0,1.0,0.0,1.0,0.0,25.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,32.0,1.0,2.0,16.0,0.0,0.0,28.0,1.0,0.0,56.0,0.0,15.0,20.0,3.0,0.0
thyA_3_233_B_MM4,120.0,36.0,143.0,615.0,19.0,1.0,480.0,47.0,23.0,3.0,11.0,251.0,219.0,490.0,205.0,152.0,15.0,1.0,8.0,7.0,42.0,112.0,17.0,12.0,28.0,189.0,385.0,4038.0,0.0,0.0,10.0,14.0,5.0,49.0,1.0,24.0,0.0,1.0,7.0,28.0,36.0,41.0,19.0,92.0,56.0,331.0,37.0,34.0,277.0,1.0,8.0,34.0,19.0,42.0,523.0,12.0,40.0,18.0,6.0,26.0,11.0,0.0,7.0,4.0,1.0,121.0,11.0,46.0,5.0,91.0,64.0,15.0,100.0,19.0,0.0,90.0,23.0,1245.0,9.0,1.0,1.0,4.0,0.0,18.0,3.0,1797.0,245.0,175.0,158.0,435.0,150.0,51.0,49.0,49.0,26.0,0.0,499.0,538.0,1423.0,2198.0,86.0
thyA_3_233_B_MM5,905.0,61.0,256.0,627.0,71.0,303.0,3310.0,113.0,47.0,159.0,84.0,1338.0,2651.0,2476.0,325.0,262.0,676.0,216.0,101.0,11.0,1584.0,3385.0,188.0,700.0,369.0,16381.0,11293.0,15765.0,3.0,0.0,1.0,15.0,1296.0,622.0,188.0,427.0,14.0,264.0,142.0,209.0,600.0,217.0,495.0,304.0,242.0,45.0,320.0,121.0,93.0,92.0,33.0,13.0,29.0,1121.0,1168.0,980.0,424.0,379.0,355.0,804.0,889.0,53.0,0.0,6.0,0.0,5275.0,46.0,113.0,11.0,368.0,1681.0,0.0,154.0,152.0,0.0,377.0,667.0,317.0,171.0,2.0,47.0,565.0,0.0,3.0,30.0,5012.0,5000.0,3569.0,544.0,1173.0,151.0,69.0,1530.0,381.0,0.0,0.0,167.0,5049.0,23114.0,28031.0,2.0
thyA_3_233_B_MM6,11707.0,500.0,2153.0,6395.0,218.0,50.0,30850.0,278.0,432.0,239.0,2075.0,990.0,2406.0,4744.0,565.0,47.0,8312.0,94.0,67.0,39.0,11241.0,39510.0,6609.0,7518.0,2620.0,71815.0,37622.0,66794.0,20.0,5.0,19.0,2384.0,4.0,16288.0,924.0,4205.0,7.0,11037.0,6134.0,6210.0,9160.0,4501.0,8359.0,2368.0,1942.0,209.0,1478.0,4160.0,5153.0,1010.0,1316.0,924.0,906.0,15327.0,8688.0,11184.0,13816.0,8048.0,4477.0,15387.0,3371.0,15.0,7.0,48.0,11.0,36094.0,270.0,3349.0,111.0,6533.0,10684.0,44.0,263.0,620.0,1.0,5280.0,6674.0,2516.0,400.0,5.0,1.0,10152.0,13.0,73.0,39.0,5807.0,11787.0,21711.0,572.0,2778.0,261.0,136.0,1320.0,9236.0,5.0,0.0,239.0,4801.0,78941.0,40139.0,23.0
thyA_3_233_B_MM7,9480.0,382.0,1866.0,3189.0,23.0,26.0,27608.0,263.0,589.0,327.0,109.0,664.0,1407.0,2332.0,276.0,225.0,3381.0,71.0,365.0,41.0,17418.0,25448.0,3059.0,7672.0,3300.0,28485.0,18836.0,39819.0,28.0,23.0,1.0,64.0,5.0,14751.0,704.0,3825.0,1.0,5942.0,3627.0,1422.0,6365.0,1865.0,5452.0,2608.0,1772.0,115.0,1532.0,2999.0,2933.0,1598.0,1591.0,1193.0,1204.0,11361.0,5470.0,6942.0,5957.0,5701.0,2045.0,6145.0,728.0,41.0,12.0,89.0,4.0,15861.0,90.0,5247.0,83.0,3899.0,6589.0,4.0,47.0,504.0,0.0,3554.0,2971.0,1685.0,604.0,18.0,1.0,5341.0,51.0,14.0,4.0,10025.0,9444.0,18748.0,734.0,2045.0,264.0,180.0,2612.0,11541.0,35.0,0.0,362.0,6525.0,68580.0,71585.0,14.0
thyA_3_233_C,10.0,3.0,3.0,728.0,23.0,0.0,28.0,7.0,23.0,28.0,2.0,266.0,52.0,22.0,136.0,25.0,20.0,0.0,8.0,0.0,30.0,56.0,4.0,11.0,6.0,364.0,110.0,95.0,25.0,0.0,11.0,10.0,0.0,76.0,5.0,2.0,0.0,15.0,3.0,21.0,15.0,4.0,9.0,128.0,1.0,296.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,323.0,35.0,7.0,3.0,6.0,9.0,58.0,11.0,0.0,25.0,40.0,0.0,97.0,0.0,53.0,0.0,29.0,11.0,11.0,78.0,117.0,19.0,25.0,28.0,59.0,0.0,20.0,0.0,23.0,19.0,0.0,0.0,99.0,63.0,1013.0,82.0,51.0,10.0,35.0,17.0,12.0,30.0,5.0,88.0,773.0,677.0,1095.0,190.0
