,dapA_1_98_B_MM14,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapA_1_98_W_MM1,dapA_3_214_B_MM14,dapA_3_214_B_MM6,dapA_3_214_B_MM9,dapA_3_214_C,dapA_3_214_W_MM1,dapB_1_18_B_MM11,dapB_1_18_B_MM13,dapB_1_18_B_MM14,dapB_1_18_B_MM5,dapB_1_18_C,dapB_3_239_B_MM14,dapB_3_239_B_MM9,dapB_3_239_C,dapB_3_239_W_MM1,fake_negC_rand_18,fake_negC_rand_28,fake_negC_rand_31,fake_negC_rand_42,fake_negC_rand_43,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,gdhA_1_42_B_MM10,gdhA_1_42_B_MM14,gdhA_1_42_B_MM4,gdhA_1_42_B_MM6,gdhA_1_42_B_MM8,gdhA_1_42_C,gdhA_3_216_B_MM10,gdhA_3_216_B_MM14,gdhA_3_216_B_MM4,gdhA_3_216_B_MM6,gdhA_3_216_B_MM8,gdhA_3_216_C,gltB_1_17_B_MM10,gltB_1_17_B_MM14,gltB_1_17_B_MM4,gltB_1_17_B_MM6,gltB_1_17_B_MM8,gltB_1_17_C,gltB_3_284_B_MM10,gltB_3_284_B_MM14,gltB_3_284_B_MM4,gltB_3_284_B_MM6,gltB_3_284_B_MM8,gltB_3_284_C,glyA_1_26_B_MM11,glyA_1_26_B_MM12,glyA_1_26_B_MM4,glyA_1_26_B_MM8,glyA_1_26_B_MM9,glyA_1_26_C,glyA_3_279_B_MM14,glyA_3_279_B_MM3,glyA_3_279_B_MM6,glyA_3_279_C,negC_rand_42,purL_1_25_B_MM14,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purL_3_201_B_MM11,purL_3_201_B_MM14,purL_3_201_B_MM5,purL_3_201_B_MM9,purL_3_201_C,purL_3_201_W_MM1,purN_1_86_B_MM12,purN_1_86_B_MM2,purN_1_86_B_MM4,purN_1_86_C,purN_3_238_B_MM10,purN_3_238_B_MM11,purN_3_238_B_MM14,purN_3_238_B_MM4,purN_3_238_B_MM5,purN_3_238_C,purN_3_238_W_MM1,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
dapA_1_98_B_MM14,455.0,13.0,59.0,64.0,2.0,9.0,294.0,10.0,22.0,37.0,3.0,22.0,56.0,52.0,9.0,2.0,67.0,2.0,9.0,0.0,179.0,328.0,47.0,105.0,68.0,384.0,447.0,521.0,0.0,0.0,1.0,0.0,0.0,78.0,2.0,64.0,1.0,83.0,61.0,51.0,103.0,27.0,146.0,43.0,35.0,1.0,23.0,33.0,21.0,38.0,14.0,12.0,17.0,218.0,115.0,52.0,51.0,94.0,35.0,61.0,38.0,4.0,0.0,0.0,0.0,357.0,13.0,68.0,24.0,85.0,145.0,3.0,2.0,3.0,0.0,20.0,85.0,61.0,20.0,0.0,1.0,117.0,0.0,1.0,0.0,132.0,303.0,209.0,43.0,56.0,8.0,1.0,70.0,115.0,1.0,0.0,6.0,35.0,501.0,261.0,0.0
dapA_1_98_B_MM3,3.0,87.0,71.0,109.0,0.0,8.0,78.0,20.0,2.0,7.0,19.0,7.0,19.0,13.0,21.0,14.0,4.0,19.0,9.0,16.0,11.0,24.0,3.0,2.0,9.0,70.0,26.0,56.0,0.0,0.0,1.0,1.0,0.0,24.0,0.0,0.0,0.0,10.0,0.0,4.0,2.0,1.0,23.0,3.0,8.0,10.0,20.0,13.0,14.0,4.0,20.0,1.0,4.0,13.0,10.0,20.0,11.0,26.0,7.0,19.0,13.0,1.0,8.0,2.0,3.0,30.0,20.0,28.0,6.0,14.0,21.0,0.0,17.0,25.0,0.0,13.0,10.0,48.0,13.0,1.0,0.0,4.0,1.0,0.0,2.0,45.0,22.0,22.0,9.0,23.0,3.0,2.0,20.0,3.0,0.0,0.0,3.0,3.0,32.0,55.0,0.0
dapA_1_98_B_MM7,91.0,31.0,248.0,162.0,9.0,10.0,88.0,8.0,2.0,5.0,21.0,16.0,83.0,46.0,55.0,2.0,28.0,32.0,1.0,5.0,30.0,102.0,3.0,13.0,65.0,208.0,140.0,120.0,1.0,3.0,0.0,1.0,0.0,57.0,2.0,16.0,1.0,41.0,27.0,26.0,66.0,7.0,6.0,19.0,7.0,3.0,12.0,9.0,2.0,13.0,8.0,6.0,5.0,55.0,70.0,30.0,16.0,66.0,11.0,26.0,35.0,0.0,6.0,4.0,2.0,90.0,30.0,79.0,26.0,70.0,46.0,0.0,11.0,20.0,3.0,37.0,59.0,42.0,10.0,7.0,0.0,20.0,7.0,3.0,17.0,54.0,59.0,91.0,20.0,60.0,21.0,29.0,5.0,8.0,1.0,0.0,1.0,18.0,88.0,59.0,0.0
dapA_1_98_B_MM9,206.0,31.0,185.0,280.0,6.0,28.0,302.0,13.0,5.0,3.0,2.0,14.0,22.0,58.0,16.0,5.0,135.0,24.0,5.0,5.0,70.0,303.0,23.0,24.0,61.0,399.0,347.0,556.0,0.0,0.0,6.0,0.0,0.0,51.0,13.0,41.0,1.0,76.0,33.0,85.0,124.0,25.0,68.0,62.0,65.0,10.0,21.0,57.0,7.0,25.0,16.0,4.0,20.0,127.0,129.0,84.0,71.0,79.0,37.0,43.0,19.0,2.0,0.0,0.0,0.0,462.0,17.0,130.0,25.0,71.0,203.0,0.0,7.0,18.0,0.0,55.0,89.0,54.0,16.0,1.0,0.0,70.0,2.0,7.0,34.0,108.0,234.0,176.0,24.0,56.0,7.0,4.0,25.0,15.0,0.0,0.0,3.0,32.0,326.0,333.0,0.0
dapA_1_98_C,8.0,6.0,3.0,5.0,35.0,1.0,0.0,5.0,0.0,3.0,4.0,11.0,11.0,1.0,46.0,6.0,0.0,0.0,6.0,6.0,5.0,3.0,0.0,3.0,9.0,24.0,9.0,7.0,0.0,0.0,1.0,36.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,8.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,4.0,0.0,0.0,8.0,2.0,1.0,2.0,5.0,3.0,0.0,6.0,0.0,17.0,3.0,18.0,3.0,3.0,5.0,4.0,8.0,5.0,0.0,14.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,4.0,18.0,15.0,7.0,0.0,0.0,0.0,3.0,1.0,1.0,7.0,0.0
dapA_1_98_W_MM1,0.0,5.0,3.0,8.0,0.0,16.0,1.0,9.0,26.0,2.0,5.0,10.0,8.0,4.0,7.0,7.0,18.0,1.0,3.0,9.0,1.0,3.0,0.0,1.0,1.0,16.0,61.0,29.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,2.0,0.0,13.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,7.0,3.0,0.0,2.0,1.0,2.0,1.0,10.0,36.0,13.0,1.0,20.0,0.0,19.0,22.0,1.0,4.0,16.0,1.0,20.0,2.0,13.0,3.0,2.0,15.0,0.0,10.0,13.0,0.0,6.0,2.0,4.0,4.0,0.0,2.0,15.0,0.0,0.0,1.0,20.0,37.0,11.0,9.0,4.0,9.0,2.0,8.0,0.0,2.0,0.0,2.0,11.0,12.0,8.0,2.0
dapA_3_214_B_MM14,219.0,9.0,69.0,115.0,3.0,7.0,1196.0,16.0,33.0,11.0,4.0,21.0,89.0,129.0,45.0,4.0,105.0,2.0,4.0,7.0,286.0,480.0,98.0,174.0,147.0,800.0,787.0,929.0,0.0,0.0,1.0,9.0,0.0,128.0,1.0,44.0,1.0,161.0,85.0,150.0,197.0,128.0,247.0,94.0,94.0,7.0,90.0,39.0,99.0,49.0,82.0,74.0,76.0,289.0,251.0,125.0,112.0,112.0,57.0,72.0,36.0,8.0,1.0,1.0,1.0,492.0,42.0,139.0,32.0,222.0,273.0,15.0,14.0,25.0,0.0,111.0,137.0,82.0,49.0,0.0,0.0,459.0,3.0,8.0,1.0,257.0,545.0,494.0,65.0,109.0,15.0,20.0,121.0,324.0,0.0,0.0,10.0,240.0,1214.0,603.0,1.0
dapA_3_214_B_MM6,4.0,9.0,6.0,2.0,1.0,8.0,47.0,62.0,13.0,23.0,7.0,17.0,28.0,27.0,11.0,10.0,3.0,2.0,11.0,6.0,4.0,50.0,5.0,7.0,34.0,40.0,19.0,24.0,0.0,0.0,0.0,5.0,0.0,41.0,5.0,0.0,3.0,6.0,3.0,2.0,22.0,3.0,8.0,38.0,0.0,10.0,2.0,19.0,2.0,12.0,1.0,0.0,3.0,22.0,11.0,12.0,7.0,13.0,13.0,20.0,27.0,1.0,0.0,7.0,10.0,26.0,7.0,21.0,13.0,0.0,12.0,0.0,35.0,26.0,0.0,20.0,6.0,20.0,14.0,14.0,1.0,11.0,1.0,4.0,2.0,48.0,57.0,89.0,9.0,42.0,9.0,1.0,6.0,1.0,0.0,0.0,2.0,3.0,26.0,21.0,0.0
dapA_3_214_B_MM9,6.0,17.0,4.0,7.0,4.0,11.0,45.0,14.0,63.0,17.0,4.0,12.0,24.0,12.0,14.0,5.0,3.0,4.0,8.0,6.0,10.0,13.0,5.0,1.0,12.0,103.0,30.0,82.0,0.0,0.0,1.0,0.0,0.0,12.0,8.0,2.0,3.0,2.0,1.0,2.0,23.0,1.0,5.0,6.0,4.0,0.0,1.0,6.0,12.0,3.0,16.0,2.0,16.0,16.0,4.0,19.0,4.0,6.0,9.0,9.0,23.0,3.0,3.0,0.0,1.0,8.0,13.0,23.0,2.0,17.0,20.0,1.0,0.0,27.0,0.0,21.0,27.0,26.0,6.0,0.0,0.0,5.0,0.0,1.0,5.0,42.0,43.0,39.0,5.0,38.0,5.0,7.0,4.0,13.0,0.0,0.0,2.0,2.0,24.0,9.0,2.0
dapA_3_214_C,4.0,4.0,19.0,9.0,4.0,18.0,4.0,20.0,22.0,26.0,11.0,40.0,12.0,3.0,17.0,5.0,4.0,5.0,6.0,15.0,1.0,17.0,1.0,6.0,17.0,42.0,25.0,34.0,0.0,0.0,1.0,0.0,0.0,18.0,4.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,8.0,4.0,15.0,6.0,6.0,12.0,1.0,2.0,3.0,0.0,4.0,8.0,9.0,6.0,2.0,10.0,3.0,4.0,9.0,2.0,1.0,1.0,0.0,9.0,11.0,28.0,5.0,5.0,4.0,2.0,8.0,34.0,0.0,17.0,3.0,24.0,3.0,0.0,9.0,1.0,0.0,3.0,1.0,30.0,44.0,32.0,12.0,15.0,3.0,6.0,5.0,3.0,0.0,0.0,0.0,9.0,7.0,17.0,0.0
