,dapA_1_98_B_MM14,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapA_1_98_W_MM1,dapA_3_214_B_MM14,dapA_3_214_B_MM6,dapA_3_214_B_MM9,dapA_3_214_C,dapA_3_214_W_MM1,dapB_1_18_B_MM11,dapB_1_18_B_MM13,dapB_1_18_B_MM14,dapB_1_18_B_MM5,dapB_1_18_C,dapB_3_239_B_MM14,dapB_3_239_B_MM9,dapB_3_239_C,dapB_3_239_W_MM1,fake_negC_rand_18,fake_negC_rand_28,fake_negC_rand_31,fake_negC_rand_42,fake_negC_rand_43,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,gdhA_1_42_B_MM10,gdhA_1_42_B_MM14,gdhA_1_42_B_MM4,gdhA_1_42_B_MM6,gdhA_1_42_B_MM8,gdhA_1_42_C,gdhA_3_216_B_MM10,gdhA_3_216_B_MM14,gdhA_3_216_B_MM4,gdhA_3_216_B_MM6,gdhA_3_216_B_MM8,gdhA_3_216_C,gltB_1_17_B_MM10,gltB_1_17_B_MM14,gltB_1_17_B_MM4,gltB_1_17_B_MM6,gltB_1_17_B_MM8,gltB_1_17_C,gltB_3_284_B_MM10,gltB_3_284_B_MM14,gltB_3_284_B_MM4,gltB_3_284_B_MM6,gltB_3_284_B_MM8,gltB_3_284_C,glyA_1_26_B_MM11,glyA_1_26_B_MM12,glyA_1_26_B_MM4,glyA_1_26_B_MM8,glyA_1_26_B_MM9,glyA_1_26_C,glyA_3_279_B_MM14,glyA_3_279_B_MM3,glyA_3_279_B_MM6,glyA_3_279_C,negC_rand_42,purL_1_25_B_MM14,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purL_3_201_B_MM11,purL_3_201_B_MM14,purL_3_201_B_MM5,purL_3_201_B_MM9,purL_3_201_C,purL_3_201_W_MM1,purN_1_86_B_MM12,purN_1_86_B_MM2,purN_1_86_B_MM4,purN_1_86_C,purN_3_238_B_MM10,purN_3_238_B_MM11,purN_3_238_B_MM14,purN_3_238_B_MM4,purN_3_238_B_MM5,purN_3_238_C,purN_3_238_W_MM1,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
dapA_1_98_B_MM14,2680.0,1504.0,1773.0,1207.0,593.0,1260.0,2216.0,1784.0,2223.0,2272.0,1319.0,1084.0,539.0,1125.0,1242.0,696.0,456.0,353.0,1742.0,1209.0,796.0,1612.0,1357.0,810.0,835.0,2414.0,2027.0,1697.0,1640.0,514.0,1505.0,1173.0,288.0,1051.0,1765.0,588.0,144.0,641.0,141.0,465.0,902.0,503.0,1372.0,1402.0,717.0,349.0,1001.0,847.0,615.0,771.0,260.0,524.0,595.0,1628.0,1392.0,967.0,1444.0,1160.0,233.0,662.0,498.0,669.0,121.0,452.0,151.0,2142.0,307.0,1542.0,962.0,492.0,631.0,392.0,759.0,2495.0,461.0,951.0,514.0,998.0,661.0,855.0,437.0,424.0,92.0,760.0,391.0,1436.0,2315.0,2920.0,1539.0,2861.0,2523.0,1288.0,2822.0,270.0,1749.0,353.0,2322.0,1493.0,1606.0,603.0,1626.0
dapA_1_98_B_MM3,960.0,4050.0,1740.0,3567.0,1681.0,1366.0,2645.0,2859.0,1519.0,2764.0,1262.0,2104.0,1229.0,1316.0,2168.0,812.0,721.0,367.0,2663.0,1633.0,1143.0,2069.0,565.0,970.0,2337.0,3681.0,3101.0,3586.0,1630.0,1042.0,1358.0,2095.0,530.0,1448.0,2481.0,276.0,188.0,351.0,179.0,269.0,659.0,1016.0,2364.0,956.0,660.0,863.0,592.0,1876.0,704.0,2104.0,630.0,103.0,524.0,1780.0,1001.0,1720.0,2250.0,1925.0,961.0,1778.0,977.0,826.0,335.0,439.0,201.0,3451.0,926.0,1147.0,1097.0,945.0,1530.0,681.0,835.0,2962.0,680.0,837.0,665.0,2524.0,777.0,894.0,595.0,1047.0,997.0,352.0,992.0,3594.0,917.0,1906.0,1074.0,4067.0,1998.0,2544.0,2561.0,1287.0,1225.0,173.0,3784.0,1636.0,2484.0,1173.0,1900.0
dapA_1_98_B_MM7,1849.0,1842.0,6682.0,1960.0,1512.0,1890.0,1186.0,1789.0,2275.0,3930.0,2718.0,1742.0,2247.0,1955.0,2060.0,1356.0,1362.0,1908.0,3326.0,2718.0,2059.0,4228.0,801.0,1015.0,2074.0,5842.0,3161.0,4144.0,2374.0,1790.0,1491.0,1951.0,766.0,2571.0,3649.0,677.0,467.0,998.0,1083.0,350.0,1164.0,1061.0,818.0,1746.0,1180.0,1402.0,478.0,1029.0,975.0,1306.0,927.0,584.0,607.0,2610.0,2623.0,1874.0,2099.0,2960.0,1175.0,1164.0,1208.0,463.0,431.0,882.0,386.0,3500.0,663.0,2578.0,1677.0,854.0,1017.0,1024.0,1969.0,1638.0,599.0,1670.0,1511.0,2069.0,753.0,981.0,568.0,922.0,634.0,495.0,629.0,3629.0,2414.0,5794.0,2642.0,1583.0,2933.0,3328.0,1314.0,1131.0,2635.0,725.0,5592.0,3508.0,3649.0,2219.0,3130.0
dapA_1_98_B_MM9,1329.0,2909.0,1697.0,3904.0,537.0,1559.0,1042.0,1860.0,1327.0,2678.0,886.0,1423.0,1331.0,1778.0,1049.0,293.0,607.0,663.0,2191.0,2066.0,888.0,2347.0,714.0,1638.0,2007.0,4254.0,3820.0,2562.0,1394.0,1400.0,1632.0,2124.0,527.0,1922.0,1769.0,924.0,224.0,277.0,139.0,355.0,1510.0,292.0,900.0,1344.0,1517.0,624.0,1485.0,1008.0,245.0,959.0,1772.0,284.0,1355.0,2785.0,1972.0,2218.0,2616.0,1448.0,437.0,907.0,759.0,1377.0,84.0,1092.0,44.0,1711.0,1105.0,921.0,310.0,422.0,1301.0,784.0,801.0,2274.0,733.0,1326.0,1361.0,1324.0,785.0,980.0,608.0,919.0,730.0,406.0,337.0,3015.0,1932.0,3781.0,1571.0,3001.0,2257.0,2887.0,1397.0,1473.0,1149.0,525.0,3358.0,3555.0,1005.0,1168.0,2805.0
dapA_1_98_C,821.0,836.0,1518.0,1544.0,2073.0,930.0,1735.0,943.0,1118.0,450.0,644.0,1629.0,901.0,468.0,1646.0,886.0,465.0,615.0,1166.0,1025.0,433.0,1480.0,410.0,694.0,1119.0,3394.0,2242.0,1810.0,901.0,930.0,863.0,1705.0,358.0,945.0,2345.0,262.0,71.0,812.0,201.0,385.0,429.0,382.0,858.0,948.0,611.0,723.0,417.0,367.0,445.0,1051.0,477.0,84.0,1095.0,1113.0,1538.0,841.0,1567.0,861.0,1214.0,1267.0,412.0,498.0,442.0,680.0,222.0,1817.0,589.0,1445.0,973.0,1162.0,181.0,329.0,924.0,1814.0,167.0,251.0,367.0,897.0,484.0,696.0,431.0,509.0,268.0,298.0,135.0,536.0,885.0,2340.0,474.0,2750.0,3479.0,867.0,2067.0,724.0,769.0,318.0,1904.0,1490.0,1015.0,988.0,924.0
dapA_1_98_W_MM1,707.0,1894.0,2230.0,1501.0,506.0,4927.0,1162.0,1307.0,1743.0,2808.0,919.0,2441.0,1344.0,1472.0,2091.0,462.0,1010.0,1076.0,2011.0,1659.0,1721.0,2797.0,733.0,434.0,1638.0,5814.0,2814.0,2888.0,1850.0,1328.0,1238.0,2779.0,335.0,1991.0,2236.0,310.0,161.0,697.0,617.0,166.0,637.0,841.0,1902.0,1055.0,877.0,1010.0,551.0,1710.0,879.0,1129.0,611.0,512.0,1318.0,2099.0,1704.0,1759.0,1972.0,1352.0,612.0,1038.0,909.0,926.0,892.0,1257.0,1084.0,2796.0,715.0,2097.0,868.0,562.0,973.0,668.0,1164.0,2087.0,307.0,852.0,796.0,1624.0,777.0,854.0,129.0,764.0,275.0,177.0,1032.0,2556.0,2043.0,2262.0,504.0,3259.0,3301.0,2473.0,1294.0,2165.0,1100.0,310.0,3118.0,2727.0,2588.0,1813.0,3241.0
dapA_3_214_B_MM14,1495.0,1674.0,866.0,688.0,486.0,1695.0,3595.0,1601.0,2131.0,2412.0,1784.0,1110.0,1252.0,1793.0,2107.0,315.0,391.0,750.0,1813.0,1669.0,579.0,1396.0,227.0,1006.0,1511.0,4797.0,1727.0,3146.0,1362.0,1511.0,2129.0,2480.0,951.0,1750.0,2026.0,220.0,230.0,926.0,113.0,473.0,300.0,548.0,1237.0,776.0,799.0,1079.0,879.0,845.0,2115.0,1476.0,980.0,230.0,1955.0,2177.0,1766.0,1095.0,1250.0,1711.0,291.0,862.0,1104.0,1284.0,350.0,994.0,360.0,1188.0,467.0,2390.0,970.0,701.0,1874.0,623.0,590.0,2218.0,349.0,779.0,791.0,2265.0,974.0,435.0,344.0,584.0,178.0,330.0,915.0,2885.0,2062.0,2254.0,1979.0,3598.0,2417.0,1723.0,1541.0,1166.0,1337.0,87.0,1676.0,1583.0,2181.0,1762.0,3585.0
dapA_3_214_B_MM6,1084.0,3103.0,2302.0,2330.0,1791.0,1302.0,3391.0,8340.0,3319.0,4309.0,3432.0,2959.0,3592.0,2680.0,2154.0,1312.0,1312.0,547.0,3457.0,3481.0,1568.0,3156.0,635.0,811.0,2085.0,6246.0,2977.0,3854.0,2812.0,2154.0,1854.0,4339.0,2680.0,3302.0,3550.0,94.0,116.0,842.0,695.0,271.0,1009.0,421.0,1874.0,2201.0,882.0,816.0,1299.0,1133.0,1352.0,1251.0,1192.0,189.0,1137.0,2429.0,3139.0,2115.0,1980.0,1952.0,1411.0,1796.0,1640.0,1323.0,858.0,769.0,357.0,3623.0,1940.0,3436.0,613.0,657.0,890.0,475.0,1400.0,3121.0,235.0,1472.0,1035.0,2890.0,440.0,1147.0,578.0,1042.0,673.0,1284.0,490.0,4051.0,2873.0,4542.0,1964.0,5459.0,2473.0,4111.0,1554.0,1696.0,2002.0,752.0,5985.0,5133.0,4466.0,2204.0,5575.0
dapA_3_214_B_MM9,1158.0,973.0,2066.0,2077.0,496.0,2650.0,1277.0,1673.0,3131.0,2107.0,1369.0,1514.0,1173.0,1331.0,1177.0,589.0,668.0,450.0,1290.0,1451.0,1307.0,2608.0,307.0,328.0,952.0,3143.0,2471.0,2864.0,1248.0,2026.0,1333.0,1428.0,260.0,1602.0,2016.0,255.0,96.0,433.0,224.0,161.0,307.0,197.0,1567.0,1249.0,366.0,1340.0,244.0,974.0,640.0,922.0,365.0,74.0,931.0,1623.0,400.0,1518.0,770.0,704.0,1402.0,614.0,562.0,660.0,675.0,260.0,349.0,2838.0,1074.0,1950.0,491.0,816.0,523.0,1139.0,584.0,1946.0,786.0,859.0,646.0,1703.0,888.0,544.0,227.0,797.0,557.0,457.0,970.0,2676.0,1423.0,2254.0,1477.0,2514.0,1798.0,1828.0,1839.0,685.0,1850.0,507.0,1749.0,1089.0,1872.0,1280.0,2723.0
dapA_3_214_C,1997.0,3039.0,3492.0,2651.0,741.0,2843.0,1896.0,3676.0,2647.0,7725.0,2510.0,2983.0,2632.0,3013.0,2631.0,2004.0,799.0,1487.0,1591.0,3534.0,1678.0,3217.0,1158.0,1200.0,2502.0,6755.0,3972.0,5648.0,2268.0,2753.0,3513.0,2782.0,1699.0,3010.0,3493.0,303.0,312.0,863.0,615.0,370.0,1161.0,1061.0,1552.0,3353.0,909.0,1601.0,936.0,1744.0,1444.0,1696.0,1296.0,789.0,965.0,2836.0,1822.0,2626.0,3109.0,2730.0,1321.0,1092.0,2148.0,1263.0,1188.0,913.0,213.0,4646.0,2032.0,2569.0,1799.0,1971.0,1138.0,903.0,2169.0,4604.0,398.0,1435.0,1099.0,2167.0,1827.0,402.0,778.0,1711.0,500.0,914.0,524.0,5097.0,2163.0,5905.0,2953.0,2735.0,4082.0,3601.0,3767.0,1897.0,4098.0,1589.0,5527.0,5060.0,4911.0,2969.0,4027.0
