,dapA_1_98_B_MM14,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapA_1_98_W_MM1,dapA_3_214_B_MM14,dapA_3_214_B_MM6,dapA_3_214_B_MM9,dapA_3_214_C,dapA_3_214_W_MM1,dapB_1_18_B_MM11,dapB_1_18_B_MM13,dapB_1_18_B_MM14,dapB_1_18_B_MM5,dapB_1_18_C,dapB_3_239_B_MM14,dapB_3_239_B_MM9,dapB_3_239_C,dapB_3_239_W_MM1,fake_negC_rand_18,fake_negC_rand_28,fake_negC_rand_31,fake_negC_rand_42,fake_negC_rand_43,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,gdhA_1_42_B_MM10,gdhA_1_42_B_MM14,gdhA_1_42_B_MM4,gdhA_1_42_B_MM6,gdhA_1_42_B_MM8,gdhA_1_42_C,gdhA_3_216_B_MM10,gdhA_3_216_B_MM14,gdhA_3_216_B_MM4,gdhA_3_216_B_MM6,gdhA_3_216_B_MM8,gdhA_3_216_C,gltB_1_17_B_MM10,gltB_1_17_B_MM14,gltB_1_17_B_MM4,gltB_1_17_B_MM6,gltB_1_17_B_MM8,gltB_1_17_C,gltB_3_284_B_MM10,gltB_3_284_B_MM14,gltB_3_284_B_MM4,gltB_3_284_B_MM6,gltB_3_284_B_MM8,gltB_3_284_C,glyA_1_26_B_MM11,glyA_1_26_B_MM12,glyA_1_26_B_MM4,glyA_1_26_B_MM8,glyA_1_26_B_MM9,glyA_1_26_C,glyA_3_279_B_MM14,glyA_3_279_B_MM3,glyA_3_279_B_MM6,glyA_3_279_C,negC_rand_42,purL_1_25_B_MM14,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purL_3_201_B_MM11,purL_3_201_B_MM14,purL_3_201_B_MM5,purL_3_201_B_MM9,purL_3_201_C,purL_3_201_W_MM1,purN_1_86_B_MM12,purN_1_86_B_MM2,purN_1_86_B_MM4,purN_1_86_C,purN_3_238_B_MM10,purN_3_238_B_MM11,purN_3_238_B_MM14,purN_3_238_B_MM4,purN_3_238_B_MM5,purN_3_238_C,purN_3_238_W_MM1,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
dapA_1_98_B_MM14,505.0,27.0,117.0,84.0,27.0,22.0,151.0,19.0,47.0,22.0,4.0,25.0,21.0,78.0,34.0,12.0,46.0,12.0,20.0,7.0,107.0,193.0,41.0,113.0,60.0,292.0,302.0,285.0,2.0,7.0,1.0,7.0,1.0,33.0,5.0,52.0,0.0,43.0,29.0,27.0,59.0,29.0,82.0,29.0,57.0,18.0,10.0,44.0,23.0,45.0,18.0,13.0,24.0,198.0,105.0,88.0,53.0,97.0,37.0,78.0,34.0,4.0,0.0,4.0,1.0,257.0,19.0,93.0,14.0,73.0,117.0,0.0,7.0,26.0,0.0,31.0,56.0,93.0,18.0,2.0,3.0,92.0,2.0,7.0,1.0,87.0,136.0,163.0,15.0,58.0,13.0,12.0,68.0,94.0,1.0,1.0,25.0,20.0,253.0,159.0,9.0
dapA_1_98_B_MM3,33.0,191.0,93.0,121.0,21.0,65.0,70.0,31.0,37.0,35.0,29.0,32.0,54.0,65.0,47.0,10.0,28.0,9.0,29.0,29.0,21.0,53.0,7.0,31.0,40.0,93.0,84.0,136.0,1.0,0.0,1.0,3.0,2.0,50.0,4.0,2.0,8.0,11.0,9.0,2.0,9.0,7.0,39.0,27.0,22.0,16.0,16.0,45.0,13.0,19.0,9.0,0.0,15.0,59.0,26.0,38.0,29.0,22.0,33.0,35.0,32.0,4.0,15.0,12.0,1.0,104.0,17.0,38.0,26.0,28.0,74.0,1.0,33.0,26.0,1.0,25.0,29.0,93.0,28.0,0.0,0.0,37.0,7.0,5.0,1.0,78.0,42.0,86.0,27.0,65.0,22.0,16.0,22.0,12.0,4.0,0.0,21.0,24.0,75.0,56.0,1.0
dapA_1_98_B_MM7,91.0,121.0,465.0,137.0,12.0,28.0,87.0,25.0,45.0,15.0,31.0,52.0,49.0,84.0,41.0,9.0,66.0,56.0,25.0,25.0,52.0,139.0,9.0,18.0,72.0,210.0,169.0,169.0,4.0,2.0,1.0,2.0,0.0,114.0,14.0,35.0,3.0,34.0,29.0,41.0,24.0,29.0,23.0,29.0,33.0,11.0,13.0,38.0,11.0,39.0,45.0,15.0,12.0,72.0,93.0,56.0,78.0,105.0,42.0,79.0,29.0,9.0,2.0,3.0,1.0,198.0,34.0,132.0,15.0,29.0,97.0,13.0,18.0,41.0,0.0,59.0,56.0,76.0,29.0,2.0,1.0,44.0,3.0,9.0,0.0,117.0,92.0,173.0,34.0,80.0,31.0,18.0,42.0,51.0,3.0,2.0,16.0,45.0,140.0,132.0,13.0
dapA_1_98_B_MM9,168.0,27.0,168.0,387.0,15.0,26.0,181.0,28.0,31.0,31.0,8.0,48.0,53.0,60.0,39.0,11.0,63.0,33.0,40.0,23.0,73.0,181.0,18.0,40.0,119.0,280.0,295.0,359.0,0.0,0.0,13.0,0.0,0.0,102.0,10.0,25.0,2.0,71.0,26.0,70.0,128.0,41.0,60.0,54.0,39.0,9.0,20.0,47.0,43.0,57.0,27.0,9.0,48.0,137.0,113.0,101.0,74.0,57.0,40.0,49.0,38.0,5.0,6.0,15.0,0.0,271.0,20.0,129.0,34.0,72.0,118.0,1.0,15.0,27.0,1.0,59.0,60.0,82.0,25.0,1.0,0.0,56.0,2.0,5.0,10.0,104.0,158.0,180.0,27.0,95.0,20.0,20.0,52.0,78.0,2.0,1.0,31.0,43.0,186.0,120.0,4.0
dapA_1_98_C,7.0,25.0,40.0,23.0,71.0,16.0,29.0,9.0,12.0,12.0,8.0,30.0,27.0,17.0,58.0,20.0,7.0,20.0,9.0,22.0,14.0,14.0,14.0,3.0,28.0,59.0,27.0,50.0,2.0,0.0,2.0,16.0,5.0,7.0,14.0,5.0,1.0,8.0,10.0,5.0,10.0,7.0,19.0,8.0,11.0,12.0,4.0,3.0,17.0,11.0,3.0,0.0,10.0,20.0,16.0,19.0,31.0,18.0,22.0,10.0,18.0,10.0,1.0,2.0,0.0,20.0,3.0,18.0,15.0,9.0,9.0,4.0,7.0,18.0,2.0,14.0,16.0,32.0,12.0,1.0,1.0,8.0,0.0,4.0,4.0,14.0,13.0,25.0,25.0,28.0,33.0,8.0,13.0,7.0,8.0,0.0,23.0,7.0,26.0,14.0,4.0
dapA_1_98_W_MM1,14.0,36.0,47.0,14.0,16.0,121.0,30.0,35.0,17.0,43.0,10.0,25.0,43.0,31.0,66.0,19.0,8.0,2.0,13.0,29.0,23.0,41.0,13.0,1.0,48.0,66.0,64.0,68.0,9.0,0.0,3.0,10.0,0.0,18.0,7.0,14.0,6.0,17.0,2.0,12.0,21.0,13.0,7.0,39.0,19.0,11.0,9.0,9.0,17.0,8.0,6.0,6.0,10.0,15.0,12.0,15.0,17.0,35.0,12.0,15.0,26.0,11.0,19.0,1.0,11.0,33.0,15.0,30.0,8.0,8.0,17.0,5.0,15.0,42.0,2.0,29.0,19.0,29.0,2.0,9.0,0.0,14.0,0.0,7.0,2.0,32.0,39.0,39.0,2.0,34.0,33.0,19.0,32.0,10.0,8.0,1.0,11.0,29.0,39.0,39.0,10.0
dapA_3_214_B_MM14,127.0,52.0,74.0,129.0,15.0,34.0,1039.0,70.0,54.0,38.0,30.0,52.0,74.0,74.0,67.0,21.0,69.0,9.0,19.0,25.0,154.0,274.0,30.0,88.0,123.0,490.0,386.0,440.0,2.0,0.0,0.0,6.0,2.0,104.0,16.0,39.0,0.0,136.0,24.0,83.0,68.0,108.0,129.0,85.0,70.0,17.0,67.0,80.0,94.0,85.0,38.0,16.0,192.0,187.0,171.0,130.0,89.0,88.0,63.0,78.0,64.0,6.0,4.0,11.0,1.0,205.0,41.0,124.0,39.0,84.0,136.0,2.0,5.0,30.0,0.0,62.0,68.0,95.0,50.0,2.0,1.0,257.0,20.0,16.0,3.0,179.0,288.0,356.0,47.0,138.0,26.0,22.0,120.0,175.0,5.0,1.0,28.0,100.0,526.0,305.0,4.0
dapA_3_214_B_MM6,33.0,52.0,20.0,19.0,16.0,37.0,96.0,256.0,59.0,51.0,55.0,84.0,96.0,99.0,29.0,10.0,24.0,31.0,33.0,44.0,16.0,101.0,12.0,7.0,71.0,146.0,83.0,105.0,0.0,0.0,6.0,6.0,6.0,50.0,20.0,5.0,0.0,12.0,19.0,6.0,17.0,5.0,19.0,19.0,11.0,0.0,11.0,32.0,17.0,12.0,18.0,12.0,17.0,66.0,43.0,44.0,70.0,49.0,27.0,67.0,63.0,11.0,3.0,9.0,1.0,104.0,50.0,64.0,42.0,20.0,38.0,3.0,16.0,47.0,0.0,56.0,26.0,103.0,25.0,9.0,5.0,27.0,10.0,15.0,1.0,97.0,74.0,111.0,44.0,89.0,35.0,34.0,30.0,38.0,0.0,0.0,17.0,36.0,69.0,79.0,13.0
dapA_3_214_B_MM9,18.0,19.0,40.0,23.0,44.0,20.0,29.0,30.0,179.0,55.0,9.0,39.0,57.0,25.0,41.0,6.0,8.0,9.0,35.0,34.0,44.0,37.0,1.0,12.0,23.0,98.0,102.0,89.0,3.0,1.0,0.0,0.0,0.0,31.0,12.0,14.0,4.0,28.0,5.0,3.0,16.0,7.0,36.0,30.0,3.0,18.0,10.0,19.0,14.0,18.0,15.0,1.0,46.0,31.0,15.0,26.0,42.0,31.0,10.0,37.0,32.0,14.0,1.0,0.0,11.0,41.0,21.0,59.0,9.0,37.0,23.0,0.0,19.0,32.0,0.0,32.0,32.0,42.0,38.0,4.0,9.0,9.0,2.0,9.0,2.0,62.0,46.0,66.0,13.0,58.0,8.0,23.0,36.0,12.0,6.0,0.0,12.0,14.0,49.0,42.0,2.0
dapA_3_214_C,40.0,26.0,44.0,29.0,8.0,39.0,51.0,81.0,60.0,207.0,31.0,44.0,62.0,33.0,58.0,27.0,13.0,10.0,36.0,28.0,23.0,55.0,3.0,9.0,55.0,122.0,65.0,97.0,7.0,4.0,0.0,7.0,5.0,61.0,15.0,9.0,1.0,7.0,3.0,3.0,18.0,14.0,39.0,9.0,9.0,10.0,23.0,34.0,20.0,13.0,16.0,10.0,13.0,38.0,37.0,38.0,38.0,33.0,9.0,11.0,27.0,15.0,0.0,1.0,5.0,35.0,17.0,52.0,19.0,14.0,53.0,10.0,15.0,71.0,0.0,22.0,26.0,46.0,46.0,13.0,1.0,28.0,4.0,5.0,7.0,101.0,69.0,126.0,49.0,45.0,29.0,68.0,22.0,18.0,3.0,2.0,8.0,30.0,83.0,46.0,2.0
